DateTime,AddedIPs,RemovedIPs
1575645087,3,12
1575648736,8,4
1575652317,7,8
1575655918,2,5
1575659507,4,2
1575663135,3,3
1575666702,7,5
1575670326,6,9
1575673900,6,5
1575677572,15,5
1575681181,20,8
1575684723,14,3
1575688335,4,7
1575691922,10,12
1575695523,7,9
1575699099,6,7
1575702695,2,6
1575706345,3,5
1575709910,3,6
1575713534,7,6
1575717120,9,9
1575720735,10,4
1575724345,12,6
1575727919,5,3
1575731534,10,11
1575735147,9,9
1575738722,8,11
1575742331,6,9
1575745899,7,9
1575749525,4,2
1575753158,8,3
1575756682,7,9
1575760346,6,10
1575763955,13,4
1575767589,7,10
1575771372,9,11
1575774704,6,13
1575778331,10,7
1575781916,9,3
1575785537,7,13
1575789108,7,10
1575792706,3,5
1575796326,7,6
1575799911,4,3
1575803514,4,6
1575807097,7,7
1575810764,5,7
1575814323,4,7
1575817948,3,3
1575821504,13,8
1575825135,5,6
1575828719,6,2
1575832316,6,10
1575835957,2,10
1575839522,5,2
1575843122,1,5
1575846693,4,2
1575850325,13,1
1575853900,30,6
1575857537,12,1
1575861131,10,11
1575864746,3,21
1575868301,7,8
1575871907,13,11
1575875520,13,8
1575879109,7,3
1575882703,7,3
1575886339,4,8
1575889900,8,20
1575893510,12,7
1575897155,4,10
1575900674,15,3
1575904314,5,8
1575907927,9,5
1575911506,10,6
1575915104,6,11
1575918711,10,8
1575922322,9,6
1575925913,8,8
1575929522,11,10
1575933102,7,7
1575936773,29,7
1575940296,4,18
1575943909,5,14
1575947517,10,37
1575951129,5,5
1575954716,3,3
1575958304,6,6
1575961916,6,8
1575965501,3,7
1575969086,9,5
1575972725,9,7
1575976328,2,5
1575979913,6,6
1575983505,6,8
1575987096,9,7
1575990715,6,7
1575994296,5,5
1575997930,2,8
1576001523,5,6
1576005114,5,4
1576008722,4,17
1576012292,17,5
1576015914,9,4
1576019495,7,4
1576023152,8,3
1576026736,18,5
1576030310,5,5
1576033939,4,7
1576037544,7,10
1576041124,4,5
1576044712,6,11
1576048323,5,4
1576051916,6,6
1576055508,5,8
1576059109,9,3
1576062748,4,5
1576066319,4,8
1576069923,7,5
1576073543,9,11
1576077113,11,1
1576080718,3,9
1576084335,11,9
1576087927,2,8
1576091510,8,6
1576095123,5,6
1576098746,7,3
1576102326,5,6
1576105900,4,5
1576109586,22,6
1576113112,3,8
1576116733,12,4
1576120309,5,25
1576123900,5,8
1576127510,4,9
1576131100,4,7
1576134707,8,3
1576138328,5,4
1576141928,6,8
1576145515,7,4
1576149098,6,3
1576152748,4,11
1576156294,6,3
1576159918,5,2
1576163512,5,5
1576167120,2,5
1576170698,4,7
1576174327,6,10
1576177895,8,4
1576181495,4,2
1576185109,2,4
1576188727,3,3
1576192341,4,1
1576195916,6,5
1576199564,27,3
1576203100,4,4
1576206735,4,5
1576210321,7,22
1576213935,7,5
1576217508,7,10
1576221117,9,6
1576224701,4,4
1576228323,5,4
1576231901,7,6
1576235510,5,6
1576239150,4,6
1576242713,6,6
1576246311,4,15
1576249967,6,9
1576253498,13,4
1576257135,5,5
1576260721,4,7
1576264323,5,2
1576267944,2,7
1576271513,8,4
1576275088,11,3
1576278716,4,6
1576282353,26,5
1576285891,6,3
1576289510,3,10
1576293104,3,20
1576296720,5,27
1576300295,4,2
1576303892,3,7
1576307517,4,3
1576311117,7,3
1576314698,1,5
1576318353,5,5
1576321910,1,10
1576325528,10,2
1576329077,8,1
1576332746,3,4
1576336375,6,1
1576339898,2,5
1576343538,5,11
1576347110,4,8
1576350693,9,5
1576354284,4,5
1576357895,8,9
1576361534,10,7
1576365097,8,8
1576368729,7,3
1576372317,17,5
1576375933,6,6
1576379501,6,17
1576383136,3,20
1576386787,3,5
1576390351,2,4
1576393958,6,6
1576397515,7,2
1576401155,1,2
1576404729,4,1
1576408350,4,3
1576411927,1,10
1576415550,7,3
1576419136,5,6
1576422756,3,7
1576426336,10,5
1576429969,3,7
1576433562,7,5
