DateTime,AddedIPs,RemovedIPs
1575644842,1,3
1575648456,2,2
1575652056,2,4
1575655629,1,2
1575659248,2,2
1575662852,1,1
1575666444,3,1
1575670052,2,3
1575673646,2,2
1575677274,2,1
1575680839,1,3
1575684442,3,2
1575688059,2,1
1575691649,3,2
1575695252,1,3
1575698852,2,2
1575702441,1,2
1575706057,1,2
1575709649,1,2
1575713250,2,1
1575716848,1,1
1575720451,1,2
1575724065,2,0
1575727650,2,2
1575731256,2,1
1575734842,3,2
1575738457,2,3
1575742067,1,1
1575745639,2,3
1575749244,1,1
1575752847,2,1
1575756430,2,2
1575760050,3,2
1575763672,1,2
1575767318,0,2
1575771096,3,2
1575774452,1,2
1575778057,2,2
1575781657,3,0
1575785253,2,2
1575788853,2,3
1575792450,2,1
1575796059,1,2
1575799651,2,2
1575803244,2,2
1575806830,2,1
1575810473,2,3
1575814053,3,3
1575817666,2,2
1575821247,3,2
1575824845,1,3
1575828447,3,2
1575832047,1,3
1575835673,1,2
1575839257,2,1
1575842864,1,2
1575846447,2,1
1575850032,1,1
1575853654,2,2
1575857260,1,0
1575860842,2,3
1575864466,1,2
1575868049,2,1
1575871654,2,2
1575875256,3,2
1575878846,3,2
1575882453,1,0
1575886058,2,3
1575889640,3,1
1575893242,2,2
1575896871,3,3
1575900432,3,3
1575904051,3,2
1575907665,2,3
1575911231,2,3
1575914842,1,1
1575918448,1,3
1575922048,2,1
1575925653,3,3
1575929263,3,2
1575932849,3,1
1575936480,1,3
1575940049,2,3
1575943644,1,1
1575947246,2,1
1575950847,3,2
1575954446,0,2
1575958044,3,3
1575961655,2,3
1575965244,1,2
1575968831,2,0
1575972457,3,3
1575976049,2,2
1575979640,3,3
1575983246,3,2
1575986840,3,2
1575990441,3,3
1575994036,2,3
1575997664,0,3
1576001269,1,1
1576004851,1,1
1576008466,1,2
1576012040,3,2
1576015649,2,2
1576019246,2,2
1576022869,1,1
1576026452,2,1
1576030038,2,1
1576033668,3,3
1576037260,3,1
1576040865,3,2
1576044453,2,3
1576048062,1,3
1576051639,2,3
1576055258,1,2
1576058844,2,1
1576062475,2,2
1576066056,2,2
1576069668,3,2
1576073268,4,2
1576076846,2,1
1576080455,2,3
1576084066,1,4
1576087648,1,3
1576091251,1,1
1576094848,3,1
1576098468,1,2
1576102062,2,2
1576105650,2,2
1576109296,2,2
1576112852,2,1
1576116465,2,1
1576120053,3,1
1576123625,2,3
1576127250,1,3
1576130856,1,1
1576134437,3,1
1576138070,1,2
1576141658,1,3
1576145255,2,1
1576148853,2,1
1576152478,1,2
1576156034,2,1
1576159661,3,1
1576163260,2,3
1576166859,1,2
1576170444,2,3
1576174061,0,2
1576177651,1,1
1576181242,1,1
1576184855,1,2
1576188449,2,0
1576192071,1,0
1576195660,2,2
1576199276,1,2
1576202849,1,2
1576206462,3,0
1576210063,3,3
1576213653,2,1
1576217249,3,3
1576220848,2,2
1576224442,2,2
1576228056,3,3
1576231659,3,3
1576235226,2,3
1576238869,1,2
1576242441,3,3
1576246047,2,2
1576249667,1,3
1576253252,2,1
1576256864,2,3
1576260461,2,2
1576264049,1,0
1576267667,1,1
1576271259,2,2
1576274843,3,1
1576278457,2,3
1576282079,3,2
1576285641,3,2
1576289241,2,2
1576292855,2,3
1576296461,0,3
1576300045,2,1
1576303644,2,2
1576307241,1,2
1576310849,2,1
1576314446,2,2
1576318066,1,2
1576321652,0,1
1576325253,2,2
1576328831,4,2
1576332464,0,2
1576336102,3,0
1576339662,1,2
1576343253,2,2
1576346841,1,2
1576350441,3,2
1576354029,2,0
1576357626,2,2
1576361261,2,3
1576364846,3,4
1576368469,2,1
1576372046,2,2
1576375646,3,2
1576379239,3,2
1576382853,1,3
1576386468,2,1
1576390051,0,3
1576393657,2,2
1576397244,2,3
1576400852,1,1
1576404451,3,0
1576408064,2,1
1576411655,1,2
1576415248,2,2
1576418854,2,1
1576422457,3,3
1576426048,3,4
1576429665,1,1
1576433264,3,3
1576436868,1,2
1576440474,2,1
1576444075,2,2
1576447665,2,2
1576451251,1,1
1576454881,2,2
1576462074,1,2
1576465637,2,1
1576469236,3,2
1576472833,2,2
1576476432,1,1
1576480039,3,2
1576483645,1,2
1576487234,3,2
1576490839,2,3
1576494432,2,4
1576498100,3,1
1576501636,2,3
1576505251,3,1
1576508827,3,2
1576512441,2,3
1576516056,1,3
1576519630,1,3
1576523248,3,1
1576526839,3,2
1576530433,1,1
1576534037,2,2
1576537661,0,2
1576541267,2,1
1576544873,2,2
1576548439,1,1
1576552045,3,2
1576555668,1,2
1576559272,1,2
1576562880,1,1
1576566453,2,1
1576570062,2,2
1576573661,3,2
1576577258,3,2
1576580850,1,2
1576584472,2,3
1576588060,2,2
1576591673,3,1
1576595254,2,2
1576598870,2,2
1576602466,2,2
1576606063,2,3
1576609670,1,2
1576613266,2,2
1576617091,1,1
1576620477,1,1
1576624078,1,2
1576627777,1,1
1576631284,1,1
1576634937,2,1
1576638470,3,3
1576642080,3,1
1576645665,3,2
1576649279,2,3
1576652865,3,3
1576656476,2,2
1576660088,1,2
1576663688,2,3
1576667277,2,2
1576670889,2,1
1576674481,2,1
1576678082,3,2
1576681672,3,3
1576685287,3,3
1576688888,1,2
1576692486,2,3
1576696073,3,3
1576699671,3,3
1576703282,2,1
1576706875,1,3
1576710487,2,1
1576714079,2,2
1576717680,2,2
1576721287,3,2
1576724894,3,2
1576728476,2,3
1576732070,3,2
1576735671,2,3
1576739279,1,2
1576742877,0,3
1576746474,3,2
1576750063,2,2
1576753681,3,1
1576757273,4,2
1576760880,2,2
1576764470,2,3
1576768077,2,3
1576771684,2,1
1576775271,2,2
1576778866,2,3
1576782477,1,2
1576786068,2,1
1576789669,1,3
1576793282,2,1
1576796870,2,1
1576800450,2,2
1576804360,3,3
1576807687,2,1
1576811281,2,2
1576814942,3,3
1576818534,3,3
1576822078,2,2
1576825687,2,1
1576829277,3,3
1576832879,2,3
1576836483,3,2
1576840073,1,3
1576843674,3,1
1576847278,2,2
1576850878,2,2
1576854475,1,3
1576858064,3,1
1576861683,2,2
1576865268,1,2
1576868884,1,3
1576872466,1,1
1576876077,1,1
1576879674,2,1
1576883267,1,2
1576886837,2,1
1576890494,1,1
1576894090,3,2
1576897676,2,2
1576901275,2,2
1576904870,2,3
1576908453,1,3
1576912072,1,1
1576915649,1,1
1576919268,3,2
1576922875,3,1
1576926464,3,1
1576930080,1,3
1576933650,3,3
1576937277,3,1
1576940852,3,3
1576944460,2,3
1576948065,1,3
1576951644,3,1
1576955271,1,3
1576958867,2,2
1576962469,3,1
1576966050,1,3
1576969667,1,1
1576973298,1,2
1576976864,2,2
1576980468,3,2
1576984038,3,1
1576987653,3,1
1576991265,1,3
1576994851,2,2
1576998453,1,2
1577002054,2,2
1577005657,0,2
1577009250,2,2
1577012855,1,2
1577016452,1,1
1577020068,2,2
1577023657,3,0
1577027255,2,2
1577030856,2,1
1577034439,1,2
1577038070,1,1
1577041661,0,3
1577045274,1,1
1577048849,2,2
1577052518,1,0
1577056046,1,0
1577059657,2,0
1577063245,1,3
1577066853,1,2
1577070469,2,2
1577074041,3,1
1577077646,1,1
1577081255,2,3
1577084862,3,1
1577088463,3,3
1577092031,2,1
1577095651,2,3
1577099246,2,2
1577102854,3,3
1577106436,3,1
1577110050,2,3
1577113642,2,2
1577117249,0,3
1577120853,3,2
1577124443,0,3
1577128045,1,1
1577131649,2,0
1577135246,3,1
1577138842,2,1
1577142446,2,3
1577146273,1,3
1577149750,2,2
1577153357,3,2
1577156863,3,1
1577160459,3,2
1577164033,3,3
1577167638,2,3
1577171248,2,2
1577174840,1,2
1577178443,3,2
1577182054,2,2
1577185634,1,2
1577189242,2,3
1577192856,2,2
1577196428,2,2
1577200048,2,1
1577203644,2,3
1577207256,2,2
1577210861,1,2
1577214425,1,2
1577218045,2,1
1577221655,2,0
1577225233,3,2
1577228847,2,3
1577232468,1,3
1577236073,3,3
1577239654,2,1
1577243283,0,2
1577246861,2,2
1577250468,0,1
1577254055,1,1
1577257650,1,1
1577261246,1,2
1577264842,2,0
1577268456,2,1
1577272063,4,1
1577275646,2,2
1577279262,3,3
1577282847,2,2
1577286471,3,3
1577290041,1,2
1577293664,1,6
1577297314,1,2
1577300841,2,3
1577304450,1,2
1577308057,2,0
1577311664,2,1
1577315253,0,1
1577318865,1,3
1577322441,2,2
1577326050,3,2
1577329658,2,0
1577333281,3,2
1577336859,2,2
1577340471,2,2
1577344055,1,3
1577347681,2,2
1577351272,1,1
1577354865,1,2
1577358458,3,1
1577362082,1,2
1577365660,3,2
1577369275,2,1
1577372880,2,2
1577376472,3,2
1577380069,2,2
1577383672,3,3
1577387280,1,3
1577390860,1,1
1577394463,2,2
1577398071,2,2
1577401672,1,1
1577405269,2,1
1577408870,3,2
1577412468,3,2
1577416083,3,2
1577419672,2,3
1577423261,3,3
1577426894,1,1
1577430472,3,3
1577434069,0,3
1577437661,0,2
1577441264,3,2
1577444876,2,1
