DateTime,AddedIPs,RemovedIPs
1576446736,212,188
1576448670,220,154
1576450568,224,189
1576452742,223,161
1576454903,613,186
1576456811,1239,570
1576458995,1579,382
1576460897,1442,177
1576462832,983,153
1576464728,1154,170
1576466653,925,173
1576468586,1139,179
1576470489,1004,167
1576472455,1073,186
1576474336,864,169
1576476501,949,151
1576478417,1735,158
1576480612,945,528
1576482495,865,598
1576484428,851,530
1576486340,1145,171
1576488255,772,164
1576490191,772,189
1576492109,865,194
1576494082,1096,193
1576495955,1057,189
1576498127,1170,209
1576500015,565,183
1576501950,200,264
1576503866,170,212
1576505789,599,203
1576507939,204,236
1576509892,178,239
1576511775,282,216
1576513692,306,262
1576516815,494,358
1576518752,337,751
1576520680,294,2581
1576522569,288,3636
1576524489,318,1532
1576527618,649,3273
1576529558,215,2102
1576531457,145,1827
1576533401,179,2109
1576535289,184,1757
1576538175,330,3101
1576540090,240,1858
1576542012,223,2494
1576543929,475,3196
1576545879,184,2906
1576547774,205,3220
1576549705,208,2530
1576552591,350,3979
1576554745,289,3709
1576556675,194,1793
1576558579,189,1022
1576560495,208,958
1576562457,184,1009
1576564344,388,867
1576566259,1855,1587
1576568195,1258,902
1576570118,223,783
1576572035,242,1101
1576574194,366,1464
1576576118,406,1297
1576578043,358,1333
1576579953,408,1689
1576581856,370,2016
1576584051,493,2605
1576585980,372,1221
1576588120,465,846
1576590018,393,684
1576591967,403,611
1576593858,443,331
1576595781,194,182
1576597726,226,662
1576599622,244,463
1576601534,335,235
1576603473,786,166
1576605374,247,178
1576607291,187,187
1576610417,317,355
1576612348,288,194
1576614250,265,190
1576616167,257,185
1576618109,243,165
1576620043,243,173
1576621957,204,165
1576623872,170,190
1576625797,188,228
1576627710,203,214
1576629609,217,196
1576631552,251,425
1576633451,291,195
1576635614,190,224
1576637528,200,221
1576639467,193,217
1576641371,275,228
1576643547,275,207
1576645492,229,170
1576647390,201,180
1576649291,198,195
1576651214,1129,334
1576653160,237,192
1576655054,237,1867
1576657004,207,1387
1576658896,218,326
1576660808,326,356
1576662754,297,1138
1576664651,221,1023
1576666591,287,1023
1576668519,1104,729
1576671388,1849,618
1576673540,1644,465
1576675473,1142,395
1576677371,872,446
1576679307,826,437
1576681226,928,319
1576683167,777,213
1576685084,731,249
1576686990,837,222
1576688901,719,229
1576690828,809,184
1576692745,777,307
1576694663,847,201
1576696832,934,289
1576698746,831,1056
1576700657,1173,301
1576702498,1314,264
1576704504,964,263
1576706441,1671,252
1576708345,829,187
1576711214,1231,273
1576713136,866,218
1576715068,870,197
1576716974,911,218
1576719140,894,382
1576721301,817,201
1576723210,910,198
1576725154,792,171
1576727052,861,238
1576729219,1451,238
1576731130,1108,277
1576733068,822,209
1576734968,420,190
1576736910,1427,1104
1576739799,324,348
1576741688,202,227
1576743644,211,192
1576745533,202,248
1576747465,621,220
1576749421,464,321
1576751292,233,178
1576753250,236,278
1576755156,255,1112
1576757081,165,1088
1576758985,182,1143
1576760920,231,1147
1576762835,202,1040
1576764992,205,821
1576767132,221,987
1576769088,209,784
1576770973,182,761
1576772911,183,702
1576774881,182,786
1576776761,177,649
1576778912,248,883
1576780842,197,804
1576782749,196,724
1576784681,205,802
1576786835,250,1036
1576788731,266,1497
1576790656,201,776
1576792577,248,936
1576794790,268,929
1576796690,169,756
1576798598,183,781
1576800501,175,759
1576802425,226,935
1576804355,194,1280
1576806262,188,1221
1576808187,190,720
1576810352,208,1007
1576812253,159,735
1576814203,189,872
1576816091,181,1616
1576818049,201,950
1576819932,202,834
1576822112,217,545
1576824016,1201,1523
1576825972,1068,212
1576827851,203,227
1576830028,212,283
1576831931,223,458
1576833889,381,239
1576835770,192,312
1576837943,259,297
1576839896,202,227
1576841774,291,296
1576843945,332,229
1576845873,210,205
1576847795,210,254
1576849692,239,241
1576851616,222,203
1576853549,236,230
1576855455,346,237
1576857388,282,197
1576859288,196,200
1576862187,291,304
1576864094,188,229
1576866276,256,229
1576868168,186,199
1576870338,243,1350
1576872638,202,1248
1576874648,211,394
1576876596,214,217
1576878486,268,314
1576880424,850,235
1576882330,838,227
1576884269,218,172
1576886185,226,199
1576888089,206,220
1576890053,267,230
1576891935,426,211
1576893852,636,182
1576895791,3517,209
1576897697,4181,183
1576899611,3471,161
1576901572,2137,189
1576903455,177,180
1576905613,192,216
1576907533,256,162
1576909476,1728,174
1576911372,2121,1620
1576913550,2398,625
1576915483,1847,181
1576917370,2031,207
1576919300,1833,199
1576921233,1940,198
1576923155,2223,190
1576925071,3933,212
1576926982,1679,209
1576928890,1966,271
1576930834,1709,249
1576932746,1789,190
1576934653,1585,186
1576936594,2086,263
1576938752,1566,214
1576940684,199,185
1576942595,158,212
1576944510,122,359
1576946417,175,185
1576948369,142,168
1576950258,138,163
1576952417,160,243
1576954330,1006,188
1576956275,159,190
1576958174,168,169
1576959981,184,165
1576962057,179,197
1576963952,138,170
1576965868,109,362
1576967778,340,651
1576969990,167,352
1576971862,155,221
1576973790,162,237
1576975947,182,245
1576977850,181,217
1576979782,161,229
1576981687,159,527
1576983636,172,2643
1576985556,182,1914
1576987478,127,1560
1576989616,169,526
1576991788,151,200
1576993691,170,219
1576995630,149,1260
1576997540,247,2073
1576999451,168,1948
1577001390,146,2333
1577003289,182,2024
1577006173,513,3038
1577008329,186,2616
1577010249,220,2255
1577012190,200,2820
1577014088,166,3719
1577016990,283,3207
1577019137,161,2461
1577021054,186,1871
1577022993,177,2389
1577025151,163,1806
1577027312,295,253
1577029236,235,168
1577031150,669,133
1577033054,861,174
1577035006,770,157
1577036897,873,146
1577038812,148,134
1577040751,979,1046
1577042653,3673,164
1577044591,3585,180
1577046492,1478,178
1577048437,1953,153
1577050362,1382,158
1577052267,1727,114
1577054173,2081,146
1577056138,1815,153
1577058014,2048,179
1577060185,2669,182
1577062336,3485,183
1577064255,2808,194
1577066189,3148,175
1577068092,2397,161
