DateTime,AddedIPs,RemovedIPs
1575754379,1,0
1575756344,0,1
1575760369,1,0
1575764457,0,1
1575766339,0,1
1575768262,0,1
1575775967,0,2
1575779779,1,0
1575781972,1,0
1575783870,1,0
1575787692,1,2
1575791567,0,1
1575795379,0,1
1575797544,1,0
1575801385,0,2
1575807416,3,0
1575817366,1,0
1575819166,0,2
1575821336,0,1
1575829229,0,1
1575831391,4,0
1575833303,0,1
1575836429,3,0
1575838342,0,1
1575840249,0,1
1575846993,0,1
1575850824,1,0
1575852744,6,0
1575854655,4,0
1575856608,1,0
1575858496,1,0
1575861617,1,0
1575865475,0,1
1575867392,1,1
1575869549,4,1
1575872423,1,0
1575874337,0,1
1575876275,3,0
1575878202,1,0
1575882341,1,0
1575884202,4,1
1575886133,1,0
1575894038,0,3
1575903675,1,1
1575917548,0,4
1575921394,0,2
1575923542,0,1
1575927633,1,0
1575937240,0,1
1575939141,1,6
1575941053,0,4
1575943017,0,1
1575944918,0,1
1575947774,0,1
1575953792,0,1
1575955943,0,4
1575958122,0,1
1575960034,1,0
1575961961,2,3
1575963855,0,1
1575967716,2,0
1575969682,0,5
1575971569,0,1
1575975671,1,0
1575987729,1,0
1575991467,0,1
1575995567,2,0
1575999639,1,0
1576005637,3,0
1576013287,0,1
1576017136,1,0
1576021211,1,0
1576025057,1,1
1576029154,1,0
1576031053,1,0
1576036871,1,0
1576038737,1,0
1576042812,1,0
1576046651,0,1
1576048817,1,2
1576050731,2,0
1576052652,1,1
1576055105,1,1
1576061052,0,1
1576067069,1,0
1576069315,3,0
1576074968,0,1
1576080995,2,1
1576083343,0,1
1576085585,0,1
1576089614,2,0
1576091562,1,3
1576095372,1,0
1576099221,1,0
1576103073,0,1
1576107143,1,1
1576109090,1,0
1576110989,1,0
1576112923,0,1
1576114836,1,1
1576118661,0,1
1576122778,0,1
1576124681,1,1
1576128746,0,1
1576134504,0,1
1576136419,0,1
1576138364,0,2
1576140256,0,1
1576150097,2,0
1576152161,1,0
1576154202,0,2
1576156383,0,2
1576164276,1,0
1576166168,1,0
1576168348,0,2
1576172193,1,0
1576174104,2,0
1576176011,0,2
1576177972,0,1
1576182025,0,1
1576183928,1,0
1576185905,1,1
1576192822,0,1
1576194735,0,1
1576198573,0,1
1576200492,1,0
1576202508,0,1
1576212253,0,1
1576222109,1,0
1576226894,1,0
1576228832,5,0
1576230742,2,0
1576232650,2,0
1576234924,4,0
