DateTime,AddedIPs,RemovedIPs
1576258109,1,1
1576260984,4,1
1576263146,1,3
1576265073,1,1
1576267286,1,3
1576269175,3,3
1576271085,4,3
1576273218,1,1
1576275404,4,1
1576277550,3,2
1576279475,2,1
1576281374,2,3
1576283292,2,1
1576285350,3,1
1576287158,1,0
1576289083,1,3
1576290984,0,2
1576293170,1,1
1576295057,0,3
1576297228,1,2
1576299131,1,0
1576301065,0,1
1576302986,0,2
1576305182,2,2
1576307112,0,2
1576309237,1,1
1576311139,1,1
1576313088,2,0
1576314988,1,0
1576316920,0,3
1576320739,1,1
1576322675,2,0
1576324576,1,0
1576326738,2,3
1576328905,0,3
1576330839,1,0
1576336581,2,1
1576338755,0,1
1576340655,2,0
1576342585,1,0
1576344493,0,2
1576346527,3,3
1576348385,1,0
1576350512,1,1
1576352438,1,0
1576354597,3,0
1576356748,1,7
1576358654,1,0
1576360612,3,5
1576362516,1,0
1576364521,0,3
1576366356,4,1
1576368342,0,2
1576370189,0,4
1576372366,3,0
1576374266,0,1
1576376191,2,2
1576378099,0,3
1576380038,1,6
1576383867,2,1
1576385796,2,2
1576387694,1,0
1576390589,0,1
1576392738,0,2
1576394673,0,1
1576396592,1,2
1576398511,4,1
1576400636,0,1
1576402583,0,2
1576404499,0,1
1576406412,0,1
1576408336,0,1
1576410274,0,2
1576412197,2,1
1576414339,5,4
1576416284,3,3
1576418206,2,1
1576420366,1,0
1576422299,0,2
1576424426,0,1
1576426339,1,2
1576428278,0,1
1576430180,1,3
1576432340,3,1
1576436189,0,1
1576438093,0,1
1576440980,0,1
1576442914,3,0
1576444819,2,0
1576446741,0,1
1576448695,3,2
1576452745,1,2
1576454649,1,0
1576456588,0,1
1576458513,1,2
1576460430,0,1
1576462584,1,3
1576464490,0,1
1576466428,2,1
1576468335,1,1
1576470251,0,1
1576473647,1,0
1576479384,1,0
1576483314,0,2
1576485163,3,0
1576488030,1,0
1576491853,1,0
1576493771,1,1
1576495690,1,1
1576497699,1,0
1576499551,1,0
1576501717,1,1
1576505793,1,0
1576507942,1,3
1576513695,0,2
1576516818,1,1
1576518756,2,3
1576520683,1,0
1576522572,1,1
1576524495,0,2
1576526548,1,0
1576528379,0,1
1576530635,3,2
1576534575,4,3
1576536746,5,0
1576538655,0,1
1576540622,1,1
1576544560,0,1
1576546588,2,0
1576548502,3,0
1576550431,1,1
1576552605,0,2
1576554749,1,1
1576556678,2,0
1576558582,2,1
1576566491,0,2
1576570610,1,1
1576572495,3,3
1576574680,1,0
1576578744,1,3
1576580704,2,0
1576582572,1,1
1576584518,0,1
1576586422,3,0
1576588584,1,0
1576590728,1,1
1576592672,2,1
1576594568,1,1
1576596742,0,1
1576599623,1,1
1576601536,0,3
1576603475,3,0
1576605376,0,2
1576607292,0,2
1576610420,1,0
1576612364,1,0
1576616168,1,3
1576618111,0,1
1576620987,4,2
1576622895,2,2
1576624820,2,1
1576626733,1,1
1576628673,3,1
1576630606,6,1
1576632746,1,2
1576634678,1,3
1576636592,1,3
1576642827,1,2
1576644731,2,1
1576648583,1,0
1576650751,2,0
1576654598,2,0
1576656519,1,0
1576658441,1,1
1576660346,1,0
1576662267,0,2
1576664189,0,1
1576666127,1,0
1576668034,2,2
1576669936,1,0
1576671859,2,4
1576676192,2,2
1576678106,2,1
1576680041,1,1
1576682190,1,0
1576684334,0,2
1576686282,1,0
1576688178,1,1
1576690124,0,1
1576692085,1,0
1576696117,0,2
1576698015,2,0
1576700214,2,0
1576702501,1,1
1576704507,2,0
1576707617,3,2
1576709551,1,1
1576711471,3,0
1576713374,2,2
1576715549,2,4
1576717703,6,3
1576719613,2,1
1576721577,1,0
1576723467,2,1
1576727312,1,0
1576729222,1,1
1576731132,1,2
1576733071,1,0
1576736913,0,1
1576741691,0,1
1576743647,0,1
1576745546,1,1
1576749425,2,0
1576751296,1,0
1576754459,1,0
1576756335,1,0
1576762101,2,3
1576764110,1,3
1576765973,1,0
1576768119,0,1
1576770014,2,1
1576772212,1,3
1576774099,1,2
1576776031,1,1
1576777950,0,2
1576781777,3,0
1576783713,2,3
1576785900,1,0
1576787790,3,0
1576789720,0,1
1576791634,0,3
1576793544,4,2
1576797614,3,5
1576799532,1,3
1576801472,0,2
1576803370,1,1
1576805301,1,2
1576807313,1,1
1576809159,1,1
1576811136,0,2
1576813213,4,5
1576817083,1,1
1576819214,4,3
1576821129,3,0
1576826896,1,0
1576830031,1,0
1576831934,1,1
1576833892,2,0
1576835796,1,3
1576837945,1,0
1576841777,1,3
