DateTime,Entries,UniqueIPs
1576448695,17077,17077
1576450572,17074,17074
1576452746,17044,17044
1576454660,17043,17043
1576456590,16554,16554
1576458513,16282,16282
1576460431,16280,16280
1576462585,16279,16279
1576464492,16289,16289
1576466429,16284,16284
1576468335,16285,16285
1576470252,16281,16281
1576472608,16281,16281
1576474588,16293,16293
1576476504,16284,16284
1576478421,17223,17223
1576480615,16805,16805
1576482498,16334,16334
1576484431,16143,16143
1576486344,16165,16165
1576488259,16169,16169
1576490195,16197,16197
1576492113,16223,16223
1576494195,16241,16241
1576496187,16271,16271
1576498129,16282,16282
1576500019,16290,16290
1576501953,16158,16158
1576503874,16199,16199
1576505794,17030,17030
1576507943,17015,17015
1576509896,17029,17029
1576511781,17217,17217
1576513696,17493,17493
1576516819,17900,17900
1576518757,17801,17801
1576520684,16024,16024
1576522573,16044,16044
1576524495,16092,16092
1576527620,15962,15962
1576529560,16022,16022
1576531459,16032,16032
1576533403,16041,16041
1576535291,16048,16048
1576538177,16078,16078
1576540092,16090,16090
1576542039,16098,16098
1576543931,15968,15968
1576545881,15973,15973
1576547776,15997,15997
1576549708,16013,16013
1576551693,16039,16039
1576553559,16055,16055
1576555699,16075,16075
1576557611,16078,16078
1576559561,16104,16104
1576561453,15770,15770
1576563618,15910,15910
1576565530,16156,16156
1576567469,17737,17737
1576569373,17731,17731
1576571325,17736,17736
1576573304,17433,17433
1576575147,17038,17038
1576577090,16704,16704
1576579236,16221,16221
1576581154,15254,15254
1576583055,13899,13899
1576584998,12943,12943
1576587135,12161,12161
1576589074,11580,11580
1576590997,10999,10999
1576593139,10699,10699
1576595305,10713,10713
1576597217,10427,10427
1576599162,9680,9680
1576601074,9773,9773
1576603229,10674,10674
1576605133,10663,10663
1576607072,10616,10616
1576608973,10608,10608
1576611249,10597,10597
1576613097,10588,10588
1576614976,10583,10583
1576617147,10592,10592
1576619058,10589,10589
1576620988,10584,10584
1576622895,10581,10581
1576624821,10584,10584
1576626733,10589,10589
1576628674,10586,10586
1576630607,10585,10585
1576632747,10576,10576
1576634679,10579,10579
1576636593,10565,10565
1576638803,10561,10561
1576640655,10562,10562
1576642827,10566,10566
1576644732,10563,10563
1576646683,10548,10548
1576648583,10551,10551
1576650752,11357,11357
1576652719,11356,11356
1576654599,10163,10163
1576656520,8526,8526
1576658442,8519,8519
1576660347,8502,8502
1576662268,7342,7342
1576664190,6300,6300
1576666130,5380,5380
1576668034,4514,4514
1576669936,4521,4521
1576671860,4519,4519
1576675219,4538,4538
1576677132,4517,4517
1576679052,4498,4498
1576680968,4481,4481
1576682889,4494,4494
1576686035,4487,4487
1576687928,4492,4492
1576689852,4486,4486
1576691771,4498,4498
1576693690,4506,4506
1576696834,4331,4331
1576698748,2822,2822
1576700659,3169,3169
1576702502,3796,3796
1576704508,3993,3993
1576706501,5426,5426
1576708348,5442,5442
1576710342,5445,5445
1576712190,5439,5439
1576714146,5438,5438
1576716017,5452,5452
1576717961,5451,5451
1576719852,5461,5461
1576722025,5478,5478
1576723934,5489,5489
1576725879,5508,5508
1576727773,5520,5520
1576729695,5518,5518
1576731731,5526,5526
1576733547,5947,5947
1576735536,5961,5961
1576737376,5855,5855
1576739541,5869,5869
1576741454,5877,5877
1576743648,5925,5925
1576745547,5944,5944
1576747469,7515,7515
1576749427,8272,8272
1576751297,8288,8288
1576754460,8306,8306
1576756335,8312,8312
1576758263,8320,8320
1576760171,8331,8331
1576762101,8344,8344
1576764128,8370,8370
1576765974,8380,8380
1576768120,8389,8389
1576770015,8407,8407
1576772213,8422,8422
1576774100,8433,8433
1576776032,8439,8439
1576777950,8453,8453
1576779854,8444,8444
1576781777,8447,8447
1576783715,8449,8449
1576785903,8456,8456
1576787791,8149,8149
1576789720,7569,7569
1576791634,7567,7567
1576793544,7548,7548
1576795470,7555,7555
1576797614,7542,7542
1576799533,7545,7545
1576801472,7539,7539
1576803371,7456,7456
1576805301,6154,6154
1576807337,6152,6152
1576809159,6164,6164
1576811153,6135,6135
1576813213,6127,6127
1576815138,6113,6113
1576817084,6105,6105
1576819214,6125,6125
1576821130,5808,5808
1576823074,5436,5436
1576824988,6383,6383
1576826898,6756,6756
1576830032,6703,6703
1576831934,6689,6689
1576833893,6649,6649
1576835796,6638,6638
1576837945,6622,6622
1576839929,6605,6605
1576841778,6599,6599
1576843948,6590,6590
1576845876,6575,6575
1576847798,6563,6563
1576849695,6543,6543
1576851621,6534,6534
1576853553,6516,6516
1576855458,6506,6506
1576857391,6484,6484
1576859292,6465,6465
1576861323,6454,6454
1576863161,6432,6432
1576865350,6413,6413
1576867225,6405,6405
1576869163,6402,6402
1576871052,3852,3852
1576873013,3754,3754
1576874894,3742,3742
1576877060,3727,3727
1576879316,3713,3713
1576881161,3710,3710
1576883140,3712,3712
1576884990,3710,3710
1576886891,3706,3706
1576888813,3733,3733
1576890755,3816,3816
1576892657,3859,3859
1576894589,3885,3885
1576896531,10627,10627
1576898420,14015,14015
1576900333,17506,17506
1576902268,18812,18812
1576904170,18797,18797
1576906092,18786,18786
1576909219,18845,18845
1576911146,17743,17743
1576913069,17062,17062
1576915281,17084,17084
1576917139,17092,17092
1576919098,17086,17086
1576920970,17092,17092
1576922939,17367,17367
1576924812,19309,19309
1576926745,19369,19369
1576928675,19434,19434
1576930585,19429,19429
1576932749,19434,19434
1576934656,19429,19429
1576936597,19446,19446
1576938755,19437,19437
1576940713,19457,19457
1576942600,19465,19465
1576944514,19458,19458
1576946420,19465,19465
1576948372,19464,19464
1576950262,19474,19474
1576952420,19475,19475
1576954334,19480,19480
1576956278,19487,19487
1576958177,19484,19484
1576959985,19493,19493
1576962209,19495,19495
1576964183,19510,19510
1576966103,19505,19505
1576968011,19513,19513
1576969994,19512,19512
1576971866,19513,19513
1576973796,19516,19516
1576975952,19445,19445
1576977853,19375,19375
1576979789,19332,19332
1576981691,18188,18188
1576983810,11867,11867
1576985779,7754,7754
1576987711,5196,5196
1576989620,4959,4959
1576991791,4962,4962
1576993693,5015,5015
1576995633,4931,4931
1576997543,5006,5006
1576999454,4992,4992
1577001394,4962,4962
1577003292,4947,4947
1577005351,4937,4937
1577007166,4923,4923
1577009084,4926,4926
1577011220,4965,4965
1577013144,3870,3870
1577015085,2024,2024
1577016992,2031,2031
1577019140,2017,2017
1577021056,2011,2011
1577022995,1937,1937
1577025153,1946,1946
1577027315,2064,2064
1577029276,2289,2289
1577031153,3496,3496
1577033058,4766,4766
1577035012,5730,5730
1577036900,6812,6812
1577038816,6810,6810
1577040755,7459,7459
1577042658,9811,9811
1577044598,9849,9849
1577046497,9835,9835
1577048493,9820,9820
1577050364,9969,9969
1577052271,9969,9969
1577054175,9958,9958
1577056140,9928,9928
1577058017,9923,9923
1577060188,9914,9914
1577062340,9911,9911
1577064258,9912,9912
1577066193,9906,9906
1577068097,9902,9902
1577070123,9891,9891
1577071995,9883,9883
1577073899,9878,9878
1577075777,9871,9871
1577077720,9863,9863
1577079731,9857,9857
1577081796,9901,9901
1577083948,14252,14252
1577085873,14245,14245
1577087794,14252,14252
1577089697,14617,14617
1577092577,14618,14618
1577094754,14610,14610
1577096652,14672,14672
1577098592,14963,14963
1577100521,14964,14964
1577103634,14959,14959
1577105538,14954,14954
1577107458,14946,14946
1577109397,14943,14943
1577111294,14943,14943
1577114191,14938,14938
1577116354,14445,14445
1577118254,13733,13733
1577120222,12954,12954
1577123064,12032,12032
1577125012,11989,11989
1577127163,11549,11549
1577129095,9497,9497
1577130998,9458,9458
1577132926,9457,9457
1577134993,10180,10180
1577136990,10245,10245
1577138941,10243,10243
1577140844,10249,10249
1577142769,10258,10258
1577144656,10813,10813
1577146598,10839,10839
1577148493,10853,10853
1577150414,10857,10857
1577152396,11707,11707
1577154254,11706,11706
1577156200,11717,11717
1577158345,11713,11713
1577160504,11716,11716
1577162421,11726,11726
1577164359,11729,11729
1577166413,11433,11433
1577168229,11133,11133
1577170094,11972,11972
1577172033,13562,13562
1577173941,14945,14945
1577175876,14724,14724
1577177774,14661,14661
1577179954,14658,14658
1577181932,14671,14671
1577183796,14442,14442
1577185710,14182,14182
1577187630,14167,14167
1577189562,14168,14168
1577191458,14161,14161
1577193407,14148,14148
1577195317,14138,14138
1577197215,14127,14127
1577199180,14065,14065
1577201076,14048,14048
1577202981,14048,14048
1577204894,14054,14054
1577206937,14057,14057
1577208752,14058,14058
1577210949,14058,14058
1577212815,14056,14056
1577214751,14037,14037
1577216672,9796,9796
1577218832,9795,9795
1577220756,8949,8949
1577222657,8231,8231
1577224584,8191,8191
1577226506,8194,8194
1577229380,8149,8149
1577231307,7505,7505
1577233217,7484,7484
1577235132,7470,7470
1577237070,7450,7450
1577238989,6575,6575
1577241149,6550,6550
1577243318,6534,6534
1577245215,6516,6516
1577247153,6496,6496
1577249050,6478,6478
1577251007,6454,6454
1577252896,6449,6449
1577254828,6505,6505
1577256731,5970,5970
1577258656,5967,5967
1577260588,4600,4600
1577262489,2929,2929
1577264605,1829,1829
1577266828,1810,1810
1577268982,1779,1779
1577271134,1751,1751
1577273054,1744,1744
1577274994,1736,1736
1577276892,1719,1719
1577278890,1707,1707
1577280774,1703,1703
1577282675,1699,1699
1577284840,1798,1798
1577286997,1782,1782
1577289141,1762,1762
1577291079,1744,1744
1577292973,1728,1728
1577295145,1721,1721
1577297088,1710,1710
1577298999,1685,1685
1577300903,1680,1680
1577302823,1671,1671
1577304773,1663,1663
1577306667,1651,1651
1577308930,1641,1641
1577310756,1631,1631
1577312694,1618,1618
1577314595,1609,1609
1577316500,1605,1605
1577319626,1591,1591
1577321528,1581,1581
1577323456,1570,1570
1577325396,1570,1570
1577327287,1582,1582
1577330422,1571,1571
1577332339,1575,1575
1577334274,1571,1571
1577336174,1569,1569
1577338094,1579,1579
1577340252,1579,1579
1577342191,1941,1941
1577344122,1635,1635
1577346034,1786,1786
1577348204,1847,1847
1577350340,1867,1867
1577352257,1883,1883
1577354183,1891,1891
1577356104,1899,1899
1577359226,1920,1920
1577361132,1937,1937
1577363067,1956,1956
1577364994,1975,1975
1577367138,1983,1983
1577369314,1888,1888
1577371211,1900,1900
1577373161,1906,1906
1577375067,1924,1924
1577377227,1937,1937
1577379129,1959,1959
1577381070,1969,1969
1577382970,1985,1985
1577384912,2010,2010
1577386921,2042,2042
1577388740,2058,2058
1577390678,2069,2069
1577392592,2086,2086
1577394753,2096,2096
1577396662,2115,2115
1577398622,2138,2138
1577400489,2148,2148
1577402436,2162,2162
1577404332,2175,2175
1577406271,2189,2189
1577408171,2199,2199
1577410108,2216,2216
1577412995,2261,2261
1577414893,2275,2275
1577416827,2294,2294
1577418753,2304,2304
1577420653,2324,2324
1577422591,2340,2340
1577424491,2357,2357
1577426450,2370,2370
1577428361,1428,1428
1577430283,1419,1419
1577432174,1680,1680
1577434140,2226,2226
1577436018,2211,2211
1577437946,3442,3442
