DateTime,AddedIPs,RemovedIPs
1576450573,10,18
1576452748,13,46
1576454674,27,23
1576456603,20,510
1576458514,14,279
1576460431,17,21
1576462586,23,23
1576464492,22,17
1576466430,13,21
1576468336,18,16
1576470253,22,29
1576472628,19,16
1576474589,40,28
1576476506,10,20
1576478422,981,43
1576480616,40,463
1576482499,43,512
1576484432,35,225
1576486345,44,18
1576488260,46,29
1576490197,53,24
1576492114,41,17
1576494222,34,15
1576496188,47,18
1576498131,31,22
1576500020,28,25
1576501954,46,171
1576503875,58,21
1576505795,843,12
1576507944,29,45
1576509897,30,16
1576511782,201,13
1576513697,280,9
1576516820,429,27
1576518758,301,406
1576520685,260,2031
1576522574,228,212
1576524496,209,163
1576526569,359,465
1576528380,333,303
1576530636,43,21
1576532681,22,17
1576534576,33,16
1576536747,36,17
1576538656,27,13
1576540624,28,18
1576542493,31,16
1576544583,29,161
1576546590,34,13
1576548504,35,16
1576550432,35,12
1576552606,31,10
1576554750,42,24
1576556678,27,13
1576558583,32,15
1576560499,25,281
1576562622,32,98
1576564588,443,626
1576566492,1710,384
1576568417,855,42
1576570611,50,41
1576572496,39,95
1576574681,31,586
1576576570,37,432
1576578745,43,445
1576580715,55,865
1576582573,32,1296
1576584519,28,1147
1576586423,31,750
1576588585,36,708
1576590730,52,699
1576592674,83,470
1576594569,49,29
1576596743,46,80
1576599624,45,1040
1576601537,248,64
1576603476,839,35
1576605377,23,37
1576607293,27,70
1576610420,45,66
1576612365,25,30
1576614252,27,28
1576616170,29,38
1576618111,47,54
1576620092,37,42
1576621959,34,34
1576623902,26,29
1576625798,35,34
1576627712,30,24
1576629611,26,34
1576631553,33,29
1576633454,30,36
1576635617,38,53
1576637530,32,35
1576639469,32,27
1576641373,30,43
1576643549,48,31
1576645528,27,43
1576647391,27,26
1576649293,22,23
1576651216,975,166
1576653162,35,26
1576655056,41,1707
1576657006,34,1204
1576658899,29,43
1576660810,28,198
1576662756,36,1354
1576664653,34,1015
1576666593,42,1075
1576668520,41,509
1576671392,65,76
1576673542,45,27
1576675475,51,35
1576677373,35,58
1576679309,27,47
1576682440,69,83
1576684335,35,48
1576686282,32,24
1576688179,33,32
1576690124,29,35
1576692101,43,26
1576693960,38,31
1576696118,50,34
1576698015,45,1301
1576700215,70,487
1576702503,992,38
1576704508,244,47
1576706513,1471,43
1576708349,54,38
1576710348,35,35
1576712190,30,38
1576714147,43,43
1576716018,40,27
1576717962,38,40
1576719853,40,29
1576722026,64,42
1576723935,49,34
1576725880,51,32
1576727774,50,36
1576729695,42,49
1576731758,53,42
1576734036,456,36
1576735948,40,20
1576737862,861,974
1576739802,69,51
1576741691,71,50
1576743649,59,36
1576745548,57,39
1576747469,1600,33
1576749428,798,39
1576751299,56,38
1576754461,97,77
1576756336,50,41
1576758264,52,41
1576760172,44,36
1576762103,45,51
1576764147,62,35
1576765975,46,33
1576768121,50,40
1576770016,49,32
1576772214,58,43
1576774101,43,33
1576776033,38,29
1576777951,44,29
1576779854,32,43
1576781778,47,42
1576783715,35,39
1576785905,58,53
1576787792,45,357
1576789721,47,618
1576791635,38,46
1576793545,40,55
1576795472,37,31
1576797616,34,43
1576799534,35,30
1576801473,32,39
1576803373,41,123
1576805303,53,1343
1576808425,94,84
1576810355,36,55
1576812255,30,48
1576814206,31,50
1576816094,40,47
1576818234,65,56
1576820189,40,243
1576822115,47,143
1576824018,1010,897
1576825977,886,41
1576827853,44,55
1576830032,46,96
1576831935,45,60
1576833894,41,75
1576835797,45,56
1576837946,62,79
1576839931,38,56
1576841778,46,53
1576843949,50,65
1576845877,24,38
1576847798,57,69
1576849696,30,50
1576851622,35,48
1576853554,35,50
1576855459,33,41
1576857392,31,53
1576859293,27,46
1576861371,36,48
1576863616,21,53
1576865808,40,61
1576867715,38,37
1576869614,23,265
1576871527,31,2437
1576873453,38,43
1576875368,43,51
1576877338,37,57
1576879330,641,51
1576881161,1378,37
1576883151,606,30
1576884991,27,34
1576886893,27,26
1576888813,75,44
1576890756,118,38
1576892657,82,44
1576894591,91,56
1576896532,6264,33
1576898421,3179,17
1576900334,3214,24
1576902269,1254,28
1576904172,21,35
1576906093,21,38
1576908077,28,38
1576909938,105,80
1576911927,41,1570
1576914042,45,248
1576915943,33,19
1576917857,39,35
1576919832,47,35
1576921699,39,27
1576923632,737,24
1576925538,1561,33
1576927454,27,22
1576929392,88,26
1576931291,28,25
1576934184,51,49
1576936096,35,23
1576938016,26,19
1576939930,33,22
1576941881,29,22
1576943770,23,26
1576945941,38,24
1576947919,20,20
1576949791,26,17
1576951690,33,21
1576953611,19,22
1576955563,27,19
1576957461,26,26
1576959615,32,24
1576961539,24,19
1576963493,21,21
1576965382,38,330
1576967292,26,766
1576969345,28,471
1576971146,30,27
1576973152,26,24
1576974981,24,43
1576976909,16,101
1576978825,32,82
1576980984,24,93
1576982904,25,5798
1576984895,31,3807
1576986734,40,3425
1576988649,47,1394
1576990587,44,37
1576992489,86,31
1576995634,63,143
1576997543,132,54
1576999455,68,47
1577001395,32,60
1577003292,34,51
1577005371,44,56
1577007367,35,48
1577009309,52,47
1577011220,99,63
1577013145,40,1132
1577015085,31,1875
1577016993,45,38
1577019140,42,53
1577021057,33,35
1577022996,46,121
1577025153,50,45
1577027315,166,51
1577029276,261,42
1577031155,1229,30
1577033058,1297,42
1577035013,1000,38
1577036900,1098,28
1577038817,25,25
1577040756,682,36
