DateTime,Entries,UniqueIPs
1576450573,17218,17218
1576452748,17185,17185
1576454674,17189,17189
1576456603,16699,16699
1576458514,16434,16434
1576460431,16430,16430
1576462586,16430,16430
1576464492,16435,16435
1576466430,16427,16427
1576468336,16429,16429
1576470253,16422,16422
1576472628,16425,16425
1576474589,16437,16437
1576476506,16427,16427
1576478422,17365,17365
1576480616,16942,16942
1576482499,16473,16473
1576484432,16283,16283
1576486345,16309,16309
1576488260,16326,16326
1576490197,16355,16355
1576492114,16379,16379
1576494222,16398,16398
1576496188,16427,16427
1576498131,16436,16436
1576500020,16439,16439
1576501954,16314,16314
1576503875,16351,16351
1576505795,17182,17182
1576507944,17166,17166
1576509897,17180,17180
1576511782,17368,17368
1576513697,17639,17639
1576516820,18041,18041
1576518758,17936,17936
1576520685,16165,16165
1576522574,16181,16181
1576524496,16227,16227
1576526569,16121,16121
1576528380,16151,16151
1576530636,16173,16173
1576532681,16178,16178
1576534576,16195,16195
1576536747,16214,16214
1576538656,16228,16228
1576540624,16238,16238
1576542493,16253,16253
1576544583,16121,16121
1576546590,16142,16142
1576548504,16161,16161
1576550432,16184,16184
1576552606,16205,16205
1576554750,16223,16223
1576556678,16237,16237
1576558583,16254,16254
1576560499,15998,15998
1576562622,15932,15932
1576564588,15749,15749
1576566492,17075,17075
1576568417,17888,17888
1576570611,17897,17897
1576572496,17841,17841
1576574681,17286,17286
1576576570,16891,16891
1576578745,16489,16489
1576580715,15679,15679
1576582573,14415,14415
1576584519,13296,13296
1576586423,12577,12577
1576588585,11905,11905
1576590730,11258,11258
1576592674,10871,10871
1576594569,10891,10891
1576596743,10857,10857
1576599624,9862,9862
1576601537,10046,10046
1576603476,10850,10850
1576605377,10836,10836
1576607293,10793,10793
1576610420,10772,10772
1576612365,10767,10767
1576614252,10766,10766
1576616170,10757,10757
1576618111,10750,10750
1576620092,10745,10745
1576621959,10745,10745
1576623902,10742,10742
1576625798,10743,10743
1576627712,10749,10749
1576629611,10741,10741
1576631553,10745,10745
1576633454,10739,10739
1576635617,10724,10724
1576637530,10721,10721
1576639469,10726,10726
1576641373,10713,10713
1576643549,10730,10730
1576645528,10714,10714
1576647391,10715,10715
1576649293,10714,10714
1576651216,11523,11523
1576653162,11532,11532
1576655056,9866,9866
1576657006,8696,8696
1576658899,8682,8682
1576660810,8512,8512
1576662756,7194,7194
1576664653,6213,6213
1576666593,5180,5180
1576668520,4712,4712
1576671392,4701,4701
1576673542,4719,4719
1576675475,4735,4735
1576677373,4712,4712
1576679309,4692,4692
1576682440,4678,4678
1576684335,4665,4665
1576686282,4673,4673
1576688179,4674,4674
1576690124,4668,4668
1576692101,4685,4685
1576693960,4692,4692
1576696118,4708,4708
1576698015,3452,3452
1576700215,3035,3035
1576702503,3989,3989
1576704508,4186,4186
1576706513,5614,5614
1576708349,5630,5630
1576710348,5630,5630
1576712190,5622,5622
1576714147,5622,5622
1576716018,5635,5635
1576717962,5633,5633
1576719853,5644,5644
1576722026,5666,5666
1576723935,5681,5681
1576725880,5700,5700
1576727774,5714,5714
1576729695,5707,5707
1576731758,5718,5718
1576734036,6138,6138
1576735948,6158,6158
1576737862,6045,6045
1576739802,6063,6063
1576741691,6084,6084
1576743649,6107,6107
1576745548,6125,6125
1576747469,7692,7692
1576749428,8451,8451
1576751299,8469,8469
1576754461,8489,8489
1576756336,8498,8498
1576758264,8509,8509
1576760172,8517,8517
1576762103,8511,8511
1576764147,8538,8538
1576765975,8551,8551
1576768121,8561,8561
1576770016,8578,8578
1576772214,8593,8593
1576774101,8603,8603
1576776033,8612,8612
1576777951,8627,8627
1576779854,8616,8616
1576781778,8621,8621
1576783715,8617,8617
1576785905,8622,8622
1576787792,8310,8310
1576789721,7739,7739
1576791635,7731,7731
1576793545,7716,7716
1576795472,7722,7722
1576797616,7713,7713
1576799534,7718,7718
1576801473,7711,7711
1576803373,7629,7629
1576805303,6339,6339
1576808425,6349,6349
1576810355,6330,6330
1576812255,6312,6312
1576814206,6293,6293
1576816094,6286,6286
1576818234,6295,6295
1576820189,6092,6092
1576822115,5996,5996
1576824018,6109,6109
1576825977,6954,6954
1576827853,6943,6943
1576830032,6893,6893
1576831935,6878,6878
1576833894,6844,6844
1576835797,6833,6833
1576837946,6816,6816
1576839931,6798,6798
1576841778,6791,6791
1576843949,6776,6776
1576845877,6762,6762
1576847798,6750,6750
1576849696,6730,6730
1576851622,6717,6717
1576853554,6702,6702
1576855459,6694,6694
1576857392,6672,6672
1576859293,6653,6653
1576861371,6641,6641
1576863616,6609,6609
1576865808,6588,6588
1576867715,6589,6589
1576869614,6347,6347
1576871527,3941,3941
1576873453,3936,3936
1576875368,3928,3928
1576877338,3908,3908
1576879330,4498,4498
1576881161,5839,5839
1576883151,6415,6415
1576884991,6408,6408
1576886893,6409,6409
1576888813,6440,6440
1576890756,6520,6520
1576892657,6558,6558
1576894591,6593,6593
1576896532,12824,12824
1576898421,15986,15986
1576900334,19176,19176
1576902269,20402,20402
1576904172,20388,20388
1576906093,20371,20371
1576908077,20361,20361
1576909938,20386,20386
1576911927,18857,18857
1576914042,18654,18654
1576915943,18668,18668
1576917857,18672,18672
1576919832,18684,18684
1576921699,18696,18696
1576923632,19409,19409
1576925538,20937,20937
1576927454,20942,20942
1576929392,21004,21004
1576931291,21007,21007
1576934184,21009,21009
1576936096,21021,21021
1576938016,21028,21028
1576939930,21039,21039
1576941881,21046,21046
1576943770,21043,21043
1576945941,21057,21057
1576947919,21057,21057
1576949791,21066,21066
1576951690,21078,21078
1576953611,21075,21075
1576955563,21083,21083
1576957461,21083,21083
1576959615,21091,21091
1576961539,21096,21096
1576963493,21096,21096
1576965382,20804,20804
1576967292,20064,20064
1576969345,19621,19621
1576971146,19624,19624
1576973152,19626,19626
1576974981,19607,19607
1576976909,19522,19522
1576978825,19472,19472
1576980984,19403,19403
1576982904,13630,13630
1576984895,9854,9854
1576986734,6469,6469
1576988649,5122,5122
1576990587,5129,5129
1576992489,5184,5184
1576995634,5104,5104
1576997543,5182,5182
1576999455,5203,5203
1577001395,5175,5175
1577003292,5158,5158
1577005371,5146,5146
1577007367,5133,5133
1577009309,5138,5138
1577011220,5174,5174
1577013145,4082,4082
1577015085,2238,2238
1577016993,2245,2245
1577019140,2234,2234
1577021057,2232,2232
1577022996,2157,2157
1577025153,2162,2162
1577027315,2277,2277
1577029276,2496,2496
1577031155,3695,3695
1577033058,4950,4950
1577035013,5912,5912
1577036900,6982,6982
1577038817,6982,6982
1577040756,7628,7628
1577042660,9980,9980
1577044599,10018,10018
1577046497,10005,10005
1577048512,9986,9986
1577050365,10131,10131
1577052273,10128,10128
1577054175,10128,10128
1577056140,10103,10103
1577058018,10092,10092
1577060189,10080,10080
1577062340,10073,10073
1577064259,10073,10073
1577066194,10068,10068
1577068098,10065,10065
1577071244,10050,10050
1577073144,10040,10040
1577075051,10028,10028
1577077005,10025,10025
1577078890,10012,10012
1577080876,10000,10000
1577082760,14143,14143
1577084702,14385,14385
1577086816,14370,14370
1577088983,14545,14545
1577091138,14729,14729
1577093054,14732,14732
1577094995,14723,14723
1577096896,14789,14789
1577098910,15077,15077
1577100800,15085,15085
1577102927,15075,15075
1577104824,15072,15072
1577106738,15063,15063
1577108672,15067,15067
1577110588,15053,15053
1577112492,15051,15051
1577114442,15061,15061
1577116355,14565,14565
1577118255,13855,13855
1577120223,13078,13078
1577122139,12539,12539
1577124063,12099,12099
1577125969,12109,12109
1577127862,11160,11160
1577130014,9564,9564
1577131936,9560,9560
1577133878,9773,9773
1577136042,10507,10507
1577137933,10345,10345
1577139860,10339,10339
1577142996,10379,10379
1577144892,10927,10927
1577146812,10945,10945
1577148753,10959,10959
1577150651,10971,10971
1577153003,11824,11824
1577155231,11827,11827
1577157163,11829,11829
1577159056,11825,11825
1577161244,11847,11847
1577163131,11859,11859
1577165081,11857,11857
1577168230,11265,11265
1577170095,12109,12109
1577172034,13697,13697
1577173942,15076,15076
1577175877,14859,14859
1577177775,14800,14800
1577179955,14802,14802
1577181933,14812,14812
1577183797,14583,14583
1577185711,14326,14326
1577187632,14310,14310
1577189563,14308,14308
1577191459,14301,14301
1577193408,14286,14286
1577195318,14273,14273
1577197216,14265,14265
1577199181,14198,14198
1577201077,14178,14178
1577202982,14179,14179
1577204895,14184,14184
1577206966,14188,14188
1577208976,14191,14191
1577210950,14192,14192
1577212816,14194,14194
1577214752,14182,14182
1577216672,9958,9958
1577218833,9958,9958
1577220757,9119,9119
1577222658,8405,8405
1577224585,8365,8365
1577226507,8367,8367
1577228524,8352,8352
1577230339,7686,7686
1577232314,7663,7663
1577234191,7640,7640
1577236367,7624,7624
1577238256,6742,6742
1577240175,6726,6726
1577242113,6708,6708
1577244012,6698,6698
1577245935,6670,6670
1577247869,6642,6642
1577249789,6625,6625
1577251710,6608,6608
1577253720,6599,6599
1577255568,6474,6474
1577257500,6123,6123
1577259617,5741,5741
1577261538,4099,4099
1577263473,2038,2038
1577265389,1971,1971
1577267303,1961,1961
1577269230,1934,1934
1577271134,1909,1909
1577273054,1902,1902
1577274995,1896,1896
1577276893,1878,1878
1577278909,1866,1866
1577280775,1862,1862
1577282678,1892,1892
1577284841,1990,1990
1577286997,1974,1974
1577289142,1950,1950
1577291081,1935,1935
1577292974,1920,1920
1577295146,1915,1915
1577297088,1902,1902
1577298999,1875,1875
1577300903,1863,1863
1577302823,1854,1854
1577304773,1846,1846
1577306668,1837,1837
1577308930,1826,1826
1577310758,1817,1817
1577312695,1799,1799
1577314596,1793,1793
1577316500,1788,1788
1577319627,1769,1769
1577321529,1757,1757
1577323456,1742,1742
1577325397,1743,1743
1577327287,1750,1750
1577330423,1735,1735
1577332339,1741,1741
1577334275,1736,1736
1577336175,1732,1732
1577338095,1747,1747
1577340274,1751,1751
1577342192,2109,2109
1577344123,1801,1801
1577346036,1950,1950
1577348205,2004,2004
1577350341,2024,2024
1577352258,2033,2033
1577354184,2039,2039
1577356104,2052,2052
1577358152,2069,2069
1577359969,2085,2085
1577361917,2105,2105
1577363794,2122,2122
1577365695,2144,2144
1577367620,2151,2151
1577369558,2018,2018
1577371457,2032,2032
1577373617,2044,2044
1577375533,2063,2063
1577377474,2067,2067
1577379374,2086,2086
1577381546,2097,2097
1577383521,2126,2126
1577385374,2154,2154
1577387336,2178,2178
1577389216,2193,2193
1577391166,2203,2203
1577393060,2214,2214
1577395233,2229,2229
1577397142,2251,2251
1577399062,2277,2277
1577400984,2286,2286
1577402896,2312,2312
1577406016,2332,2332
1577407931,2346,2346
1577409850,2363,2363
1577411770,2385,2385
1577413709,2402,2402
1577415688,2426,2426
1577417555,2445,2445
1577419495,2454,2454
1577421615,2475,2475
1577423786,2506,2506
1577425936,2511,2511
1577427854,1807,1807
1577429806,1564,1564
1577431690,1528,1528
1577433704,2380,2380
1577435556,2355,2355
1577437487,3275,3275
1577439368,4622,4622
1577441326,5620,5620
1577443217,6841,6841
1577445389,7675,7675
