DateTime,AddedIPs,RemovedIPs
1576450578,143,111
1576452788,133,69
1576454740,168,103
1576456609,168,110
1576458519,112,106
1576460447,139,134
1576462610,128,102
1576464499,124,116
1576466436,130,103
1576468343,88,116
1576470278,100,105
1576472742,94,164
1576475531,135,157
1576477476,90,80
1576479387,106,88
1576481310,101,87
1576484438,157,186
1576486351,89,108
1576488267,104,116
1576490212,110,134
1576492121,115,144
1576494345,143,154
1576496194,111,139
1576498138,101,149
1576500026,126,129
1576501959,121,168
1576503882,79,154
1576505824,96,152
1576507951,124,156
1576509904,122,177
1576511788,119,173
1576513702,111,215
1576516824,174,272
1576518762,96,287
1576520691,120,681
1576522581,103,2999
1576524515,124,1430
1576526724,123,2040
1576528843,114,1921
1576531002,106,2197
1576533140,112,2256
1576535080,119,1794
1576536991,116,2056
1576538917,174,1883
1576541113,172,1888
1576543023,182,1801
1576545184,149,2059
1576547061,125,1885
1576549019,135,1654
1576550901,155,1950
1576552843,137,1712
1576554764,164,2380
1576556683,115,821
1576558598,118,65
1576560503,148,78
1576562667,131,120
1576564592,116,106
1576566497,115,109
1576568423,132,95
1576570617,147,107
1576572501,134,95
1576574695,204,116
1576576579,272,98
1576578785,343,132
1576580754,293,132
1576582631,354,123
1576584523,303,95
1576586430,301,134
1576588589,353,119
1576590734,379,94
1576592679,321,97
1576594573,256,107
1576596747,117,125
1576599638,239,154
1576601542,136,122
1576603506,110,96
1576605396,136,89
1576607298,113,109
1576610425,201,193
1576612370,178,105
1576614256,194,113
1576616174,181,103
1576618116,155,75
1576620301,157,102
1576622426,136,105
1576624372,104,138
1576626259,144,123
1576628437,128,152
1576630333,130,118
1576632275,203,101
1576634172,91,117
1576636141,94,117
1576639258,205,205
1576641133,191,130
1576643085,120,106
1576645004,181,94
1576647140,142,118
1576650022,212,163
1576651939,135,121
1576653894,138,95
1576655780,149,132
1576657726,116,136
1576660609,229,163
1576662561,194,262
1576664428,148,241
1576666331,124,284
1576668252,116,270
1576670192,146,328
1576672093,107,271
1576674311,147,383
1576676205,176,326
1576678117,106,331
1576680054,97,367
1576682193,140,167
1576684339,120,184
1576686286,113,141
1576688204,118,156
1576690128,125,123
1576692277,186,166
1576694180,131,126
1576696121,120,124
1576698019,100,162
1576700220,129,187
1576702508,157,298
1576704513,120,184
1576706724,144,170
1576708582,127,106
1576710766,138,129
1576712657,85,133
1576714820,160,125
1576716737,109,143
1576718674,116,189
1576720607,124,103
1576722505,99,98
1576724616,154,126
1576726590,127,122
1576728507,281,170
1576730411,679,138
1576732367,98,171
1576734250,97,116
1576736197,113,119
1576738100,548,157
1576740010,91,132
1576741956,108,123
1576743869,105,123
1576745783,116,168
1576747955,136,151
1576750121,145,230
1576752018,126,98
1576753951,126,121
1576755880,103,113
1576757817,80,148
1576759717,135,102
1576761625,121,224
1576763556,119,106
1576765454,105,91
1576767403,125,120
1576769546,125,116
1576771719,111,123
1576773636,121,107
1576775797,88,129
1576777955,166,168
1576779868,119,193
1576781782,114,109
1576783719,128,93
1576785917,126,113
1576787796,172,98
1576789724,135,118
1576791669,172,103
1576793548,132,119
1576795475,127,125
1576797620,126,114
1576799536,118,88
1576801498,118,120
1576803388,124,91
1576805307,116,111
1576807428,119,126
1576809369,111,116
1576811330,90,123
1576813217,87,109
1576815140,100,457
1576817086,112,588
1576819241,115,114
1576821142,98,113
1576823088,96,502
1576824991,169,196
1576826902,104,122
1576828894,123,106
1576830732,105,117
1576832677,121,128
1576834588,115,121
1576836492,96,148
1576838439,143,137
1576840344,149,137
1576842264,156,124
1576844206,206,97
1576846109,137,140
1576848014,126,142
1576849961,190,152
1576851854,132,116
1576854062,191,163
1576855966,122,117
1576857888,111,87
1576860025,163,137
1576862190,119,101
1576864098,122,129
1576866289,160,144
1576868180,118,108
1576870343,138,122
1576872642,121,132
1576874661,119,255
1576876627,126,129
1576878490,127,178
1576880429,108,150
1576882336,109,130
1576884273,146,116
1576886191,165,126
1576888103,135,125
1576890261,123,139
1576892190,136,124
1576894094,127,112
1576896015,152,120
1576897961,132,97
1576899855,133,97
1576902035,115,136
1576903936,112,108
1576905873,103,100
1576907773,142,96
1576909951,142,125
1576911934,128,135
1576914046,148,103
1576915947,113,112
1576917860,100,127
1576919836,129,118
1576921704,132,103
1576923660,107,106
1576925543,110,133
1576927459,58,154
1576929430,118,186
1576931306,94,170
1576933410,87,141
1576935631,120,197
1576937568,95,159
1576939452,87,154
1576941372,93,128
1576943313,92,112
1576945222,91,150
1576947145,94,122
1576949074,67,101
1576950994,75,152
1576952893,69,137
1576954878,947,126
1576956735,85,118
1576958691,111,110
1576960600,116,115
1576962523,79,124
1576964447,50,140
1576966354,55,119
1576968276,63,125
1576970432,99,164
1576972344,93,157
1576974276,101,204
1576976180,84,124
1576978113,102,152
1576980056,78,140
1576981982,86,148
1576983904,101,142
1576985784,108,151
1576987714,79,142
1576989624,90,136
1576991799,78,141
1576993698,74,152
1576995649,76,157
1576997548,88,145
1576999465,72,136
1577001400,70,158
1577003297,94,134
1577005513,373,158
1577007373,81,164
1577009315,108,122
1577011224,96,115
1577013149,122,76
1577015089,113,88
1577016997,100,75
1577019144,91,87
1577021062,99,83
1577023024,89,98
1577025160,80,84
1577027321,97,110
1577029280,87,94
1577031159,74,70
1577033062,83,92
1577035017,80,72
1577036905,93,67
