DateTime,Entries,UniqueIPs
1576452036,4300,4300
1576453953,4364,4364
1576455866,4408,4408
1576457783,4442,4442
1576459711,4483,4483
1576461722,4523,4523
1576463582,4556,4556
1576465527,4575,4575
1576467636,4579,4579
1576469538,4559,4559
1576471473,4505,4505
1576473652,4454,4454
1576475533,4469,4469
1576477479,4467,4467
1576479390,4470,4470
1576481314,4473,4473
1576484444,4449,4449
1576486379,4443,4443
1576488275,4434,4434
1576490217,4378,4378
1576492126,4315,4315
1576494354,4263,4263
1576496199,4219,4219
1576498164,4157,4157
1576500071,4114,4114
1576501964,4067,4067
1576503892,4008,4008
1576505846,3934,3934
1576507961,3893,3893
1576509910,3828,3828
1576511796,3768,3768
1576513711,3664,3664
1576515908,3585,3585
1576518041,3493,3493
1576520243,3438,3438
1576522117,3355,3355
1576524142,3286,3286
1576526208,3204,3204
1576528389,3105,3105
1576530644,3017,3017
1576532689,2957,2957
1576534582,2923,2923
1576536753,2877,2877
1576538684,2876,2876
1576540632,2861,2861
1576542499,2863,2863
1576544751,2828,2828
1576546599,2779,2779
1576548538,2745,2745
1576550467,2704,2704
1576552613,2679,2679
1576554768,2734,2734
1576556690,2754,2754
1576558622,2786,2786
1576560507,2838,2838
1576562689,2845,2845
1576564596,2852,2852
1576566500,2872,2872
1576568427,2903,2903
1576570620,2934,2934
1576572508,2950,2950
1576574699,3019,3019
1576576585,3189,3189
1576578789,3432,3432
1576580759,3625,3625
1576582635,3847,3847
1576584532,4052,4052
1576586436,4239,4239
1576588593,4415,4415
1576590738,4653,4653
1576592690,4853,4853
1576594578,5009,5009
1576596750,5008,5008
1576598726,5025,5025
1576600595,5039,5039
1576602509,5081,5081
1576604417,5102,5102
1576606359,5118,5118
1576608260,5141,5141
1576610428,5141,5141
1576612374,5175,5175
1576614259,5233,5233
1576616178,5301,5301
1576618119,5341,5341
1576620308,5361,5361
1576622429,5378,5378
1576624375,5369,5369
1576626263,5400,5400
1576628446,5375,5375
1576630337,5370,5370
1576632280,5401,5401
1576634176,5379,5379
1576636145,5358,5358
1576639260,5391,5391
1576641134,5458,5458
1576643087,5474,5474
1576645006,5545,5545
1576647142,5549,5549
1576650024,5545,5545
1576651940,5537,5537
1576653896,5564,5564
1576655782,5551,5551
1576657727,5536,5536
1576659653,5598,5598
1576661539,5512,5512
1576663733,5472,5472
1576665617,5291,5291
1576667541,5173,5173
1576669478,4972,4972
1576671396,4813,4813
1576673545,4577,4577
1576675479,4489,4489
1576677378,4259,4259
1576679313,4028,4028
1576681507,3892,3892
1576683616,3885,3885
1576685566,3885,3885
1576687455,3884,3884
1576689411,3882,3882
1576691317,3897,3897
1576693229,3926,3926
1576695131,3900,3900
1576697076,3879,3879
1576700227,3820,3820
1576702512,3767,3767
1576704516,3760,3760
1576706729,3720,3720
1576708585,3747,3747
1576710769,3741,3741
1576712661,3705,3705
1576714827,3743,3743
1576716740,3755,3755
1576718677,3749,3749
1576720609,3773,3773
1576722509,3795,3795
1576724747,3793,3793
1576726593,3773,3773
1576728514,3729,3729
1576730414,3694,3694
1576732370,3635,3635
1576734253,3632,3632
1576736200,3663,3663
1576738104,3645,3645
1576740015,3620,3620
1576741959,3629,3629
1576743872,3631,3631
1576745787,3606,3606
1576747959,3617,3617
1576750125,3552,3552
1576752022,3570,3570
1576753954,3560,3560
1576755883,3538,3538
1576757820,3494,3494
1576759720,3527,3527
1576761631,3401,3401
1576763559,3410,3410
1576765457,3421,3421
1576767407,3425,3425
1576769549,3436,3436
1576771762,3435,3435
1576773641,3430,3430
1576775800,3389,3389
1576777958,3378,3378
1576779871,3316,3316
1576781785,3358,3358
1576783726,3399,3399
1576785920,3397,3397
1576787802,3445,3445
1576789726,3447,3447
1576791685,3474,3474
1576793551,3486,3486
1576795478,3478,3478
1576797623,3491,3491
1576799540,3512,3512
1576801517,3512,3512
1576803391,3530,3530
1576805317,3534,3534
1576807463,3539,3539
1576809372,3542,3542
1576811337,3534,3534
1576813219,3510,3510
1576815142,3501,3501
1576817089,3514,3514
1576819260,3531,3531
1576821145,3548,3548
1576823109,3536,3536
1576824999,3592,3592
1576826905,3583,3583
1576828990,3583,3583
1576830992,3581,3581
1576832891,3562,3562
1576834826,3546,3546
1576836773,3516,3516
1576838653,3534,3534
1576840596,3543,3543
1576842498,3579,3579
1576844410,3658,3658
1576846348,3651,3651
1576848251,3644,3644
1576851402,3710,3710
1576853296,3737,3737
1576855216,3751,3751
1576857138,3767,3767
1576859053,3812,3812
1576860997,3840,3840
1576862907,3848,3848
1576864957,3851,3851
1576866990,3868,3868
1576868935,3863,3863
1576870814,3869,3869
1576872645,3882,3882
1576874664,3848,3848
1576876639,3856,3856
1576878494,3866,3866
1576880431,3849,3849
1576882342,3842,3842
1576884275,3865,3865
1576886207,3911,3911
1576888106,3938,3938
1576890280,3960,3960
1576892202,3969,3969
1576894098,3975,3975
1576896018,4006,4006
1576897963,4045,4045
1576899857,4066,4066
1576902039,4082,4082
1576903939,4090,4090
1576905875,4102,4102
1576907775,4120,4120
1576909954,4150,4150
1576911936,4155,4155
1576914050,4171,4171
1576915950,4195,4195
1576917863,4202,4202
1576919840,4230,4230
1576921710,4240,4240
1576923663,4247,4247
1576925546,4208,4208
1576927462,4151,4151
1576929433,4086,4086
1576931309,3988,3988
1576933491,3922,3922
1576935634,3840,3840
1576937574,3759,3759
1576939455,3702,3702
1576941375,3641,3641
1576943316,3609,3609
1576945239,3534,3534
1576947148,3498,3498
1576949077,3457,3457
1576950999,3391,3391
1576952899,3336,3336
1576954987,3301,3301
1576957014,3269,3269
1576958893,3261,3261
1576960815,3235,3235
1576962744,3175,3175
1576964669,3083,3083
1576966574,3029,3029
1576968499,2984,2984
1576970435,2931,2931
1576972347,2856,2856
1576974278,2713,2713
1576976182,2652,2652
1576978116,2601,2601
1576980121,2548,2548
1576981985,2490,2490
1576983918,2454,2454
1576985787,2419,2419
1576987716,2355,2355
1576989628,2286,2286
1576991802,2212,2212
1576993700,2148,2148
1576995654,2070,2070
1576997554,1999,1999
1576999468,1932,1932
1577001410,1860,1860
1577003300,1786,1786
1577005516,1706,1706
1577007376,1635,1635
1577009318,1590,1590
1577011226,1557,1557
1577013152,1557,1557
1577015092,1548,1548
1577017001,1575,1575
1577019147,1594,1594
1577021065,1634,1634
1577023027,1640,1640
1577025163,1643,1643
1577027325,1647,1647
1577029299,1645,1645
1577031162,1641,1641
1577033066,1642,1642
1577035043,1659,1659
1577036909,1663,1663
1577038854,1683,1683
1577040767,1702,1702
1577042673,1704,1704
1577044608,1699,1699
1577046508,1699,1699
1577048731,1714,1714
1577050822,1736,1736
1577052743,1761,1761
1577054679,1795,1795
1577056605,1796,1796
1577058494,1808,1808
1577060445,1818,1818
1577062395,1840,1840
1577064268,1816,1816
1577066204,1819,1819
1577068108,1819,1819
1577070315,1799,1799
1577072427,1785,1785
1577074355,1811,1811
1577076310,1818,1818
1577078183,1825,1825
1577080337,1842,1842
1577082262,1864,1864
1577084205,1865,1865
1577086095,1887,1887
1577088227,1912,1912
1577090418,1920,1920
1577092339,1953,1953
1577094284,1964,1964
1577096180,1981,1981
1577098336,2016,2016
1577100255,2023,2023
1577102192,2030,2030
1577104108,2050,2050
1577106113,2059,2059
1577107961,2050,2050
1577109809,2031,2031
1577112073,2020,2020
1577114195,2030,2030
1577116366,2031,2031
1577118263,2031,2031
