DateTime,AddedIPs,RemovedIPs
1576455867,6,37
1576457784,30,18
1576459712,9,22
1576461802,8,47
1576464038,24,33
1576465939,38,13
1576467882,55,13
1576469785,28,23
1576471980,9,20
1576473876,14,8
1576475777,21,22
1576477944,15,19
1576480120,32,27
1576482040,24,17
1576484200,29,24
1576486380,12,8
1576488276,11,5
1576490218,22,5
1576492127,16,8
1576494355,32,12
1576496200,17,5
1576498165,14,25
1576500072,9,6
1576501965,9,30
1576503893,7,7
1576505847,8,18
1576507962,5,20
1576509911,7,28
1576511797,15,45
1576513713,27,14
1576515916,18,10
1576518042,6,7
1576520244,13,10
1576522118,11,17
1576524143,10,8
1576526210,11,10
1576528390,25,31
1576530645,16,9
1576532691,7,8
1576534583,13,8
1576536755,20,11
1576538685,37,10
1576540633,44,8
1576542500,31,13
1576544760,14,22
1576546600,18,9
1576548541,17,10
1576550468,23,17
1576552614,37,61
1576554770,26,45
1576556691,23,31
1576558623,12,9
1576560509,4,10
1576562691,18,28
1576564597,14,15
1576566501,8,26
1576568428,29,24
1576570621,19,29
1576572509,45,10
1576574700,10,13
1576576586,10,22
1576578790,17,20
1576580760,11,30
1576582636,10,17
1576584533,8,16
1576586437,8,10
1576588594,22,9
1576590739,31,7
1576592692,17,8
1576594579,7,5
1576596752,5,6
1576598728,48,19
1576600596,4,22
1576602511,14,12
1576604419,8,3
1576606360,22,10
1576608262,29,10
1576610429,9,11
1576612375,7,10
1576614260,11,22
1576616179,24,19
1576618120,61,9
1576620312,35,9
1576622430,32,16
1576624377,10,28
1576626264,13,47
1576628447,30,39
1576630338,16,18
1576632282,26,18
1576634177,19,21
1576636146,22,13
1576638244,8,31
1576640193,12,34
1576642107,28,19
1576644017,14,17
1576645958,46,8
1576647856,16,9
1576649778,8,18
1576651727,9,6
1576653611,7,25
1576655534,15,13
1576657454,10,32
1576659397,12,40
1576661317,12,6
1576664430,31,20
1576666333,13,11
1576668254,9,9
1576670194,5,9
1576672095,7,12
1576674372,17,11
1576676209,10,37
1576678120,16,16
1576680062,11,10
1576682196,35,10
1576684341,15,43
1576686289,6,9
1576688207,5,14
1576690131,13,12
1576692310,48,11
1576694183,49,32
1576696124,26,13
1576698023,15,5
1576700227,22,3
1576702512,30,24
1576704517,19,68
1576706730,34,37
1576708586,24,33
1576710770,19,9
1576712661,15,14
1576714827,10,29
1576716741,15,15
1576718677,16,26
1576720610,36,26
1576722509,11,21
1576724749,6,8
1576726594,11,13
1576728526,5,22
1576730415,5,16
1576732371,8,51
1576734254,9,17
1576736201,22,9
1576738104,16,7
1576740016,3,5
1576741960,6,15
1576743873,10,9
1576745787,9,12
1576747960,19,16
1576750126,17,24
1576752023,39,9
1576753955,5,14
1576755884,2,6
1576757822,5,12
1576759721,5,11
1576761632,8,10
1576763561,11,11
1576765458,5,7
1576767408,9,27
1576769551,23,24
1576771766,21,13
1576773642,11,4
1576775801,2,8
1576777959,4,39
1576779872,7,48
1576781786,8,40
1576783727,5,26
1576785921,14,15
1576787803,10,26
1576789728,30,36
1576791687,8,27
1576793553,9,23
1576795479,5,27
1576797624,4,19
1576799541,33,10
1576801518,55,12
1576803392,31,14
1576805318,20,20
1576807469,8,32
1576809373,9,10
1576811338,28,6
1576813220,5,11
1576815143,20,7
1576817090,22,4
1576819261,29,6
1576821146,5,21
1576823117,8,24
1576825000,12,17
1576826907,13,4
1576829014,25,11
1576830992,30,9
1576832891,7,18
1576834826,4,7
1576836773,7,19
1576838654,3,43
1576840597,5,3
1576842498,12,1
1576844410,8,8
1576846349,12,5
1576848251,14,6
1576851403,25,15
1576853297,7,7
1576855216,4,11
1576857139,11,26
1576859053,8,15
1576860997,7,3
1576862908,10,5
1576864977,5,4
1576866991,15,7
1576868936,19,7
1576870814,7,5
1576872646,4,11
1576874664,6,9
1576876640,8,27
1576878494,16,7
1576880432,45,10
1576882342,34,7
1576884276,17,3
1576886208,10,26
1576888107,7,52
1576890281,17,28
1576892202,30,14
1576894098,6,5
1576896019,20,11
1576897964,23,21
1576899858,25,5
1576902040,7,24
1576903939,6,14
1576905876,8,28
1576907776,15,7
1576909955,22,8
1576911937,24,21
1576914050,9,12
1576915951,8,24
1576917864,4,28
1576919840,8,6
1576921710,9,3
1576923664,8,7
1576925546,6,4
1576927463,14,4
1576929434,20,16
1576931309,4,3
1576933491,8,17
1576935635,6,27
1576937575,6,11
1576939456,4,7
1576941375,3,1
1576943316,13,16
1576945239,16,12
1576947149,15,7
1576949077,8,5
1576951001,5,4
1576952900,5,8
1576955018,16,24
1576957015,26,9
1576958894,37,4
1576960815,31,5
1576962745,26,9
1576964669,10,9
1576966575,5,36
1576968499,19,41
1576970436,21,17
1576972348,11,15
1576974279,23,6
1576976183,16,11
1576978116,17,37
1576980148,8,4
1576981986,4,24
1576983920,9,20
1576985787,14,20
1576987717,24,10
1576989628,19,8
1576991802,24,9
1576993701,12,16
1576995655,7,12
1576997554,6,27
1576999468,3,11
1577001410,3,8
1577003300,11,6
1577005517,35,11
1577007377,10,10
1577009319,43,6
1577011250,7,7
1577013152,7,12
1577015093,6,27
1577017002,8,6
1577019148,5,6
1577021067,4,8
1577023028,5,4
1577025164,4,6
1577027326,24,6
1577029299,13,9
1577031163,7,19
1577033067,5,18
1577035045,13,8
1577036910,3,3
1577038855,7,6
1577040769,6,15
1577042674,2,14
1577044609,4,37
1577046509,14,39
1577048732,14,24
1577050824,4,10
1577052745,3,6
1577054680,7,25
1577056606,3,21
1577058495,33,12
1577060447,37,24
1577062397,25,17
1577064270,17,20
1577066205,8,12
1577068109,2,3
1577070316,24,11
1577072429,17,17
1577074356,13,18
1577076311,20,27
1577078185,24,17
1577080338,14,13
1577082263,12,7
1577084206,7,4
1577086096,11,4
1577088307,20,6
1577090420,24,25
1577092340,24,16
1577094286,14,15
1577096189,6,40
1577098338,8,11
1577100257,14,4
1577102193,2,9
1577104110,13,7
1577107238,12,3
1577109144,8,6
1577111067,18,6
1577113000,10,19
1577114895,8,18
1577116999,9,8
1577119012,9,8
1577120917,7,8
1577122827,6,9
1577125017,10,4
1577127169,6,7
1577129101,16,2
1577131011,18,8
1577132931,11,14
1577135116,6,9
1577136996,4,7
1577138977,6,2
1577140849,22,8
1577142773,32,4
1577144661,30,29
1577146611,33,38
1577148499,29,21
1577150441,6,18
1577152431,14,9
1577154281,22,2
1577156206,12,15
1577158350,16,21
