DateTime,AddedIPs,RemovedIPs
1576453957,95,71
1576455874,53,88
1576457787,91,76
1576459715,50,55
1576461885,55,33
1576464041,57,61
1576465941,49,46
1576467885,51,45
1576469789,91,52
1576471983,99,92
1576473879,78,55
1576475781,92,58
1576477948,79,74
1576480133,58,95
1576482044,58,41
1576484215,41,57
1576486384,53,62
1576488281,69,48
1576490221,57,54
1576492132,62,49
1576494360,68,58
1576496203,59,58
1576498169,53,61
1576500090,57,47
1576501969,54,70
1576503897,50,58
1576505850,47,43
1576508012,52,43
1576509914,61,46
1576511800,55,62
1576513715,77,51
1576515928,76,83
1576518044,74,70
1576520248,58,543
1576522120,74,776
1576524145,65,51
1576526212,67,53
1576528392,81,40
1576530649,88,68
1576532695,48,76
1576534592,86,62
1576536759,81,308
1576538689,65,91
1576540636,85,89
1576542504,64,50
1576544770,73,86
1576546613,83,49
1576548582,53,63
1576550480,56,42
1576552648,70,74
1576554818,66,84
1576556694,64,99
1576558626,63,85
1576560512,76,76
1576562705,59,87
1576564600,62,70
1576566504,70,58
1576568430,52,71
1576570625,92,72
1576572511,64,54
1576574703,51,95
1576576589,57,55
1576578793,71,82
1576580763,57,66
1576582682,46,65
1576584536,83,50
1576586440,67,59
1576588596,63,46
1576590742,86,50
1576592695,56,73
1576594581,41,71
1576596755,60,107
1576598731,66,78
1576600601,88,88
1576602514,59,80
1576604423,52,71
1576606362,75,82
1576608275,54,88
1576610432,71,77
1576612377,48,69
1576614263,75,72
1576616197,52,50
1576618123,77,64
1576620315,76,71
1576622434,85,68
1576624379,70,58
1576626267,46,74
1576628450,65,66
1576630340,60,58
1576632284,96,60
1576634180,75,49
1576636149,70,59
1576638361,70,75
1576640197,68,60
1576642110,80,72
1576644021,49,46
1576645960,39,70
1576647859,79,63
1576649780,63,60
1576651731,57,73
1576653613,50,69
1576655537,50,66
1576657457,45,74
1576659401,47,60
1576661320,72,67
1576663480,51,78
1576665619,84,60
1576667544,199,68
1576669480,787,56
1576671399,545,68
1576673577,852,61
1576675482,507,69
1576677381,809,87
1576679316,749,51
1576681546,862,51
1576683619,859,81
1576685569,713,75
1576687459,791,63
1576689414,649,47
1576691330,692,48
1576693232,616,54
1576695135,754,51
1576697079,760,43
1576699460,889,42
1576701380,864,60
1576703325,786,49
1576705223,900,52
1576707150,783,66
1576709072,859,48
1576711235,801,57
1576713143,796,41
1576715075,741,44
1576716982,870,45
1576719148,808,112
1576721040,661,31
1576722995,781,45
1576724924,666,42
1576726822,754,35
1576728766,659,52
1576730665,803,31
1576732849,825,56
1576734758,410,30
1576736661,39,46
1576738571,29,28
1576740526,22,36
1576742603,34,38
1576744588,43,32
1576746507,48,31
1576748446,43,40
1576750356,132,34
1576752273,43,37
1576754467,33,376
1576756355,49,694
1576758270,31,553
1576760178,39,750
1576762109,40,510
1576764315,38,815
1576766448,34,915
1576768603,36,831
1576770520,36,805
1576772654,47,775
1576774574,42,780
1576776492,46,622
1576778626,36,701
1576780852,53,830
1576782759,49,695
1576784690,40,787
1576786844,44,877
1576788737,41,870
1576790665,49,778
1576792610,48,899
1576794805,67,872
1576796745,42,726
1576798605,53,772
1576800508,65,760
1576802433,38,904
1576804362,43,781
1576806287,46,775
1576808209,48,649
1576810361,57,916
1576812262,58,657
1576814211,53,766
1576816100,55,717
1576818378,53,906
1576820195,60,751
1576822122,52,101
1576824025,48,45
1576825984,79,36
1576827859,51,43
1576830042,60,62
1576831943,57,61
1576833910,57,64
1576835806,56,137
1576837959,67,65
1576839953,55,52
1576841788,114,131
1576843957,66,53
1576845887,52,51
1576847806,51,53
1576849738,47,49
1576851640,63,57
1576853597,36,44
1576855467,51,68
1576857399,61,92
1576859323,54,60
1576861504,57,67
1576863624,61,73
1576865818,63,71
1576867724,57,47
1576869623,57,51
1576871534,41,55
1576873462,51,53
1576875376,60,59
1576877346,69,66
1576879482,53,62
1576881624,54,66
1576883573,71,54
1576885457,47,49
1576887629,55,75
1576889534,50,57
1576891476,210,53
1576894602,948,95
1576896553,758,56
1576898428,635,71
1576900343,341,57
1576902277,47,60
1576904180,50,50
1576906100,62,53
1576908288,415,61
1576910199,738,44
1576912364,739,75
1576914270,545,44
1576916206,42,39
1576918105,36,57
1576920271,48,63
1576922683,49,75
1576924586,51,50
1576926529,47,48
1576928416,63,108
