DateTime,Entries,UniqueIPs
1576453957,6080,6080
1576455874,6045,6045
1576457787,6060,6060
1576459715,6055,6055
1576461885,6077,6077
1576464041,6073,6073
1576465941,6076,6076
1576467885,6082,6082
1576469789,6121,6121
1576471983,6128,6128
1576473879,6151,6151
1576475781,6185,6185
1576477948,6190,6190
1576480133,6153,6153
1576482044,6170,6170
1576484215,6154,6154
1576486384,6145,6145
1576488281,6166,6166
1576490221,6169,6169
1576492132,6182,6182
1576494360,6192,6192
1576496203,6193,6193
1576498169,6185,6185
1576500090,6195,6195
1576501969,6179,6179
1576503897,6171,6171
1576505850,6175,6175
1576508012,6184,6184
1576509914,6199,6199
1576511800,6192,6192
1576513715,6218,6218
1576515928,6211,6211
1576518044,6215,6215
1576520248,5730,5730
1576522120,5028,5028
1576524145,5042,5042
1576526212,5056,5056
1576528392,5097,5097
1576530649,5117,5117
1576532695,5089,5089
1576534592,5113,5113
1576536759,4886,4886
1576538689,4860,4860
1576540636,4856,4856
1576542504,4870,4870
1576544770,4857,4857
1576546613,4891,4891
1576548582,4881,4881
1576550480,4895,4895
1576552648,4891,4891
1576554818,4873,4873
1576556694,4838,4838
1576558626,4816,4816
1576560512,4816,4816
1576562705,4788,4788
1576564600,4780,4780
1576566504,4792,4792
1576568430,4773,4773
1576570625,4793,4793
1576572511,4803,4803
1576574703,4759,4759
1576576589,4761,4761
1576578793,4750,4750
1576580763,4741,4741
1576582682,4722,4722
1576584536,4755,4755
1576586440,4763,4763
1576588596,4780,4780
1576590742,4816,4816
1576592695,4799,4799
1576594581,4769,4769
1576596755,4722,4722
1576598731,4710,4710
1576600601,4710,4710
1576602514,4689,4689
1576604423,4670,4670
1576606362,4663,4663
1576608275,4629,4629
1576610432,4623,4623
1576612377,4602,4602
1576614263,4605,4605
1576616197,4607,4607
1576618123,4620,4620
1576620315,4625,4625
1576622434,4642,4642
1576624379,4654,4654
1576626267,4626,4626
1576628450,4625,4625
1576630340,4627,4627
1576632284,4663,4663
1576634180,4689,4689
1576636149,4700,4700
1576638361,4695,4695
1576640197,4703,4703
1576642110,4711,4711
1576644021,4714,4714
1576645960,4683,4683
1576647859,4699,4699
1576649780,4702,4702
1576651731,4686,4686
1576653613,4667,4667
1576655537,4651,4651
1576657457,4622,4622
1576659401,4609,4609
1576661320,4614,4614
1576663480,4587,4587
1576665619,4611,4611
1576667544,4742,4742
1576669480,5473,5473
1576671399,5950,5950
1576673577,6741,6741
1576675482,7179,7179
1576677381,7901,7901
1576679316,8599,8599
1576681546,9410,9410
1576683619,10188,10188
1576685569,10826,10826
1576687459,11554,11554
1576689414,12156,12156
1576691330,12800,12800
1576693232,13362,13362
1576695135,14065,14065
1576697079,14782,14782
1576699460,15629,15629
1576701380,16433,16433
1576703325,17170,17170
1576705223,18018,18018
1576707150,18735,18735
1576709072,19546,19546
1576711235,20290,20290
1576713143,21045,21045
1576715075,21742,21742
1576716982,22567,22567
1576719148,23263,23263
1576721040,23893,23893
1576722995,24629,24629
1576724924,25253,25253
1576726822,25972,25972
1576728766,26579,26579
1576730665,27351,27351
1576732849,28120,28120
1576734758,28500,28500
1576736661,28493,28493
1576738571,28494,28494
1576740526,28480,28480
1576742603,28476,28476
1576744588,28487,28487
1576746507,28504,28504
1576748446,28507,28507
1576750356,28605,28605
1576752273,28611,28611
1576754467,28268,28268
1576756355,27623,27623
1576758270,27101,27101
1576760178,26390,26390
1576762109,25920,25920
1576764315,25143,25143
1576766448,24262,24262
1576768603,23467,23467
1576770520,22698,22698
1576772654,21970,21970
1576774574,21232,21232
1576776492,20656,20656
1576778626,19991,19991
1576780852,19214,19214
1576782759,18568,18568
1576784690,17821,17821
1576786844,16988,16988
1576788737,16159,16159
1576790665,15430,15430
1576792610,14579,14579
1576794805,13774,13774
1576796745,13090,13090
1576798605,12371,12371
1576800508,11676,11676
1576802433,10810,10810
1576804362,10072,10072
1576806287,9343,9343
1576808209,8742,8742
1576810361,7883,7883
1576812262,7284,7284
1576814211,6571,6571
1576816100,5909,5909
1576818378,5056,5056
1576820195,4365,4365
1576822122,4316,4316
1576824025,4319,4319
1576825984,4362,4362
1576827859,4370,4370
1576830042,4368,4368
1576831943,4364,4364
1576833910,4357,4357
1576835806,4276,4276
1576837959,4278,4278
1576839953,4281,4281
1576841788,4264,4264
1576843957,4277,4277
1576845887,4278,4278
1576847806,4276,4276
1576849738,4274,4274
1576851640,4280,4280
1576853597,4272,4272
1576855467,4255,4255
1576857399,4224,4224
1576859323,4218,4218
1576861504,4208,4208
1576863624,4196,4196
1576865818,4188,4188
1576867724,4198,4198
1576869623,4204,4204
1576871534,4190,4190
1576873462,4188,4188
1576875376,4189,4189
1576877346,4192,4192
1576879482,4183,4183
1576881624,4171,4171
1576883573,4188,4188
1576885457,4186,4186
1576887629,4166,4166
1576889534,4159,4159
1576891476,4316,4316
1576894602,5169,5169
1576896553,5871,5871
1576898428,6435,6435
1576900343,6719,6719
1576902277,6706,6706
1576904180,6706,6706
1576906100,6715,6715
1576908288,7069,7069
1576910199,7763,7763
1576912364,8427,8427
1576914270,8928,8928
1576916206,8931,8931
1576918105,8910,8910
1576920271,8895,8895
1576922683,8869,8869
1576924586,8870,8870
1576926529,8869,8869
1576928416,8824,8824
1576930350,8825,8825
1576932294,8820,8820
1576934192,8822,8822
1576936105,8810,8810
1576938024,8806,8806
1576939938,8827,8827
1576941898,8825,8825
1576943790,8809,8809
1576945957,8793,8793
1576947957,8817,8817
1576949801,8835,8835
1576951698,8822,8822
1576953658,8824,8824
1576955571,8859,8859
1576957471,8864,8864
1576959625,8861,8861
1576961547,8851,8851
1576963503,8858,8858
1576965398,8882,8882
1576967329,9242,9242
1576969599,9402,9402
1576971624,9440,9440
1576973569,9469,9469
1576975479,9520,9520
1576977412,9526,9526
1576979321,9542,9542
1576981244,9520,9520
1576983135,9498,9498
1576985069,9488,9488
1576987004,9489,9489
1576988897,9507,9507
1576992058,9506,9506
1576993933,9524,9524
1576995854,9542,9542
1576997818,9564,9564
1576999693,9581,9581
1577001751,9580,9580
1577003564,9605,9605
1577005520,9589,9589
1577007380,9562,9562
1577009322,9545,9545
1577011253,9532,9532
1577013155,9532,9532
1577015096,9521,9521
1577017004,9529,9529
1577019151,9545,9545
1577021069,9551,9551
1577023031,9558,9558
1577025166,9577,9577
1577027329,9575,9575
1577029302,9573,9573
1577031166,9743,9743
1577033070,9746,9746
1577035047,9730,9730
1577036912,9745,9745
1577038858,9760,9760
1577040772,9939,9939
1577042676,10851,10851
1577044622,11594,11594
1577046512,11584,11584
1577048735,11590,11590
1577050827,11580,11580
1577052747,11553,11553
1577054683,11552,11552
1577056609,11530,11530
1577058498,11507,11507
1577060449,11479,11479
1577062400,11458,11458
1577064273,11471,11471
1577066208,11493,11493
1577068112,11517,11517
1577070320,11508,11508
1577072432,11514,11514
1577074359,11520,11520
1577076344,11512,11512
1577078188,11498,11498
1577080341,11481,11481
1577082267,11479,11479
1577084209,11469,11469
1577086100,11461,11461
1577088337,11458,11458
1577090424,11435,11435
1577092343,11461,11461
1577094311,11480,11480
1577096204,11481,11481
1577098341,11517,11517
1577100270,11528,11528
1577102196,11523,11523
1577104122,11505,11505
1577107250,11387,11387
1577109148,11373,11373
1577111071,11385,11385
1577113003,11393,11393
1577114899,11407,11407
1577117070,11422,11422
1577119015,11165,11165
1577120921,11121,11121
1577122832,11068,11068
1577125020,11019,11019
1577127172,10981,10981
1577129105,10538,10538
1577131014,10296,10296
1577132935,10252,10252
1577135174,10200,10200
1577137000,10284,10284
1577138982,10353,10353
1577140852,10409,10409
1577142776,10406,10406
1577144664,10418,10418
1577146614,10437,10437
1577148502,10466,10466
1577150445,10504,10504
1577152434,10395,10395
1577154293,10399,10399
1577156222,10420,10420
1577158353,10456,10456
1577160295,10489,10489
1577162196,10523,10523
1577164106,10529,10529
1577166124,10387,10387
1577168241,9698,9698
1577170102,9425,9425
1577172044,9448,9448
1577173950,9488,9488
1577175887,9512,9512
1577177781,9517,9517
1577179964,9532,9532
1577181940,9509,9509
1577183804,9520,9520
1577185718,9500,9500
1577187642,9510,9510
1577189572,9515,9515
1577191465,9516,9516
1577193430,10051,10051
1577195326,10415,10415
1577197223,10414,10414
1577199188,10409,10409
1577201085,10400,10400
1577202988,10350,10350
1577204905,10312,10312
1577207121,10346,10346
1577208983,10379,10379
1577210954,10393,10393
1577212821,10431,10431
1577214756,10463,10463
1577216701,10471,10471
1577218847,10445,10445
1577220767,10313,10313
1577222666,10300,10300
1577224593,10299,10299
1577226537,10263,10263
1577228728,10258,10258
1577230599,10295,10295
1577232772,10309,10309
1577234663,10305,10305
1577236829,10307,10307
1577238739,10270,10270
1577240688,10262,10262
1577242593,10258,10258
1577244501,10265,10265
1577246721,10242,10242
1577248599,10291,10291
1577250555,10267,10267
1577252612,10252,10252
1577254587,10232,10232
1577256535,10233,10233
1577258456,10209,10209
1577260340,10176,10176
1577262256,10172,10172
1577264193,10115,10115
1577266097,10110,10110
1577268283,10104,10104
1577270451,10095,10095
1577272345,10095,10095
1577274335,10024,10024
1577276193,9840,9840
1577278338,9544,9544
1577280257,8987,8987
1577282199,8753,8753
1577284119,8703,8703
1577286337,8773,8773
1577288440,8759,8759
1577290595,8751,8751
1577292532,8758,8758
1577294426,8754,8754
1577296336,8773,8773
1577298295,8778,8778
1577300174,8777,8777
1577302402,9059,9059
1577304507,9071,9071
1577306417,9059,9059
1577308360,9067,9067
1577310258,9065,9065
1577312297,9064,9064
1577314341,9071,9071
1577316273,9049,9049
1577318198,9045,9045
1577320097,9033,9033
1577322982,9030,9030
1577324893,9034,9034
1577326814,9059,9059
1577328755,9099,9099
1577330674,9103,9103
1577332597,9121,9121
1577334756,8907,8907
1577336747,8874,8874
1577338606,8876,8876
1577340505,8887,8887
1577342417,8895,8895
1577344627,8917,8917
1577346499,8931,8931
1577348431,8931,8931
1577350382,8920,8920
1577352311,8905,8905
1577354238,8909,8909
1577356118,8923,8923
1577358370,8921,8921
1577360450,8925,8925
1577362369,8921,8921
1577364272,8917,8917
1577366181,8926,8926
1577368143,8896,8896
1577370060,8901,8901
1577371965,8755,8755
1577373877,8745,8745
1577375780,8749,8749
1577377963,8870,8870
1577379839,8861,8861
1577382065,8846,8846
1577383968,8856,8856
1577385861,8859,8859
1577387806,8820,8820
1577389738,8831,8831
1577391620,8814,8814
1577393573,8812,8812
1577395469,8808,8808
1577397390,8806,8806
1577399307,8832,8832
1577401549,8805,8805
1577403378,8805,8805
1577405562,8792,8792
1577407459,8792,8792
1577409402,8782,8782
1577411300,8792,8792
1577413219,8750,8750
1577415172,8418,8418
1577417063,7963,7963
1577419000,7849,7849
1577420899,7855,7855
1577423138,7849,7849
1577425235,7880,7880
1577427140,7873,7873
1577429079,7880,7880
1577430982,7870,7870
1577433148,7893,7893
1577435061,7902,7902
1577436994,7904,7904
1577438896,7534,7534
1577441140,7059,7059
1577443223,6490,6490
1577445395,5959,5959
