DateTime,Entries,UniqueIPs
1576396609,82,82
1576398528,80,80
1576400655,83,83
1576402599,82,82
1576404523,84,84
1576406427,85,85
1576408351,84,84
1576410317,86,86
1576412226,88,88
1576414356,88,88
1576416300,90,90
1576418223,90,90
1576420434,90,90
1576422338,91,91
1576424449,92,92
1576426377,92,92
1576430213,95,95
1576432362,95,95
1576434274,97,97
1576436210,97,97
1576438119,95,95
1576440327,93,93
1576442201,89,89
1576444113,89,89
1576446023,90,90
1576447964,89,89
1576449885,90,90
1576452041,90,90
1576453958,89,89
1576455875,87,87
1576457789,89,89
1576459739,87,87
1576461889,85,85
1576464042,83,83
1576465943,82,82
1576467887,84,84
1576469793,86,86
1576471984,86,86
1576473884,87,87
1576475783,86,86
1576477953,87,87
1576480135,86,86
1576482045,85,85
1576484217,84,84
1576486385,85,85
1576488284,88,88
1576490223,85,85
1576492135,85,85
1576494362,86,86
1576496205,85,85
1576498170,85,85
1576500092,86,86
1576501971,90,90
1576503899,86,86
1576505851,90,90
1576508014,88,88
1576509917,86,86
1576511804,88,88
1576515933,90,90
1576518046,92,92
1576520250,89,89
1576522122,87,87
1576524147,86,86
1576526215,86,86
1576528394,87,87
1576530650,86,86
1576532696,88,88
1576534594,90,90
1576536762,90,90
1576538690,90,90
1576540637,94,94
1576542505,92,92
1576544772,92,92
1576546615,94,94
1576548585,97,97
1576552650,99,99
1576554822,99,99
1576556695,98,98
1576558627,96,96
1576560513,95,95
1576562711,95,95
1576564601,95,95
1576566505,92,92
1576568431,94,94
1576570627,95,95
1576572513,92,92
1576574705,88,88
1576576590,87,87
1576578794,86,86
1576580765,89,89
1576582684,88,88
1576584537,87,87
1576586441,86,86
1576588597,79,79
1576590743,84,84
1576592702,87,87
1576594583,89,89
1576596756,90,90
1576598733,91,91
1576600603,91,91
1576602518,85,85
1576604427,84,84
1576606363,85,85
1576608277,84,84
1576610433,83,83
1576612378,83,83
1576614264,81,81
1576616198,84,84
1576618124,85,85
1576620320,79,79
1576622435,79,79
1576624380,79,79
1576626268,77,77
1576628451,73,73
1576630341,72,72
1576632285,70,70
1576634181,66,66
1576636150,65,65
1576638387,67,67
1576640200,68,68
1576642111,67,67
1576644022,67,67
1576645962,70,70
1576647860,71,71
1576649781,70,70
1576651734,69,69
1576653615,68,68
1576655538,68,68
1576657459,68,68
1576661321,68,68
1576663498,68,68
1576665642,65,65
1576667545,65,65
1576669482,65,65
1576671405,67,67
1576673580,67,67
1576675483,66,66
1576677382,62,62
1576679317,58,58
1576681547,57,57
1576683621,57,57
1576685570,56,56
1576687461,58,58
1576689415,59,59
1576691335,59,59
1576693233,58,58
1576695139,59,59
1576697080,61,61
1576699488,62,62
1576701382,65,65
1576703326,62,62
1576705224,63,63
1576707151,62,62
1576709078,63,63
1576711240,61,61
1576713144,63,63
1576715076,66,66
1576716984,65,65
1576719152,68,68
1576721054,71,71
1576722997,72,72
1576724925,73,73
1576726824,74,74
1576728767,73,73
1576730666,71,71
1576732853,72,72
1576734760,71,71
1576736663,72,72
1576738573,74,74
1576740530,73,73
1576742683,72,72
1576744589,72,72
1576746508,72,72
1576748448,71,71
1576750358,69,69
1576752275,69,69
1576754468,68,68
1576756357,68,68
1576758271,67,67
1576760180,67,67
1576762110,69,69
1576764324,67,67
1576766450,67,67
1576768605,67,67
1576770521,66,66
1576772657,68,68
1576774575,64,64
1576776495,67,67
1576778673,70,70
1576780853,70,70
1576782760,69,69
1576784691,66,66
1576788738,62,62
1576790666,62,62
1576792611,61,61
1576794807,63,63
1576796746,66,66
1576798606,68,68
1576800509,65,65
1576802434,65,65
1576804363,64,64
1576806288,69,69
1576808210,68,68
1576810362,64,64
1576812263,65,65
1576814212,64,64
1576816101,65,65
1576818382,66,66
1576820196,66,66
1576822123,65,65
1576824026,65,65
1576827861,66,66
1576831944,66,66
1576833913,65,65
1576835807,66,66
1576837963,68,68
1576839955,67,67
1576841790,69,69
1576843958,68,68
1576845895,70,70
1576847808,67,67
1576849742,67,67
1576851641,66,66
1576853599,67,67
1576855468,68,68
1576857400,66,66
1576859324,65,65
1576863626,60,60
1576865819,60,60
1576867725,60,60
1576871535,60,60
1576873463,64,64
1576875378,63,63
1576877347,63,63
1576879483,64,64
1576881625,63,63
1576883574,60,60
1576885458,61,61
1576887636,62,62
1576889536,62,62
1576891477,63,63
1576894605,59,59
1576896555,58,58
1576898430,59,59
1576900344,59,59
1576902278,60,60
1576904182,60,60
1576906101,57,57
1576908290,58,58
1576910201,56,56
1576912366,58,58
1576914271,59,59
1576918106,62,62
1576920273,64,64
1576922716,63,63
1576924588,62,62
1576926533,63,63
1576928418,59,59
1576930351,60,60
1576932295,58,58
1576934193,60,60
1576936106,59,59
