DateTime,Entries,UniqueIPs
1577069782,18099,18192
1577070519,18098,18191
1577071219,18094,18187
1577071954,18091,18184
1577072662,18090,18183
1577073380,18083,18176
1577074101,18088,18181
1577074830,18086,18179
1577075543,18090,18183
1577076262,18091,18184
1577076980,18088,18181
1577077712,18091,18184
1577078420,18091,18184
1577079148,18090,18183
1577079864,18091,18184
1577080582,18089,18182
1577081318,18088,18181
1577082024,18088,18181
1577082749,18092,18185
1577083465,18092,18185
1577084182,18093,18186
1577084902,18092,18185
1577085619,18093,18186
1577086351,18096,18189
1577087067,18093,18186
1577087783,18091,18184
1577088519,18092,18185
1577089219,18092,18185
1577089950,18096,18188
1577090661,18091,18183
1577091382,18088,18180
1577092100,18089,18181
1577092819,18091,18183
1577093560,18090,18182
1577094273,18091,18183
1577094984,18092,18184
1577095709,18095,18187
1577096422,18097,18189
1577097148,18099,18191
1577097862,18101,18193
1577098581,18103,18195
1577099330,18104,18196
1577100020,18102,18194
1577100747,18105,18197
1577101465,18105,18197
1577102179,18104,18196
1577102916,18103,18195
1577103621,18106,18198
1577104352,18111,18203
1577105068,18108,18200
1577105779,18106,18198
1577106501,18104,18196
1577107226,18105,18197
1577107949,18107,18199
1577108661,18108,18200
1577109384,18105,18197
1577110118,18107,18199
1577110820,18111,18203
1577111550,18113,18205
1577112261,18116,18209
1577112987,18115,18208
1577113724,18115,18208
1577114430,18120,18213
1577115160,18120,18213
1577115862,18119,18212
1577116581,18123,18216
1577117317,18124,18217
1577118022,18126,18219
1577118751,18125,18218
1577119461,18131,18224
1577120179,18131,18224
1577120906,18132,18225
1577121623,18133,18226
1577122362,18129,18222
1577123055,18131,18224
1577123766,18129,18222
1577124521,18128,18221
1577125220,18129,18222
1577125960,18124,18217
1577126662,18129,18222
1577127377,18128,18221
1577128101,18125,18218
1577128828,18130,18223
1577129554,18132,18225
1577130261,18132,18226
1577130983,18130,18224
1577131707,18127,18221
1577132418,18129,18223
1577133155,18125,18219
1577133864,18127,18221
1577134841,18126,18220
1577135557,18128,18222
1577136267,18129,18223
1577136980,18130,18224
1577137704,18130,18224
1577138434,18131,18225
1577139393,18131,18225
1577140098,18127,18221
1577140833,18126,18220
1577141540,18124,18218
1577142275,18126,18220
1577143715,18127,18221
1577144421,18126,18220
1577145150,18127,18221
1577145865,18125,18219
1577146587,18126,18220
1577147299,18126,18220
1577148028,18126,18220
1577148742,18130,18224
1577149465,18135,18229
1577150192,18132,18226
1577150898,18133,18227
1577151621,18135,18229
1577152345,18133,18227
1577153311,18130,18224
1577154020,18135,18229
1577154756,18142,18236
1577155459,18142,18236
1577156182,18144,18238
1577157154,18145,18239
1577157868,18136,18230
1577158581,18137,18231
1577159303,18138,18232
1577160023,18139,18234
1577160745,18135,18230
1577161470,18135,18230
1577162179,18138,18233
1577162908,18138,18233
1577163623,18134,18229
1577164348,18133,18228
1577165067,18132,18227
1577165780,18132,18227
1577166754,18131,18226
1577167711,18132,18227
1577168419,18136,18231
1577169147,18136,18231
1577169861,18137,18232
1577170837,18134,18229
1577171553,18139,18234
1577172268,18140,18235
1577172983,18138,18233
1577173713,18135,18230
1577174422,18136,18231
1577175144,18133,18228
1577175864,18133,18228
1577176580,18136,18231
1577177303,18138,18233
1577178026,18135,18230
1577178745,18132,18227
1577179464,18136,18231
1577180178,18139,18234
1577180900,18142,18237
1577181625,18144,18239
1577182356,18145,18240
1577183061,18146,18241
1577183783,18145,18240
1577184501,18144,18239
1577185220,18146,18241
1577185941,18150,18245
1577186664,18150,18245
1577187378,18151,18246
1577188102,18151,18246
1577188825,18148,18243
1577189552,18147,18242
1577190275,18146,18241
1577190979,18144,18239
1577191701,18143,18238
1577192424,18143,18238
1577193143,18147,18242
1577193877,18146,18241
1577194580,18145,18240
1577195306,18147,18242
1577196026,18150,18245
1577196742,18148,18243
1577197460,18149,18244
1577198182,18146,18241
1577198899,18144,18239
1577199629,18142,18237
1577200346,18143,18238
1577201065,18142,18237
1577201785,18141,18236
1577202499,18140,18235
1577203241,18142,18237
1577203953,18143,18238
1577204647,18141,18236
1577205372,18135,18230
1577206086,18134,18229
1577207529,18134,18229
1577208259,18137,18232
1577208967,18136,18231
1577209688,18134,18229
1577210410,18134,18229
1577211138,18133,18228
1577211852,18134,18229
1577212569,18132,18227
1577213292,18130,18225
1577214025,18132,18227
1577214742,18135,18230
1577215448,18135,18230
1577216172,18136,18231
1577217144,18133,18228
1577217853,18134,18229
1577218820,18127,18222
1577219539,18125,18220
1577220250,18125,18220
1577220975,18120,18215
1577222407,18120,18215
1577223144,18118,18213
1577223863,18117,18212
1577224575,18119,18214
1577225312,18119,18214
1577226050,18115,18210
1577226993,18114,18209
1577227697,18115,18210
1577228438,18111,18206
1577229870,18110,18205
1577230585,18113,18208
1577231298,18118,18213
1577232029,18119,18214
1577232756,18117,18212
1577233459,18116,18211
1577234182,18116,18211
1577234901,18119,18214
1577235619,18119,18214
1577236352,18120,18215
1577237061,18119,18215
1577237789,18116,18212
1577238518,18113,18209
1577239230,18112,18208
1577239944,18113,18209
1577240670,18119,18215
1577241378,18119,18215
1577242105,18117,18213
1577242824,18121,18217
1577243543,18122,18218
1577244260,18119,18215
1577244989,18110,18206
1577245701,18112,18208
1577246437,18115,18211
1577247145,18116,18212
1577247862,18118,18214
1577248580,18121,18217
1577249301,18116,18212
1577250022,18119,18215
1577250998,18119,18215
1577252422,18116,18212
1577253142,18113,18209
1577254109,18115,18211
1577254818,18114,18210
1577255558,18115,18210
1577256260,18118,18213
1577256979,18115,18210
1577257701,18111,18206
1577258419,18113,18208
1577259149,18112,18207
1577259871,18113,18208
1577260578,18112,18207
1577261301,18110,18205
1577262018,18108,18203
1577262751,18113,18208
1577263464,18112,18207
1577264177,18111,18206
1577264910,18115,18210
1577265619,18116,18211
1577266356,18113,18208
1577267059,18116,18211
1577267785,18118,18213
1577268518,18116,18211
1577269220,18113,18208
1577269955,18115,18210
1577270668,18114,18209
1577271378,18115,18211
1577272102,18115,18211
1577272820,18117,18213
1577273548,18112,18207
1577274264,18114,18209
1577274985,18113,18208
1577275704,18114,18209
1577276418,18115,18210
1577277148,18115,18210
1577277864,18114,18209
1577278585,18113,18208
1577279314,18113,18208
1577280765,18113,18209
1577281460,18109,18205
1577282181,18108,18204
1577282901,18110,18206
1577283619,18110,18206
1577284356,18110,18206
1577286515,18111,18207
1577287219,18110,18206
1577287959,18108,18204
1577288677,18107,18203
1577289388,18107,18202
1577290107,18109,18204
1577291069,18111,18206
1577291781,18111,18206
1577292501,18112,18207
1577293227,18110,18205
1577293945,18110,18205
1577294661,18108,18203
1577295384,18107,18202
1577296102,18108,18203
1577296825,18108,18203
1577297546,18102,18197
1577298270,18104,18199
1577298989,18100,18195
1577299704,18103,18198
1577300419,18100,18195
1577301158,18101,18196
1577301865,18102,18197
1577302581,18102,18197
