DateTime,Entries,UniqueIPs
1577079148,7905,7905
1577079864,7894,7894
1577080582,7946,7946
1577081318,7903,7903
1577082024,7939,7939
1577082749,7889,7889
1577083465,7936,7936
1577084182,7943,7943
1577084902,7904,7904
1577085619,7912,7912
1577086351,7919,7919
1577087067,7914,7914
1577087783,7959,7959
1577088519,7921,7921
1577089219,7921,7921
1577089950,7922,7922
1577090661,7927,7927
1577091382,7923,7923
1577092100,7916,7916
1577092819,7952,7952
1577093560,7965,7965
1577094273,7951,7951
1577094984,7939,7939
1577095709,7944,7944
1577096422,7967,7967
1577097148,7937,7937
1577097862,7979,7979
1577098581,7932,7932
1577099330,7959,7959
1577100020,7935,7935
1577100747,7967,7967
1577101465,7983,7983
1577102179,7962,7962
1577102916,7960,7960
1577103621,7992,7992
1577104352,7945,7945
1577105068,7983,7983
1577105779,7977,7977
1577106501,7990,7990
1577107226,7952,7952
1577107949,7948,7948
1577108661,7979,7979
1577109384,7953,7953
1577110118,7969,7969
1577110820,7934,7934
1577111550,7967,7967
1577112261,7954,7954
1577112987,7968,7968
1577113724,7945,7945
1577114430,7971,7971
1577115160,7966,7966
1577115862,7955,7955
1577116581,7982,7982
1577117317,7943,7943
1577118022,7928,7928
1577118751,7993,7993
1577119461,7971,7971
1577120179,7997,7997
1577120906,7944,7944
1577121623,7976,7976
1577122362,7947,7947
1577123055,7961,7961
1577123766,7949,7949
1577124521,7939,7939
1577125220,7988,7988
1577125960,7988,7988
1577126662,7990,7990
1577127377,7986,7986
1577128101,7982,7982
1577128828,8006,8006
1577129554,7972,7972
1577130261,7996,7996
1577130983,7994,7994
1577131707,7967,7967
1577132418,7958,7958
1577133155,7999,7999
1577133864,7984,7984
1577134841,7979,7979
1577135557,7925,7925
1577136267,7949,7949
1577136980,7999,7999
1577137704,7979,7979
1577138434,7979,7979
1577139393,7960,7960
1577140098,7925,7925
1577140833,7928,7928
1577141540,7967,7967
1577142275,7921,7921
1577142983,7956,7956
1577143715,7965,7965
1577144421,7931,7931
1577145150,7943,7943
1577145865,7896,7896
1577146587,7909,7909
1577147299,7946,7946
1577148028,7901,7901
1577148742,7902,7902
1577149465,7938,7938
1577150192,7900,7900
1577150898,7913,7913
1577151621,7915,7915
1577152345,7958,7958
1577153311,7917,7917
1577154020,7971,7971
1577154756,7959,7959
1577155459,7960,7960
1577156182,7864,7864
1577157154,7914,7914
1577157868,7892,7892
1577158581,7890,7890
1577159303,7903,7903
1577160023,7935,7935
1577160745,7898,7898
