DateTime,Entries,UniqueIPs
1576743253,1345,1345
1576744936,1326,1326
1576746853,1330,1330
1576747694,1342,1342
1576748533,1324,1324
1576750214,1329,1329
1576752133,1330,1330
1576753822,1324,1324
1576754924,1331,1331
1576757653,1320,1320
1576759333,1307,1307
1576760174,1305,1305
1576761317,1306,1306
1576762512,1297,1297
1576762935,1293,1293
1576764372,1300,1300
1576765692,1302,1302
1576767250,1301,1301
1576768453,1293,1293
1576770148,1298,1298
1576772054,1294,1294
1576773735,1289,1289
1576775422,1289,1289
1576776616,1279,1279
1576777813,1276,1276
1576778173,1277,1277
1576779316,1282,1282
1576780821,1262,1262
1576782615,1268,1268
1576783815,1276,1276
1576785312,1275,1275
1576786456,1277,1277
1576788018,1275,1275
1576789305,1272,1272
1576790421,1275,1275
1576791622,1250,1250
1576793414,1247,1247
1576794915,1235,1235
1576797022,1227,1227
1576798454,1218,1218
1576799712,1219,1219
1576800856,1209,1209
1576801692,1214,1214
1576802535,1206,1206
1576804214,1208,1208
1576805417,1192,1192
1576806913,1192,1192
1576808054,1195,1195
1576808892,1203,1203
1576809746,1190,1190
1576811127,1191,1191
1576813342,1181,1181
1576814175,1184,1184
1576815315,1178,1178
1576816514,1172,1172
1576818508,1160,1160
1576819692,1166,1166
1576820536,1151,1151
1576822456,1149,1149
1576824019,1141,1141
1576825573,1130,1130
1576826982,1111,1111
1576828572,1111,1111
1576829676,1103,1103
1576831039,1095,1095
1576832393,1094,1094
1576833254,1096,1096
1576834514,1088,1088
1576835772,1090,1090
1576836917,1087,1087
1576838112,1089,1089
1576839373,1091,1091
1576840453,1089,1089
1576841712,1087,1087
1576842973,1087,1087
1576844053,1099,1099
1576845735,1097,1097
1576846573,1098,1098
1576847655,1097,1097
1576848507,1098,1098
1576849336,1090,1090
1576850178,1094,1094
1576851251,1098,1098
1576852092,1107,1107
1576853415,1105,1105
1576854615,1097,1097
1576855694,1098,1098
1576856534,1095,1095
1576858451,1093,1093
1576860139,1100,1100
1576861492,1097,1097
1576862992,1095,1095
1576865655,1098,1098
1576867338,1096,1096
1576868175,1097,1097
1576869253,1092,1092
1576870355,1100,1100
1576871773,1107,1107
1576873692,1110,1110
1576876215,1102,1102
1576877415,1098,1098
1576879192,1101,1101
1576880418,1105,1105
1576882572,1106,1106
1576883715,1099,1099
1576885343,1096,1096
1576887016,1100,1100
1576888214,1097,1097
1576890614,1094,1094
1576891696,1098,1098
1576892544,1093,1093
1576894223,1108,1108
1576895381,1106,1106
1576896801,1112,1112
1576898055,1104,1104
1576898893,1146,1146
1576901414,1134,1134
1576903345,1122,1122
1576904174,1125,1125
1576905317,1123,1123
1576906940,1125,1125
1576908853,1134,1134
1576910544,1135,1135
1576912214,1136,1136
1576913415,1136,1136
1576915232,1135,1135
1576916896,1143,1143
1576917742,1142,1142
1576918573,1149,1149
1576919717,1150,1150
1576921225,1147,1147
1576923254,1165,1165
1576924820,1159,1159
1576925772,1173,1173
1576926852,1168,1168
1576927692,1174,1174
1576928544,1168,1168
1576930454,1182,1182
1576931293,1187,1187
1576934421,1197,1197
1576935621,1199,1199
1576937286,1215,1215
1576938633,1225,1225
1576939347,1235,1235
1576940175,1244,1244
1576942093,1248,1248
1576943773,1244,1244
1576944915,1250,1250
1576946541,1249,1249
1576947372,1251,1251
1576948515,1247,1247
1576950028,1242,1242
1576951815,1239,1239
1576953015,1224,1224
1576955651,1238,1238
1576957225,1215,1215
1576959022,1225,1225
1576959254,1226,1226
1576960946,1226,1226
1576961773,1230,1230
1576962914,1232,1232
1576963693,1242,1242
1576965376,1239,1239
1576966452,1237,1237
1576967564,1235,1235
1576969248,1241,1241
1576970895,1256,1256
1576972123,1259,1259
1576973652,1255,1255
1576974491,1265,1265
1576975347,1267,1267
1576977016,1273,1273
1576978943,1270,1270
1576980621,1278,1278
1576982545,1286,1286
1576984015,1286,1286
1576985293,1325,1325
1576987814,1309,1309
1576989017,1306,1306
1576990516,1316,1316
1576991653,1321,1321
1576992493,1327,1327
1576993331,1323,1323
1576994173,1330,1330
1576995314,1335,1335
1576996934,1340,1340
1576998619,1345,1345
1577000533,1351,1351
1577002058,1355,1355
1577003416,1360,1360
1577004915,1370,1370
1577006115,1373,1373
1577006892,1377,1377
1577008572,1375,1375
1577009655,1378,1378
1577011108,1384,1384
1577012173,1389,1389
1577013314,1384,1384
1577014093,1389,1389
1577016853,1390,1390
1577018417,1387,1387
1577020220,1387,1387
1577021417,1378,1378
1577022972,1379,1379
1577024896,1383,1383
1577026574,1384,1384
1577027653,1383,1383
1577029215,1375,1375
1577030722,1376,1376
1577032092,1379,1379
1577033766,1373,1373
1577034915,1365,1365
1577036534,1369,1369
1577037372,1370,1370
1577038515,1381,1381
1577040023,1375,1375
1577041813,1380,1380
1577042893,1388,1388
1577044512,1390,1390
1577045714,1390,1390
1577047215,1387,1387
1577049015,1387,1387
1577050216,1381,1381
1577051413,1378,1378
1577052615,1377,1377
1577053693,1382,1382
1577055014,1379,1379
1577055372,1382,1382
1577056514,1382,1382
1577058023,1390,1390
1577059232,1395,1395
1577060893,1402,1402
1577063272,1400,1400
1577064471,1409,1409
1577065332,1403,1403
1577067253,1406,1406
1577068936,1413,1413
1577070856,1420,1420
1577072534,1461,1461
1577074456,1430,1430
1577077291,1418,1418
1577078418,1417,1417
1577079618,1407,1407
1577081346,1405,1405
1577083334,1396,1396
1577085014,1398,1398
1577086215,1387,1387
1577088855,1390,1390
1577090418,1376,1376
1577091635,1374,1374
1577092818,1385,1385
1577094016,1370,1370
1577095302,1356,1356
1577096413,1357,1357
1577097619,1344,1344
1577099422,1344,1344
1577101336,1342,1342
1577102172,1348,1348
1577104093,1355,1355
1577105773,1349,1349
1577106915,1333,1333
1577108420,1309,1309
1577110453,1309,1309
1577111562,1305,1305
1577112973,1316,1316
1577114053,1316,1316
1577115314,1316,1316
1577116512,1318,1318
1577117713,1330,1330
1577118912,1332,1332
1577120174,1332,1332
1577121314,1327,1327
1577122935,1326,1326
1577123773,1325,1325
1577124853,1320,1320
1577125693,1323,1323
1577127086,1322,1322
1577128214,1331,1331
