DateTime,Entries,UniqueIPs
1576747691,1407,1407
1576748530,1403,1403
1576750211,1403,1403
1576752129,1393,1393
1576753819,1412,1412
1576754921,1419,1419
1576757650,1381,1381
1576759330,1371,1371
1576760170,1368,1368
1576761314,1357,1357
1576762509,1345,1345
1576762932,1343,1343
1576764369,1355,1355
1576765689,1365,1365
1576767246,1352,1352
1576768449,1330,1330
1576770145,1327,1327
1576772050,1321,1321
1576773730,1314,1314
1576775419,1309,1309
1576776613,1304,1304
1576777810,1321,1321
1576778170,1330,1330
1576779311,1330,1330
1576780813,1323,1323
1576782611,1329,1329
1576783812,1314,1314
1576785308,1312,1312
1576786451,1307,1307
1576788010,1297,1297
1576789293,1295,1295
1576790413,1314,1314
1576791614,1310,1310
1576793411,1302,1302
1576794912,1306,1306
1576797019,1309,1309
1576797252,1308,1308
1576798450,1302,1302
1576799709,1326,1326
1576800853,1326,1326
1576801689,1330,1330
1576802532,1314,1314
1576804211,1320,1320
1576805413,1308,1308
1576806910,1305,1305
1576808050,1304,1304
1576808889,1310,1310
1576809743,1288,1288
1576811124,1307,1307
1576813333,1313,1313
1576814171,1315,1315
1576815311,1318,1318
1576816511,1330,1330
1576818505,1324,1324
1576819689,1330,1330
1576820533,1319,1319
1576822452,1314,1314
1576824012,1309,1309
1576825570,1309,1309
1576826969,1313,1313
1576828569,1318,1318
1576829673,1320,1320
1576831035,1326,1326
1576832390,1342,1342
1576833251,1352,1352
1576834511,1352,1352
1576835769,1348,1348
1576836913,1338,1338
1576838109,1332,1332
1576839370,1337,1337
1576840449,1323,1323
1576841709,1328,1328
1576842969,1339,1339
1576844050,1329,1329
1576845732,1319,1319
1576846569,1322,1322
1576847652,1318,1318
1576848490,1320,1320
1576849333,1312,1312
1576850175,1314,1314
1576851248,1296,1296
1576852089,1297,1297
1576853411,1286,1286
1576854612,1290,1290
1576855690,1293,1293
1576856531,1283,1283
1576858448,1285,1285
1576860134,1267,1267
1576861489,1260,1260
1576862988,1254,1254
1576865652,1266,1266
1576867334,1234,1234
1576868172,1243,1243
1576869249,1250,1250
1576870352,1248,1248
1576870934,1249,1249
1576871770,1249,1249
1576873689,1256,1256
1576876211,1252,1252
1576877412,1226,1226
1576879189,1272,1272
1576880411,1277,1277
1576882569,1272,1272
1576883711,1268,1268
1576885333,1275,1275
1576887012,1278,1278
1576888211,1272,1272
1576890610,1284,1284
1576891692,1297,1297
1576892535,1286,1286
1576894220,1270,1270
1576895369,1265,1265
1576896798,1261,1261
1576898051,1227,1227
1576898889,1228,1228
1576901411,1227,1227
1576903333,1218,1218
1576904171,1222,1222
1576905312,1219,1219
1576906933,1215,1215
1576908850,1223,1223
1576910537,1218,1218
1576912211,1202,1202
1576913412,1213,1213
1576915224,1206,1206
1576916892,1204,1204
