DateTime,AddedIPs,RemovedIPs
1576746850,7,7
1576747692,5,6
1576748531,6,5
1576750212,12,14
1576752131,12,11
1576753820,18,12
1576754922,2,8
1576757651,19,15
1576759331,8,7
1576760171,6,6
1576761315,9,5
1576762510,13,5
1576762933,5,3
1576764370,12,9
1576765690,9,7
1576767248,5,9
1576768450,9,4
1576770146,6,12
1576772052,11,12
1576773732,15,17
1576775420,10,12
1576776614,7,6
1576777811,8,61
1576778171,1,5
1576779314,14,44
1576780815,99,9
1576782613,606,38
1576783813,7,65
1576785310,168,37
1576786452,6,80
1576788012,141,73
1576789295,27,120
1576790416,6,51
1576791616,128,34
1576793412,47,134
1576794913,11,76
1576797020,11,65
1576797254,1,6
1576798452,258,20
1576799710,6,122
1576800854,5,69
1576801690,4,38
1576802533,3,21
1576804212,7,44
1576805415,9,20
1576806911,11,35
1576808051,7,28
1576808890,6,16
1576809744,6,19
1576811125,8,23
1576813335,7,52
1576814173,5,20
1576815313,6,17
1576816512,3,21
1576818506,12,32
1576819690,5,12
1576820534,7,5
1576822453,11,22
1576824015,11,18
1576825571,6,16
1576826976,15,19
1576828570,9,22
1576829674,4,11
1576831037,4,11
1576832391,9,19
1576833252,5,6
1576834512,11,11
1576835770,10,16
1576836915,11,10
1576838110,7,16
1576839371,6,18
1576840450,4,11
1576841711,11,9
1576842970,10,8
1576844051,12,7
1576845733,11,20
1576846571,4,6
1576847653,6,6
1576848505,8,7
1576849334,3,7
1576850176,6,9
1576851250,6,9
1576852090,7,10
1576853412,9,18
1576854613,3,11
1576855692,4,9
1576856532,7,5
1576858449,15,12
1576860136,7,8
1576861491,15,9
1576862990,16,13
1576865653,17,24
1576867336,12,9
1576868173,2,4
1576869250,5,13
1576870353,5,9
1576870935,1,6
1576871771,7,3
1576873690,9,16
1576876213,9,17
1576877413,10,8
1576879190,8,6
1576880413,11,15
1576882570,14,13
1576883713,3,11
1576885337,8,14
1576887014,13,4
1576888212,8,9
1576890611,16,24
1576891694,7,12
1576892540,8,3
1576894221,11,15
1576895375,8,8
1576896799,4,10
1576898052,3,2
1576898891,3,5
1576901412,16,12
1576903337,8,17
1576904172,3,9
1576905314,7,6
1576906936,5,10
1576908851,10,10
1576910539,8,9
1576912212,9,13
1576913413,8,5
1576915226,7,11
1576916893,8,8
1576917736,4,0
1576918571,2,5
1576919715,4,3
1576921218,11,8
1576923252,10,9
1576924816,6,7
1576925770,6,2
1576926850,4,7
1576927690,7,2
1576928537,6,5
1576930452,11,7
1576931291,3,2
1576933053,15,15
1576934414,6,9
1576935616,7,3
1576937281,4,12
1576938631,6,8
1576939341,5,3
1576940173,6,4
1576942091,11,11
1576943771,20,7
1576944912,4,6
1576946535,9,8
1576947370,6,7
1576948513,6,8
1576950021,9,8
1576951813,16,16
1576953014,8,7
1576955649,13,24
1576957219,7,10
1576959020,7,16
1576959252,2,1
1576960937,15,10
1576961771,6,5
1576962912,4,6
