DateTime,Entries,UniqueIPs
1577077652,20989,20989
1577078373,20992,20992
1577079094,20990,20990
1577079814,20991,20991
1577080534,20990,20990
1577081253,21048,21048
1577081943,21046,21046
1577082693,21043,21043
1577083413,21028,21028
1577084133,21032,21032
1577084853,21031,21031
1577085573,21029,21029
1577086294,21030,21030
1577087013,21034,21034
1577087733,21038,21038
1577088453,21036,21036
1577089174,21028,21028
1577089892,21029,21029
1577090614,21029,21029
1577091332,21025,21025
1577092053,20775,20775
1577092773,20767,20767
1577093494,20771,20771
1577094213,20772,20772
1577094933,20780,20780
1577095653,20768,20768
1577096373,20763,20763
1577097094,20768,20768
1577097814,20765,20765
1577098533,20760,20760
1577099253,20763,20763
1577099974,20769,20769
1577100693,20781,20781
1577101414,20786,20786
1577102133,20737,20737
1577102854,20732,20732
1577103573,20741,20741
1577104293,20742,20742
1577105013,20741,20741
1577105733,20741,20741
1577106454,20746,20746
1577107172,20746,20746
1577107894,20751,20751
1577108614,20748,20748
1577109333,20747,20747
1577110053,20750,20750
1577110773,20741,20741
1577111493,20729,20729
1577112213,20725,20725
1577112934,20723,20723
1577113652,20722,20722
1577114373,20720,20720
1577115093,20717,20717
1577115815,20713,20713
1577116533,20714,20714
1577117253,20717,20717
1577117972,20723,20723
1577118693,20734,20734
1577119413,20727,20727
1577120133,20730,20730
1577120853,20731,20731
1577121573,20729,20729
1577122773,20719,20719
1577123493,20721,20721
1577124453,20721,20721
1577125173,20722,20722
1577125893,20728,20728
1577126613,19398,19398
1577127333,19422,19422
1577128054,19420,19420
1577128773,19434,19434
1577129492,19440,19440
1577130213,19448,19448
1577130934,19449,19449
1577131653,19455,19455
1577132373,19456,19456
1577133092,19458,19458
1577133812,19464,19464
1577134772,19491,19491
1577135492,19502,19502
1577136213,19509,19509
1577136934,19510,19510
1577137653,19492,19492
1577138373,19493,19493
1577139333,19495,19495
1577140053,19496,19496
1577140773,19490,19490
1577141493,19491,19491
1577142213,19488,19488
1577142932,19491,19491
1577143653,19492,19492
1577144372,19494,19494
1577145093,19498,19498
1577145813,19499,19499
1577146533,19494,19494
1577147253,19499,19499
1577147973,19509,19509
1577148693,19520,19520
1577149414,19525,19525
1577150132,19522,19522
1577150854,19530,19530
1577151574,19529,19529
1577152293,19529,19529
1577153253,19531,19531
1577153973,19534,19534
1577154694,19522,19522
1577155414,19532,19532
1577156132,19534,19534
1577157093,19528,19528
1577157813,19522,19522
1577158533,19520,19520
1577159252,19522,19522
1577159973,19517,19517
1577160692,19526,19526
1577161412,19521,19521
1577162133,19529,19529
1577162853,19531,19531
1577163574,19527,19527
1577164294,19528,19528
1577165013,19531,19531
1577165733,19533,19533
1577166692,19530,19530
1577167654,19506,19506
1577168374,19484,19484
1577169093,19483,19483
1577169813,19486,19486
1577170773,19479,19479
1577171493,19488,19488
1577172212,19485,19485
1577172933,19490,19490
1577173653,19485,19485
1577174372,19480,19480
1577175092,19483,19483
1577175812,19489,19489
1577176533,19489,19489
1577177253,19490,19490
1577177973,19479,19479
1577178692,19476,19476
1577179413,19475,19475
1577180132,19467,19467
1577180853,19464,19464
1577181572,19457,19457
1577182293,19459,19459
1577183013,19469,19469
1577183733,19466,19466
1577184454,19468,19468
1577185173,19467,19467
1577185893,19464,19464
1577186613,19457,19457
1577187332,19448,19448
1577188054,19451,19451
1577188772,19451,19451
1577189493,19460,19460
1577190212,19456,19456
1577190934,19455,19455
1577191653,19454,19454
1577192373,19451,19451
1577193092,19459,19459
1577193813,19463,19463
1577194533,19463,19463
1577195253,19466,19466
1577195974,19465,19465
1577196692,19462,19462
1577197412,19462,19462
1577198133,19463,19463
1577198853,19474,19474
1577199573,19473,19473
1577200293,19470,19470
1577201013,19471,19471
1577201733,19467,19467
1577202454,19473,19473
1577203653,19478,19478
1577204373,19478,19478
1577205093,19472,19472
1577205812,19479,19479
1577206533,19483,19483
1577207253,19485,19485
1577207973,19478,19478
1577208692,19480,19480
1577209413,19485,19485
1577210133,19492,19492
1577210854,19490,19490
1577211573,19508,19508
1577212293,19502,19502
1577213013,19508,19508
1577213733,19511,19511
1577214453,19510,19510
1577215174,19504,19504
1577215893,19499,19499
1577216613,19490,19490
1577217333,19486,19486
1577218353,19493,19493
1577219013,19494,19494
1577219733,19504,19504
1577220692,19495,19495
1577221414,19476,19476
1577222134,19474,19474
1577222853,19470,19470
1577223572,19471,19471
1577224294,19475,19475
1577225252,19484,19484
1577225973,19481,19481
1577226932,19483,19483
1577227652,19478,19478
1577228373,19469,19469
1577229092,19486,19486
1577229813,19485,19485
1577230533,19484,19484
1577231253,19486,19486
1577231972,19489,19489
1577232693,19486,19486
1577233414,19480,19480
