DateTime,AddedIPs,RemovedIPs
1576414822,37,40
1576416750,32,30
1576420814,19,65
1576422738,31,37
1576424664,27,29
1576426576,26,21
1576428732,23,0
1576430650,31,37
1576432579,23,38
1576434495,36,30
1576436412,32,28
1576438338,46,23
1576440500,34,25
1576442412,21,24
1576444348,24,22
1576446251,28,32
1576448417,20,23
1576450353,25,30
1576452260,33,23
1576454169,23,31
1576458021,33,59
1576459942,27,25
1576462109,23,19
1576464013,23,34
1576467867,25,52
1576469778,22,28
1576471961,37,27
1576473861,16,28
1576475769,33,18
1576477935,28,14
1576482023,30,70
1576484182,18,29
1576486334,27,27
1576488250,15,15
1576490179,31,21
1576492090,11,14
1576494028,8,23
1576495950,18,20
1576500011,32,10
1576501934,24,39
1576503861,28,30
1576505784,29,0
1576507934,30,25
1576509877,26,34
1576511770,10,30
1576513687,21,24
1576515619,27,23
1576517562,19,27
1576519711,20,24
1576521611,30,41
1576523552,28,32
1576525451,20,47
1576527613,19,38
1576529544,21,22
1576531453,22,21
1576533389,20,29
1576535286,35,23
1576537210,27,25
1576541061,29,60
1576542980,29,0
1576545166,19,35
1576547053,22,27
1576548993,25,21
1576550894,29,23
1576552818,30,0
1576554741,27,25
1576556660,25,24
1576558576,32,36
1576560492,28,23
1576562433,30,39
1576564335,29,0
1576566254,30,32
1576568184,23,0
1576570114,22,28
1576572023,24,16
1576574189,11,27
1576576107,8,16
1576578040,18,29
1576579940,16,10
1576581852,25,9
1576584041,20,17
1576588108,30,30
1576590014,19,26
1576591951,33,32
1576593855,23,22
1576595777,12,27
1576597715,24,20
1576599618,28,12
1576601530,20,22
1576605370,19,45
1576607287,25,19
1576609225,20,29
1576614970,27,66
1576617140,28,25
1576619053,26,27
1576620982,34,21
1576622890,34,34
1576624815,27,28
1576626729,28,0
1576628660,25,24
1576630566,28,24
1576632738,20,19
1576634653,20,24
1576636580,23,23
1576638756,18,28
1576640649,36,28
1576642822,17,27
1576644726,21,30
1576646662,37,26
1576648567,38,24
1576650746,40,57
1576652654,35,0
1576654584,33,29
1576656513,43,23
1576658428,29,48
1576660341,9,0
1576662252,22,13
1576664184,10,9
1576666089,8,17
1576668021,21,18
1576669931,25,23
1576671853,27,25
1576674035,16,0
1576675933,23,31
1576678102,17,20
1576680025,15,36
1576682181,17,38
1576684329,16,22
1576686268,15,37
1576688174,12,21
1576690109,6,0
1576692013,25,22
1576693953,15,22
1576696110,21,24
1576698010,24,0
1576700195,25,0
1576702095,30,23
1576704024,26,28
1576705933,24,25
1576707864,28,26
1576709768,20,35
1576711945,28,24
1576714122,24,28
1576716011,22,24
1576717949,25,27
1576719848,22,25
1576722014,20,18
1576723929,22,22
1576725866,21,18
1576727768,19,34
1576729689,27,13
1576731628,23,22
1576733541,30,38
1576735470,28,38
1576737372,24,33
1576739537,17,38
1576741450,25,31
1576743639,35,38
1576745530,43,28
1576747451,17,10
1576749417,36,25
1576751288,8,7
1576753217,16,7
1576755151,40,19
1576757054,53,24
1576758980,38,33
1576760896,26,10
1576762831,20,24
1576764988,38,19
1576767128,39,16
1576769062,28,15
1576770968,23,14
1576772900,16,14
1576774860,19,14
1576776749,28,10
1576778907,24,26
1576780826,25,14
1576782745,14,20
1576784667,20,20
1576788727,21,50
1576790652,15,24
1576792570,21,27
1576794776,23,25
1576796664,19,19
1576798584,26,33
1576800492,13,0
1576802413,23,52
1576804344,14,0
1576806259,14,52
1576808177,19,0
1576810333,10,40
1576812249,13,0
1576814193,17,40
1576816088,21,0
1576818030,16,48
1576819930,19,0
1576822107,19,53
1576824011,23,24
1576825957,36,19
1576830016,32,23
1576831928,25,39
1576833867,18,63
1576837938,24,46
1576839875,21,14
1576841772,27,37
1576843940,14,51
1576845849,21,39
1576847782,23,26
1576849688,15,22
1576851605,17,32
1576855452,36,42
1576857378,35,56
1576859285,26,0
1576861216,17,18
1576863147,15,19
1576865318,23,46
1576867220,25,0
1576869151,23,42
1576871048,13,0
1576872995,28,22
1576874890,19,0
1576877054,20,27
1576879224,22,27
1576881149,12,0
1576883066,21,36
1576884978,23,0
1576886888,18,28
1576888810,27,18
1576890744,26,24
1576892653,17,14
1576894583,20,39
1576896502,17,0
1576898406,17,11
1576900328,23,14
1576902257,13,19
1576904166,24,20
1576906088,19,14
1576908024,24,22
1576909932,22,21
1576911855,19,25
1576914024,14,41
1576915937,11,0
1576917852,13,30
1576919788,12,25
1576921695,11,16
1576923619,11,0
1576925532,5,21
1576927449,9,20
1576929378,11,31
1576931286,10,19
1576933224,9,24
1576937065,21,43
1576938979,20,17
1576941148,19,0
1576943048,22,37
1576945211,22,34
1576947130,19,26
1576949060,20,17
1576950970,16,15
1576952886,18,19
1576954835,29,26
1576956731,41,23
1576958660,32,13
1576960583,33,26
1576962517,29,20
1576964442,26,18
1576966334,31,21
1576968262,33,12
1576970427,30,15
1576972329,21,22
1576974262,35,17
1576976167,17,22
1576978101,24,22
1576980008,17,14
1576981951,33,19
1576984123,22,21
1576986013,22,18
1576987932,16,20
1576989864,26,14
1576991784,24,24
1576993687,20,14
1576995619,20,24
1576997530,29,14
1576999448,20,18
1577001379,20,14
1577003286,27,11
1577005215,20,12
1577007152,17,11
1577011215,18,25
1577013140,11,7
1577015072,28,8
1577019134,24,16
1577021050,31,6
1577022982,26,0
1577025147,17,21
1577027308,11,17
1577029225,23,12
1577031141,33,18
1577033051,27,24
1577034986,24,16
1577036892,32,20
1577038807,30,13
1577040741,36,17
1577042649,28,23
1577044580,25,35
1577046489,18,33
1577048416,26,37
1577050350,30,22
1577052256,28,20
1577054170,23,28
1577056118,30,27
1577058011,17,26
1577060181,24,19
1577062333,22,33
1577064251,21,16
1577066179,14,15
1577068088,22,18
1577070012,31,33
1577071950,22,23
1577073853,19,16
1577075770,14,19
1577077709,18,19
1577079616,18,29
1577081782,21,21
1577083933,22,46
1577085853,26,25
1577087780,20,19
1577089690,25,25
1577091618,18,18
1577093557,21,18
1577095454,19,0
1577097376,11,0
1577099326,9,13
1577101219,8,12
1577103392,8,30
1577105529,15,0
1577107449,13,19
1577109381,28,32
1577111287,26,28
1577113223,16,20
1577115157,14,15
1577117308,26,23
1577119211,18,32
1577121133,28,27
1577123050,18,29
1577124981,18,30
1577127154,7,57
1577129053,22,22
1577130980,16,0
1577132888,19,31
1577134837,12,52
1577136736,24,0
1577138930,24,66
1577140829,21,25
1577142757,23,31
1577144650,24,18
1577146584,16,27
1577148487,14,0
1577150408,18,28
1577152341,20,19
1577154248,18,12
1577156179,17,26
1577162411,29,90
1577164345,27,21
1577166251,35,17
1577168179,17,0
1577170087,35,16
1577172026,28,23
1577173932,29,20
1577175861,27,22
1577179947,9,43
1577181859,11,40
1577183779,12,11
1577185702,35,0
1577187619,24,14
1577189548,28,6
1577191451,29,10
1577193372,23,14
1577195302,23,16
1577197208,30,26
1577199129,36,30
1577201062,27,17
1577202969,32,17
1577204889,31,24
1577206816,35,18
1577208747,28,26
1577210939,18,23
1577214738,30,31
1577216665,13,20
1577218815,14,16
1577220750,25,20
1577222653,11,10
1577224567,28,26
1577226500,22,24
1577228434,21,20
1577230336,17,22
1577232255,18,26
1577234179,24,25
1577238250,23,43
1577240172,20,18
1577242102,17,17
1577244007,13,22
1577245931,10,0
1577247858,14,0
1577249768,11,27
1577251699,22,24
1577253620,22,35
1577255555,21,21
1577257455,6,29
1577259612,24,26
1577261533,46,28
1577263461,25,19
1577265384,20,0
1577269217,15,18
1577271128,16,11
1577273049,11,35
1577274981,16,26
1577276887,17,31
1577278818,30,26
1577280762,14,26
1577282653,14,17
1577284816,4,32
1577286990,15,34
1577289129,22,29
1577291065,19,34
1577292967,15,26
1577295139,22,39
1577297055,33,26
1577298985,31,16
1577300897,14,0
1577302816,21,33
1577306658,21,30
1577308814,26,31
1577310740,18,15
1577312651,13,33
1577314582,14,15
1577316494,19,25
1577318422,18,22
1577320350,25,20
1577322254,17,24
1577324174,23,0
1577326348,12,21
1577328253,12,17
1577330416,20,31
1577332332,17,18
1577334260,18,19
1577336167,23,0
1577338088,21,10
1577340027,13,45
1577341939,32,0
1577344116,29,32
1577346021,18,28
1577348180,26,50
1577350334,16,27
1577352251,30,22
1577354167,27,0
1577356098,37,13
1577358016,23,14
1577359955,25,11
1577361853,36,19
1577363779,26,16
1577365690,37,27
1577367615,26,13
1577369545,36,10
1577371449,38,8
1577373611,24,16
1577375529,37,0
1577377460,36,20
1577379369,30,28
1577381538,31,0
1577383480,45,58
1577385370,24,0
1577387322,34,37
1577391153,31,22
1577393054,27,0
1577397129,34,36
1577399054,32,24
1577400978,32,0
1577402892,37,14
1577406745,24,29
1577408910,31,45
1577410823,36,18
1577412740,26,0
1577414653,29,17
1577416582,27,16
1577418731,26,18
1577420648,27,15
1577422579,25,36
1577424487,22,0
1577426417,24,14
1577428349,26,44
1577430253,31,0
1577432171,29,30
1577434128,23,16
1577436014,25,22
1577437942,13,18
1577439861,16,27
1577441788,8,17
1577443934,12,25
1577445849,13,21
