DateTime,Entries,UniqueIPs
1576414822,6279,6478
1576416750,6285,6484
1576420814,6264,6463
1576422738,6276,6475
1576424664,6271,6470
1576426576,6266,6465
1576428732,6269,6468
1576430650,6272,6471
1576432579,6263,6460
1576434495,6274,6471
1576436412,6275,6473
1576438338,6291,6489
1576440500,6293,6492
1576442412,6288,6487
1576444348,6281,6480
1576446251,6279,6478
1576448417,6278,6477
1576450353,6275,6474
1576452260,6279,6478
1576454169,6278,6477
1576458021,6266,6464
1576459942,6269,6467
1576462109,6275,6472
1576464013,6276,6473
1576467867,6272,6468
1576469778,6278,6474
1576471961,6287,6482
1576473861,6274,6469
1576475769,6280,6475
1576477935,6271,6466
1576482023,6250,6444
1576484182,6239,6433
1576486334,6241,6432
1576488250,6231,6423
1576490179,6232,6424
1576492090,6238,6430
1576494028,6243,6435
1576495950,6249,6441
1576500011,6234,6427
1576501934,6218,6411
1576503861,6206,6400
1576505784,6205,6399
1576507934,6207,6405
1576509877,6194,6392
1576511770,6184,6382
1576513687,6175,6371
1576515619,6164,6360
1576517562,6156,6352
1576519711,6141,6337
1576521611,6138,6334
1576523552,6133,6329
1576525451,6146,6343
1576527613,6137,6334
1576529544,6142,6339
1576531453,6159,6356
1576533389,6151,6346
1576535286,6161,6356
1576537210,6172,6369
1576541061,6156,6353
1576542980,6163,6360
1576545166,6157,6354
1576547053,6164,6361
1576548993,6168,6365
1576550894,6175,6372
1576552818,6178,6375
1576554741,6185,6382
1576556660,6189,6385
1576558576,6191,6384
1576560492,6200,6393
1576562433,6205,6400
1576564335,6199,6395
1576566254,6200,6396
1576568184,6195,6390
1576570114,6187,6383
1576572023,6182,6383
1576574189,6177,6378
1576576107,6157,6357
1576578040,6165,6365
1576579940,6158,6358
1576581852,6153,6352
1576584041,6149,6348
1576588108,6123,6322
1576590014,6109,6308
1576591951,6116,6314
1576593855,6113,6311
1576595777,6097,6295
1576597715,6085,6283
1576599618,6093,6290
1576601530,6084,6281
1576605370,6064,6261
1576607287,6052,6249
1576609225,6035,6232
1576614970,6011,6207
1576617140,6014,6209
1576619053,6005,6200
1576620982,6028,6223
1576622890,6035,6230
1576624815,6036,6231
1576626729,6041,6236
1576628660,6042,6239
1576630566,6040,6237
1576632738,6030,6227
1576634653,6030,6228
1576636580,6034,6231
1576638756,6032,6229
1576640649,6037,6234
1576642822,6011,6207
1576644726,6023,6219
1576646662,6035,6231
1576648567,6047,6243
1576650746,6060,6256
1576652654,6083,6279
1576654584,6079,6275
1576656513,6087,6283
1576658428,6077,6273
1576660341,6084,6280
1576662252,6086,6282
1576664184,6092,6288
1576666089,6090,6286
1576668021,6107,6303
1576669931,6107,6303
1576671853,6105,6303
1576674035,6093,6290
1576675933,6088,6285
1576678102,6086,6282
1576680025,6081,6277
1576682181,6092,6288
1576684329,6066,6262
1576686268,6073,6271
1576688174,6063,6261
1576690109,6053,6251
1576692013,6051,6250
1576693953,6040,6238
1576696110,6037,6234
1576698010,6027,6224
1576700195,6043,6242
1576702095,6049,6248
1576704024,6065,6264
1576705933,6065,6264
1576707864,6067,6266
1576709768,6070,6269
1576711945,6076,6275
1576714122,6077,6278
1576716011,6084,6286
1576717949,6084,6286
1576719848,6089,6291
1576722014,6088,6291
1576723929,6085,6288
1576725866,6080,6284
1576727768,6076,6281
1576729689,6072,6277
1576731628,6073,6278
1576733541,6078,6283
1576735470,6085,6291
1576737372,6098,6304
1576739537,6084,6289
1576741450,6084,6289
1576743639,6099,6304
1576745530,6131,6337
1576747451,6132,6338
1576749417,6136,6343
1576751288,6130,6337
1576753217,6126,6333
1576755151,6120,6326
1576757054,6137,6344
1576758980,6143,6350
1576760896,6143,6351
1576762831,6140,6348
1576764988,6142,6351
1576767128,6155,6364
1576769062,6161,6370
1576770968,6164,6371
1576772900,6148,6355
1576774860,6139,6346
1576776749,6135,6342
1576778907,6131,6337
1576780826,6132,6338
1576782745,6122,6327
1576784667,6119,6325
1576788727,6090,6295
1576790652,6081,6286
1576792570,6075,6279
1576794776,6071,6275
1576796664,6073,6276
1576798584,6075,6278
1576800492,6072,6275
1576802413,6072,6275
1576804344,6064,6267
1576806259,6059,6262
1576808177,6060,6263
1576810333,6054,6257
1576812249,6053,6256
1576814193,6045,6247
1576816088,6046,6248
1576818030,6042,6244
1576819930,6041,6242
1576822107,6040,6241
1576824011,6045,6246
1576825957,6040,6240
1576830016,6015,6217
1576831928,6000,6201
1576833867,5976,6177
1576837938,5969,6170
1576839875,5947,6148
1576841772,5937,6138
1576843940,5922,6123
1576845849,5932,6133
1576847782,5914,6115
1576849688,5902,6099
1576851605,5886,6082
1576855452,5869,6064
1576857378,5873,6068
1576859285,5867,6062
1576861216,5867,6062
1576863147,5856,6050
1576865318,5839,6033
1576867220,5833,6029
1576869151,5833,6029
1576871048,5818,6013
1576872995,5816,6010
1576874890,5811,6006
1576877054,5806,6001
1576879224,5807,6002
1576881149,5791,5986
1576883066,5780,5975
1576884978,5768,5962
1576886888,5757,5950
1576888810,5750,5944
1576890744,5739,5932
1576892653,5724,5918
1576894583,5727,5921
1576896502,5709,5903
1576898406,5703,5897
1576900328,5687,5880
1576902257,5673,5863
1576904166,5668,5858
1576906088,5658,5848
1576908024,5660,5849
1576909932,5672,5861
1576911855,5657,5847
1576914024,5648,5838
1576915937,5610,5800
1576917852,5618,5808
1576919788,5593,5782
1576921695,5603,5792
1576923619,5580,5769
1576925532,5584,5773
1576927449,5570,5762
1576929378,5543,5735
1576931286,5550,5742
1576933224,5526,5717
1576937065,5494,5685
1576938979,5477,5668
1576941148,5472,5662
1576943048,5468,5661
1576945211,5467,5659
1576947130,5477,5669
