DateTime,AddedIPs,RemovedIPs
1576414822,55,17
1576416750,41,53
1576420814,40,42
1576422738,43,37
1576424664,54,47
1576426576,46,52
1576428732,39,47
1576430650,42,39
1576432579,42,44
1576434495,66,41
1576436412,51,59
1576438338,60,54
1576440500,62,60
1576442412,39,63
1576444348,37,42
1576446251,35,37
1576448417,43,35
1576450353,35,41
1576452260,47,37
1576454169,44,46
1576458021,55,46
1576459942,40,54
1576462109,50,40
1576464013,44,46
1576467867,36,45
1576469778,41,40
1576471961,46,37
1576473861,35,47
1576475769,51,33
1576477935,55,53
1576482023,48,56
1576484182,30,46
1576486334,38,32
1576488250,23,39
1576490179,47,23
1576492090,18,48
1576494028,14,18
1576495950,39,14
1576500011,41,36
1576501934,41,41
1576503861,46,44
1576505784,42,43
1576507934,42,40
1576509877,41,46
1576511770,26,39
1576513687,33,27
1576515619,45,33
1576517562,35,45
1576519711,37,34
1576521611,49,38
1576523552,38,49
1576525451,35,39
1576527613,37,36
1576529544,38,36
1576531453,34,37
1576533389,31,37
1576535286,45,31
1576537210,44,43
1576541061,41,43
1576542980,46,41
1576545166,36,44
1576547053,37,39
1576548993,38,35
1576550894,40,38
1576552818,46,42
1576554741,52,46
1576556660,43,50
1576558576,50,41
1576560492,40,50
1576562433,54,41
1576564335,42,56
1576566254,50,44
1576568184,42,46
1576570114,42,44
1576572023,40,41
1576574189,21,42
1576576107,15,22
1576578040,26,14
1576579940,26,26
1576581852,40,26
1576584041,40,37
1576588108,45,41
1576590014,39,46
1576591951,50,37
1576593855,42,53
1576595777,28,41
1576597715,34,29
1576599618,55,33
1576601530,33,54
1576605370,36,31
1576607287,44,38
1576609225,42,44
1576614970,36,44
1576617140,42,34
1576619053,40,44
1576620982,54,39
1576622890,48,52
1576624815,39,51
1576626729,45,36
1576628660,35,49
1576630566,49,34
1576632738,35,45
1576634653,40,38
1576636580,36,37
1576638756,36,37
1576640649,56,39
1576642822,28,56
1576644726,39,28
1576646662,59,38
1576648567,66,60
1576650746,63,63
1576652654,58,62
1576654584,50,60
1576656513,66,50
1576658428,44,68
1576660341,17,45
1576662252,34,17
1576664184,11,33
1576666089,19,12
1576668021,26,19
1576669931,48,23
1576671853,42,50
1576674035,26,42
1576675933,39,24
1576678102,34,40
1576680025,25,35
1576682181,28,25
1576684329,24,26
1576686268,26,26
1576688174,24,26
1576690109,22,24
1576692013,41,22
1576693953,28,36
1576696110,34,30
1576698010,36,32
1576700195,39,40
1576702095,38,38
1576704024,38,40
1576705933,51,36
1576707864,40,51
1576709768,38,42
1576711945,45,37
1576714122,50,46
1576716011,47,47
1576717949,40,49
1576719848,36,41
1576722014,36,34
1576723929,33,36
1576725866,37,36
1576727768,39,36
1576729689,36,40
1576731628,39,35
1576733541,39,38
1576735470,43,40
1576737372,42,44
1576739537,29,41
1576741450,41,29
1576743639,59,41
1576745530,68,59
1576747451,37,67
1576749417,53,39
1576751288,15,54
1576753217,28,14
1576755151,64,26
1576757054,65,62
1576758980,64,68
1576760896,41,65
1576762831,32,41
1576764988,62,32
1576767128,63,62
1576769062,44,64
1576770968,38,38
1576772900,31,42
1576774860,30,32
1576776749,42,28
1576778907,37,41
1576780826,39,40
1576782745,32,38
1576784667,31,33
1576788727,39,31
1576790652,23,35
1576792570,41,27
1576794776,40,38
1576796664,26,38
1576798584,43,29
1576800492,36,45
1576802413,39,35
1576804344,27,37
1576806259,23,29
1576808177,37,23
1576810333,28,37
1576812249,20,28
1576814193,37,20
1576816088,29,36
1576818030,31,31
1576819930,34,27
1576822107,32,33
1576824011,37,35
1576825957,60,39
1576830016,52,58
1576831928,50,52
1576833867,35,48
1576837938,43,39
1576839875,38,41
1576841772,43,37
1576843940,40,45
1576845849,38,36
1576847782,39,39
1576849688,31,40
1576851605,33,34
1576855452,57,29
1576857378,52,59
1576859285,42,53
1576861216,32,40
1576863147,29,31
1576865318,35,31
1576867220,38,35
1576869151,33,36
1576871048,27,35
1576872995,53,28
1576874890,31,53
1576877054,28,31
1576879224,38,28
1576881149,26,36
1576883066,30,27
1576884978,38,27
1576886888,37,39
1576888810,44,38
1576890744,42,46
1576892653,26,43
1576894583,34,26
1576896502,41,33
1576898406,32,40
1576900328,37,33
1576902257,34,38
1576904166,38,33
1576906088,29,37
1576908024,40,30
1576909932,42,37
1576911855,37,41
1576914024,31,38
1576915937,29,31
1576917852,37,30
1576919788,18,40
1576921695,26,17
1576923619,23,27
1576925532,10,22
1576927449,18,11
1576929378,23,17
1576931286,16,23
1576933224,27,15
1576937065,45,24
1576938979,40,45
1576941148,31,40
1576943048,48,36
1576945211,46,47
1576947130,37,44
1576949060,29,35
1576950970,35,34
1576952886,35,33
1576954835,56,34
1576956731,62,56
1576958660,56,60
1576960583,65,56
1576962517,50,63
1576964442,52,51
1576966334,63,53
1576968262,61,62
1576970427,59,62
1576972329,47,60
1576974262,49,51
1576976167,48,49
1576978101,42,41
1576980008,49,45
1576981951,55,47
1576984123,49,55
1576986013,43,52
1576987932,42,42
1576989864,44,42
1576991784,48,42
1576993687,40,51
1576995619,44,40
1576997530,49,45
1576999448,44,46
1577001379,50,44
1577003286,44,50
1577005215,37,46
1577007152,39,36
1577011215,32,43
1577013140,20,30
1577015072,51,23
1577019134,47,45
1577021050,52,46
1577022982,49,55
1577025147,42,51
1577027308,44,40
1577029225,52,43
1577031141,58,47
1577033051,60,63
1577034986,63,61
1577036892,54,64
1577038807,56,53
1577040741,51,54
1577042649,50,51
1577044580,62,51
1577046489,43,62
1577048416,49,43
1577050350,58,49
1577052256,49,60
1577054170,38,48
1577056118,53,39
1577058011,42,50
1577060181,43,45
1577062333,39,42
1577064251,44,41
1577066179,28,44
1577068088,43,30
1577070012,62,42
1577071950,45,59
1577073853,37,43
1577075770,37,39
1577077709,42,33
1577079616,40,46
1577081782,42,41
1577083933,41,35
1577085853,44,45
1577087780,54,46
1577089690,51,52
1577091618,45,54
1577093557,43,42
1577095454,39,41
1577097376,27,45
1577099326,31,28
1577101219,22,30
1577103392,15,22
1577105529,38,15
1577107449,28,37
1577109381,40,27
1577111287,50,39
1577113223,28,51
1577115157,45,29
1577117308,41,43
1577119211,40,41
1577121133,50,42
1577123050,32,51
1577124981,41,30
1577127154,23,40
1577129053,40,25
1577130980,42,41
1577132888,42,41
1577134837,22,42
1577136736,55,22
1577138930,42,53
1577140829,40,43
1577142757,47,38
1577144650,47,50
1577146584,39,47
1577148487,39,41
1577150408,46,37
1577152341,39,46
1577154248,32,37
1577156179,37,33
1577162411,57,37
1577164345,51,57
1577166251,48,49
1577168179,38,51
1577170087,55,36
1577172026,51,55
1577173932,47,52
1577175861,49,47
1577179947,12,50
1577181859,39,12
1577183779,20,36
1577185702,52,22
1577187619,40,50
1577189548,52,43
1577191451,47,50
1577193372,49,47
1577195302,38,51
1577197208,50,38
1577199129,61,51
1577201062,53,62
1577202969,63,48
1577204889,49,64
1577206816,50,49
1577208747,40,50
1577210939,34,40
1577214738,48,34
1577216665,30,47
1577218815,36,34
1577220750,50,36
1577222653,34,46
1577224567,43,36
1577226500,40,43
1577228434,41,40
1577230336,34,39
1577232255,45,33
1577234179,38,47
1577238250,31,40
1577240172,40,33
1577242102,35,39
1577244007,35,35
1577245931,36,32
1577247858,38,36
1577249768,27,38
1577251699,44,29
1577253620,44,44
1577255555,38,39
1577257455,11,42
1577259612,51,13
1577261533,72,51
1577263461,45,67
1577265384,33,49
1577269217,29,36
1577271128,32,28
1577273049,20,33
1577274981,32,19
1577276887,26,30
1577278818,41,26
1577280762,29,43
1577282653,25,28
1577284816,17,25
1577286990,28,18
1577289129,33,24
1577291065,35,34
1577292967,32,35
1577295139,34,30
1577297055,51,35
1577298985,47,52
1577300897,28,47
1577302816,38,27
1577306658,33,41
1577308814,43,34
1577310740,41,42
1577312651,29,41
1577314582,33,27
1577316494,39,34
1577318422,37,40
1577320350,44,32
1577322254,40,46
1577324174,40,40
1577326348,34,42
1577328253,26,34
1577330416,37,27
1577332332,39,36
1577334260,34,35
1577336167,43,38
1577338088,36,42
1577340027,36,36
1577341939,54,36
1577344116,51,55
1577346021,41,51
1577348180,42,39
1577350334,42,43
1577352251,48,41
1577354167,50,51
1577356098,55,49
1577358016,37,55
1577359955,48,35
1577361853,54,46
1577363779,53,55
1577365690,54,52
1577367615,54,57
1577369545,65,54
1577371449,61,64
1577373611,44,63
1577375529,57,39
1577377460,54,60
1577379369,62,54
1577381538,56,63
1577383480,68,55
1577385370,54,63
1577387322,51,53
1577391153,56,56
1577393054,52,54
1577397129,51,52
1577399054,57,54
1577400978,57,61
1577402892,61,55
1577406745,60,61
1577408910,64,53
1577410823,56,70
1577412740,57,53
1577414653,58,60
1577416582,53,56
1577418731,54,51
1577420648,52,56
1577422579,57,54
1577424487,50,55
1577426417,57,48
1577428349,61,60
1577430253,63,61
1577432171,54,60
1577434128,55,55
1577436014,54,58
1577437942,36,58
1577439861,29,35
1577441788,16,28
1577443934,28,15
1577445849,33,30
