DateTime,AddedIPs,RemovedIPs
1575554915,4,0
1575558514,1,2
1575562113,1,2
1575565711,1,3
1575572908,0,2
1575576507,3,2
1575580106,0,1
1575583701,0,3
1575587295,0,5
1575590882,2,26
1575594482,2,3
1575598083,1,3
1575601678,1,4
1575605277,1,0
1575608876,0,1
1575612489,5,0
1575616085,3,0
1575619686,4,3
1575623285,1,1
1575626887,1,0
1575634087,1,0
1575637687,1,3
1575641291,0,1
1575644891,4,0
1575648484,1,3
1575655693,1,0
1575659291,6,3
1575662901,24,0
1575666499,1,2
1575670098,0,2
1575677293,0,2
1575680896,3,1
1575684497,1,0
1575688097,1,0
1575691698,3,0
1575698899,1,0
1575702502,1,0
1575706102,4,2
1575713305,3,2
1575716906,1,0
1575720509,4,2
1575724107,1,1
1575727710,2,0
1575731310,3,2
1575734911,2,0
1575738511,0,1
1575742110,1,2
1575745711,1,0
1575749316,3,0
1575752920,4,1
1575756521,1,0
1575760120,1,1
1575763721,0,1
1575767321,1,1
1575770923,1,2
1575774528,4,1
1575778130,7,0
1575781733,4,0
1575785333,2,2
1575788937,4,2
1575792537,0,2
1575796137,4,3
1575799742,3,1
1575803344,2,1
1575806944,1,0
1575810545,2,2
1575814144,3,1
1575817746,1,0
1575821341,0,4
1575824940,2,2
1575828537,0,2
1575832133,0,4
1575835730,1,2
1575839325,1,4
1575842924,2,2
1575846526,10,1
1575850129,14,1
1575860930,1,1
1575864530,0,1
1575871730,1,1
1575875329,0,1
1575878928,1,0
1575886128,1,0
1575889732,1,0
1575893330,2,1
1575896931,1,1
1575900534,1,0
1575907731,1,2
1575911332,3,0
1575914935,2,1
1575918536,1,1
1575925737,2,1
1575929335,2,1
1575932935,1,1
1575936540,2,1
1575940134,1,3
1575943735,1,1
1575947332,0,2
1575950929,1,1
1575954530,2,1
1575958132,1,2
1575961737,105,44
1575965340,3,3
1575968937,1,1
1575972534,0,2
1575976136,1,1
1575979738,2,0
1575986937,1,1
1575990538,1,1
1575997740,2,0
1576001339,0,1
1576004939,0,2
1576008537,0,2
1576012140,4,1
1576015733,0,23
1576019335,5,0
1576022938,1,7
1576026541,3,5
1576030144,3,5
1576033743,1,4
1576037335,2,5
1576040933,5,14
1576044535,4,5
1576048137,4,0
1576051737,1,2
1576055334,2,2
1576058937,3,1
1576062538,2,0
1576066137,2,4
1576069721,1,12
1576073321,2,1
1576076921,1,3
1576080523,4,1
1576084124,6,3
1576087732,10,0
1576091333,3,0
1576094938,4,0
1576098536,3,3
1576102140,3,0
1576109345,4,2
1576112947,2,0
1576116548,1,3
1576120151,3,2
1576123751,2,0
1576127356,6,2
1576130963,3,0
1576134562,0,1
1576138164,2,1
1576141765,2,1
1576145366,2,3
1576148961,2,5
1576152564,2,2
1576156166,1,0
1576159768,0,2
1576163366,2,3
1576170569,3,2
1576174167,1,2
1576177770,1,0
1576181367,1,7
1576184961,0,4
1576188560,0,2
1576192160,2,4
1576195763,4,1
1576199362,0,1
1576202965,1,0
1576206564,2,1
1576217366,1,1
1576220963,2,2
1576224566,2,1
1576228170,3,0
1576231770,1,0
1576235371,3,2
1576238973,2,1
1576242572,2,3
1576246170,1,1
1576249774,2,2
1576253375,1,1
1576260577,2,1
1576264172,2,7
1576267760,2,27
1576271363,2,1
1576274966,1,0
1576278564,1,1
1576285762,3,2
1576289361,1,1
1576292961,0,1
1576296560,1,2
1576300160,3,0
1576303763,2,0
1576307362,2,0
1576310958,3,4
1576314557,1,2
1576318153,1,4
1576321751,1,1
1576325347,2,5
1576328949,3,1
1576332549,2,0
1576336145,0,4
1576339747,1,2
1576343348,2,1
1576346946,2,2
1576350546,0,1
1576357746,2,1
1576361348,2,0
1576364944,0,2
1576368544,2,1
1576372142,1,3
1576375738,0,3
1576379338,1,2
1576382948,27,1
1576386548,3,2
1576390153,4,2
1576393751,2,4
1576397348,0,1
1576400945,1,3
1576404545,0,2
1576408145,1,1
1576411740,1,3
1576415336,1,3
1576418932,0,2
1576422532,1,2
1576426129,0,1
1576429724,0,3
1576433322,0,3
1576436920,1,2
1576440521,0,2
1576444114,1,3
1576447715,0,1
1576451310,0,22
1576454904,0,19
1576458505,0,2
1576462105,2,1
1576465706,3,1
1576469301,1,1
1576472900,2,0
1576476499,2,2
1576480101,3,1
1576483701,1,2
1576487301,1,2
1576490897,1,2
1576494497,1,1
1576498094,1,2
1576501690,1,2
1576505291,1,3
1576508892,2,3
1576512490,0,1
1576516086,2,5
1576519692,3,2
1576523290,1,2
1576526893,3,1
1576530541,6,2
1576534100,4,3
1576537699,1,3
1576541306,3,1
1576544903,2,2
1576548499,4,4
1576552099,0,3
1576555699,3,2
1576559296,3,6
1576562893,2,1
1576566450,3,105
1576570048,2,3
1576573647,1,2
1576577245,2,2
1576580846,4,4
1576584444,3,3
1576588052,3,1
1576591653,4,1
1576595258,4,3
1576598859,2,2
1576602454,1,3
1576606060,3,1
1576609662,2,0
1576613264,1,0
1576616863,3,1
1576620465,3,1
1576624068,6,1
1576627671,1,1
1576631275,3,0
1576634879,4,0
1576638483,4,1
1576642085,4,4
1576645679,2,9
1576649277,3,4
1576652880,3,3
1576656485,4,2
1576660087,3,1
1576663688,1,3
1576667288,4,1
1576670891,4,3
1576674492,2,3
1576678089,0,7
1576681687,0,4
1576685284,2,5
1576688887,2,8
1576692486,3,4
1576696080,1,9
1576699677,2,10
1576703278,3,0
1576706886,5,3
1576710489,1,0
1576714083,3,2
1576717685,3,2
1576721286,5,3
1576724888,3,1
1576728490,5,2
1576732091,8,3
1576735693,5,0
1576739309,15,0
1576742912,3,1
1576746517,6,0
1576750129,6,0
1576753731,8,1
1576757332,4,1
1576760929,3,2
1576764534,4,0
1576768134,4,3
1576771738,5,3
1576775334,6,6
