DateTime,AddedIPs,RemovedIPs
1574917395,1,1
1574924597,2,0
1574928197,1,0
1574931796,0,1
1574935402,2,0
1574939001,2,1
1574942600,1,3
1574946200,1,1
1574953403,2,1
1574960602,0,1
1574964204,1,1
1574967802,1,1
1574971402,1,3
1574975003,1,0
1574978608,2,0
1574982211,5,0
1574985816,20,3
1574989418,1,1
1574996619,1,0
1575011018,0,1
1575014618,1,0
1575018219,0,1
1575021821,0,1
1575025415,0,1
1575029014,0,1
1575032613,1,1
1575036217,1,0
1575039815,1,0
1575043418,1,0
1575047016,0,1
1575050610,0,16
1575054204,1,9
1575057802,0,1
1575061403,1,0
1575068602,0,2
1575072201,0,1
1575079404,0,1
1575082999,1,0
1575086598,0,1
1575090193,0,3
1575097391,0,2
1575104591,1,0
1575108195,0,1
1575115394,2,1
1575126193,1,0
1575129792,0,1
1575133391,0,1
1575136995,1,0
1575144192,0,1
1575147792,2,1
1575151392,0,3
1575154987,0,1
1575158586,0,1
1575165793,2,0
1575169390,1,0
1575180193,1,0
1575183790,0,1
1575190989,0,1
1575216190,1,0
1575219789,1,0
1575223394,1,0
1575226990,0,1
1575230592,1,0
1575234191,1,1
1575237794,0,1
1575259387,0,2
1575262986,0,1
1575266592,1,0
1575277386,1,0
1575284584,0,1
1575291785,1,0
1575298987,1,0
1575313387,1,1
1575324193,1,0
1575327790,1,1
1575331391,1,2
1575334989,0,3
1575342190,1,1
1575345791,1,0
1575349389,1,2
1575352992,1,0
1575356630,45,0
1575360232,3,0
1575363830,0,2
1575367432,1,1
1575374630,1,0
1575381836,1,1
1575396233,0,1
1575399830,1,3
1575403429,2,1
1575407033,8,2
1575410647,28,1
1575414239,0,2
1575417842,14,1
1575421441,5,2
1575425048,6,1
1575428644,6,3
1575432246,6,2
1575435852,9,0
1575439457,3,1
1575443052,0,1
1575446651,1,2
1575450249,1,2
1575453855,1,1
1575461052,4,1
1575464662,7,0
1575468268,4,0
1575471863,0,1
1575475463,0,1
1575479061,1,1
1575482664,0,1
1575486255,1,3
1575489852,0,1
1575493449,1,4
1575497052,0,1
1575500645,1,2
1575504246,2,0
1575511452,4,1
1575515044,1,3
1575518642,0,1
1575525848,1,0
1575529439,1,3
1575533043,2,0
1575536643,1,0
1575540247,1,2
1575543840,3,2
1575547440,2,0
1575551037,0,2
1575554643,2,0
1575558237,0,2
1575561836,0,1
1575565436,0,2
1575572634,0,1
1575576234,3,1
1575583433,0,3
1575587026,0,5
1575590613,2,24
1575594214,2,1
1575597814,0,2
1575601412,1,0
1575605012,1,0
1575612215,1,0
1575615815,2,0
1575619413,1,1
1575623012,1,1
1575637414,1,1
1575644615,2,0
1575648212,1,2
1575655416,1,0
1575662624,24,0
1575666222,1,2
1575680624,1,0
1575684229,1,0
1575687826,1,0
1575691428,3,0
1575698632,1,0
1575702231,1,0
1575705832,2,2
1575713036,1,1
1575720232,1,2
1575731033,2,1
1575734634,1,0
1575741835,0,1
1575749034,1,0
1575752636,2,1
1575756240,1,0
1575770637,0,2
1575774235,0,1
1575777831,2,0
1575785031,1,2
1575788631,1,0
1575795831,0,1
1575813832,1,0
1575821030,0,1
1575824629,0,1
1575828230,0,2
1575835427,1,1
1575839029,1,1
1575842630,1,0
1575846234,10,0
1575849835,13,0
1575860637,1,0
1575871441,1,1
1575885840,1,0
1575889440,1,0
1575893040,1,0
1575896640,0,1
1575907440,1,0
1575911040,1,0
1575914641,1,0
1575918250,1,1
1575925442,1,1
1575929040,2,1
1575932641,1,1
1575936249,2,1
1575939842,1,1
1575943444,1,1
1575947039,0,2
1575950639,1,0
1575954242,2,0
1575957840,1,1
1575961401,1,44
1575965003,2,2
1575968604,2,1
1575972206,0,2
1575975802,1,0
1575979406,2,0
1575986609,1,1
1575990207,0,1
1575993805,0,1
1575997406,2,0
1576001009,0,1
1576004604,0,1
1576008206,0,1
1576011808,4,1
1576015403,0,23
1576019002,2,0
1576022603,1,7
1576026204,1,3
1576029805,2,5
1576033402,0,4
1576036995,0,5
1576040592,3,13
1576044197,0,2
1576051394,2,0
