DateTime,AddedIPs,RemovedIPs
1575299459,65,4
1575303054,2,1
1575306655,1,1
1575313862,5,3
1575317460,2,0
1575321069,2,2
1575328265,4,5
1575331859,0,5
1575335448,0,2
1575342647,3,3
1575346255,2,2
1575349848,0,1
1575357045,1,3
1575360641,1,0
1575371452,2,0
1575375046,1,1
1575378655,2,1
1575385856,2,2
1575389449,0,2
1575393053,2,2
1575396836,1,36
1575400215,1,55
1575403818,4,0
1575407417,4,2
1575414637,49,4
1575418236,2,2
1575421833,17,2
1575429040,14,3
1575432634,4,1
1575436244,19,2
1575440037,0,2
1575443449,0,1
1575447048,1,2
1575450645,0,1
1575457842,4,3
1575461443,2,1
1575465041,0,1
1575472251,7,2
1575475844,1,1
1575479450,6,2
1575483273,1,2
1575486644,5,0
1575490245,2,3
1575493838,3,6
1575501042,5,7
1575504642,3,3
1575508249,3,0
1575515438,1,5
1575519035,1,4
1575529837,0,4
1575537035,2,1
1575544238,2,1
1575547834,1,2
1575551437,1,1
1575558640,1,0
1575562244,0,1
1575565831,2,2
1575569662,3,1
1575573036,0,1
1575576633,2,0
1575580239,2,4
1575584063,5,3
1575587433,2,2
1575591037,5,4
1575594646,1,0
1575601832,1,4
1575609039,0,2
1575612858,1,2
1575616241,1,1
1575619827,2,1
1575630634,5,0
1575634233,1,2
1575637832,1,0
1575645037,2,3
1575648626,0,3
1575652228,4,2
1575656051,2,3
1575659431,1,0
1575663032,1,0
1575666634,1,0
1575673832,5,8
1575677439,2,2
1575681031,0,1
1575688234,3,0
1575691826,1,3
1575695429,0,1
1575702628,1,2
1575709824,1,3
1575717026,0,1
1575720624,2,2
1575724227,0,3
1575731418,4,4
1575735030,7,6
1575738624,2,4
1575742465,2,3
1575745823,2,6
1575749417,1,0
1575753023,2,3
1575760223,6,3
1575763819,1,6
1575767424,8,0
1575774768,5,4
1575778225,0,1
1575781822,0,1
1575785608,1,0
1575789024,0,1
1575796219,1,3
1575803423,2,0
1575807020,1,2
1575810752,1,0
1575814395,1,11
1575817816,1,11
1575821412,2,3
1575825006,2,1
1575832203,1,6
1575835803,1,1
1575839405,1,1
1575846735,4,4
1575850200,0,1
1575853792,1,1
1575861002,3,3
1575864727,0,1
1575875398,0,1
1575878994,0,2
1575886374,2,0
1575889789,0,3
1575893387,0,1
1575896984,0,11
1575904130,3,61
1575907732,0,6
1575911327,0,1
1575914932,2,2
1575918741,1,1
1575922127,0,3
1575925722,1,3
1575929312,2,4
1575932920,5,1
1575936742,1,1
1575940125,1,0
1575943730,1,0
1575947320,3,1
1575950936,2,0
1575954727,1,1
1575958122,1,1
1575961727,0,1
1575965333,0,1
1575968923,2,1
1575972718,0,1
1575976122,1,1
1575979723,1,2
1575983320,2,2
1575987094,1,1
1575990659,2,0
1575994120,0,3
1575997730,2,1
1576001500,1,0
1576004931,1,1
1576008663,1,5
1576012123,3,1
1576015893,2,25
1576019314,3,8
1576022916,1,0
1576026632,1,16
1576030278,2,26
1576033702,2,1
1576037308,1,4
1576040877,0,74
1576048068,0,2
1576051677,1,1
1576055279,1,0
1576059041,0,2
1576062596,0,4
1576066070,1,2
1576069674,2,2
1576073436,3,2
1576076867,0,1
1576080606,4,1
1576084072,2,5
1576087841,3,3
1576091265,0,6
1576094870,1,0
1576098607,4,4
1576102247,3,1
1576109267,4,8
1576116593,1,1
1576120104,2,1
1576123677,0,1
1576127275,0,1
1576130874,1,0
1576149035,1,2
1576152577,2,0
1576156073,2,2
1576159672,0,1
1576170621,82,1
1576174140,52,2
1576177906,3,2
1576188654,1,1
1576192306,1,2
1576195734,3,3
1576199333,1,3
1576202935,0,1
1576210142,2,2
1576213730,2,1
1576217328,3,1
1576221114,0,1
1576224644,2,1
1576228123,0,1
1576235497,0,4
1576238921,1,0
1576246123,4,1
1576249889,4,3
1576253324,1,0
1576256927,2,9
1576260634,2,2
1576264297,4,1
1576267727,2,0
1576271326,0,3
1576274924,1,1
1576278742,1,1
1576282131,2,2
1576285727,2,1
1576289325,1,1
1576293098,0,1
1576296662,2,0
1576300124,1,2
1576303722,1,1
1576307498,1,1
1576310923,1,1
1576318125,0,1
1576321895,1,0
