DateTime,AddedIPs,RemovedIPs
1575548110,2,1
1575551718,1,2
1575558906,0,4
1575562521,6,0
1575566101,1,4
1575569786,2,4
1575573320,1,1
1575580517,0,2
1575587722,0,4
1575591316,0,3
1575594923,0,1
1575598605,3,1
1575602110,1,2
1575605695,0,1
1575609318,2,2
1575616513,11,23
1575620096,0,5
1575623697,1,0
1575627375,3,1
1575634502,6,2
1575638093,0,1
1575645295,4,4
1575648885,3,2
1575652489,1,3
1575656183,3,0
1575659699,8,3
1575663303,5,7
1575666908,1,2
1575674100,3,5
1575677693,1,3
1575681301,2,2
1575688498,2,1
1575692095,1,0
1575695692,2,2
1575699378,2,1
1575702907,16,1
1575710106,0,4
1575713799,2,1
1575717304,4,1
1575720904,8,7
1575724497,0,4
1575728178,1,1
1575731700,1,5
1575735306,0,1
1575738912,1,2
1575742577,1,0
1575746090,3,5
1575749671,2,1
1575753301,1,2
1575757009,2,2
1575760524,5,0
1575764127,4,0
1575771348,1,2
1575774936,0,2
1575778525,4,0
1575782109,1,0
1575785748,0,2
1575789316,2,0
1575792932,1,1
1575796519,1,4
1575800144,3,1
1575803710,0,5
1575807318,3,1
1575810938,3,0
1575814543,2,4
1575818104,1,1
1575821720,0,2
1575825317,2,1
1575829016,1,1
1575832521,2,1
1575836113,2,12
1575839714,4,4
1575843350,5,7
1575846937,2,0
1575850517,3,3
1575854109,3,2
1575857739,1,3
1575861309,1,1
1575864933,2,0
1575868514,3,2
1575872150,1,2
1575875697,4,20
1575879296,3,4
1575882906,0,3
1575886524,6,5
1575890090,2,1
1575893695,3,0
1575897294,2,7
1575904492,4,0
1575908089,3,2
1575911693,1,3
1575915299,1,5
1575922511,2,1
1575926071,5,15
1575929670,1,6
1575933265,2,1
1575936946,0,2
1575940466,0,1
1575944067,0,1
1575947671,1,2
1575951267,4,6
1575954941,5,5
1575958451,3,7
1575962068,23,2
1575965666,1,1
1575969279,14,4
1575972977,1,0
1575976473,1,1
1575980084,2,2
1575983668,3,7
1575987290,3,6
1575990879,2,2
1575994464,0,1
1575998072,0,2
1576001698,4,0
1576005265,2,8
1576008873,0,4
1576012454,0,5
1576016077,2,4
1576026863,1,4
1576030469,1,3
1576034050,1,1
1576037646,1,1
1576041242,2,4
1576044939,1,0
1576048440,0,1
1576052043,1,4
1576055640,4,1
1576059266,2,1
1576062847,3,1
1576066446,1,0
1576070037,1,2
1576073666,2,1
1576077245,2,1
1576080851,1,5
1576084434,0,3
1576088055,1,4
1576091625,1,3
1576098849,5,4
1576102453,2,1
1576106078,4,1
1576109635,1,1
1576113220,0,11
1576116832,1,2
1576120448,0,2
1576124011,1,1
1576127611,0,4
1576131214,2,0
1576134878,1,21
1576138385,3,2
1576141997,1,1
1576145597,4,2
1576149222,4,1
1576152803,2,2
1576156401,4,1
1576160009,2,0
1576163623,4,1
1576167197,1,3
1576170811,5,4
1576174412,0,1
1576178026,2,2
1576181604,3,1
1576185204,1,0
1576188828,2,0
1576192431,0,1
1576196018,2,1
1576199624,1,0
1576203218,1,2
1576206892,2,6
1576210410,1,0
1576214001,1,1
1576217613,2,3
1576221241,17,1
1576224836,5,0
1576228419,1,1
1576232007,1,2
1576235650,0,1
1576239209,1,6
1576242836,6,1
1576246410,4,3
1576250029,2,2
1576253615,5,2
1576257223,4,2
1576260831,3,0
1576264449,2,0
1576268027,3,1
1576271629,1,1
1576275222,1,2
1576278915,1,4
1576282428,0,2
1576286039,5,1
1576289631,2,1
