DateTime,Entries,UniqueIPs
1575702212,5970,5970
1575703871,5970,5970
1575705678,5987,5987
1575711097,6022,6022
1575714676,6049,6049
1575718311,6052,6052
1575721903,6069,6069
1575725478,6082,6082
1575729080,6084,6084
1575732665,6084,6084
1575736290,6088,6088
1575741687,6104,6104
1575743495,6116,6116
1575747076,6143,6143
1575750672,6126,6126
1575756094,6123,6123
1575759766,6076,6076
1575765081,6052,6052
1575768669,6032,6032
1575772270,6006,6006
1575775881,5992,5992
1575779470,5978,5978
1575784874,5959,5959
1575786664,5966,5966
1575790286,5985,5985
1575795696,6004,6004
1575797472,6027,6027
1575799274,6046,6046
1575804673,6067,6067
1575808289,6092,6092
1575811891,6103,6103
1575817278,6101,6101
1575819108,6120,6120
1575822678,6149,6149
1575824545,6161,6161
1575829862,6168,6168
1575835293,6175,6175
1575840676,6147,6147
1575842509,6125,6125
1575846093,6147,6147
1575847874,6076,6076
1575851513,6048,6048
1575855101,6041,6041
1575858667,6027,6027
1575862358,6009,6009
1575865892,5994,5994
1575867799,5989,5989
1575873070,5999,5999
1575876707,6014,6014
1575880300,6014,6014
1575883878,6037,6037
1575889270,6051,6051
1575891066,6056,6056
1575894755,6079,6079
1575898267,6066,6066
1575901896,6076,6076
1575905503,6099,6099
1575907373,6120,6120
1575910869,6099,6099
1575912679,6124,6124
1575916288,6142,6142
1575921685,6161,6161
1575925271,6176,6176
1575927080,6143,6143
1575930664,6081,6081
1575934277,6052,6052
1575936198,6019,6019
1575943271,6007,6007
1575945072,6008,6008
1575948692,6002,6002
1575952275,5994,5994
1575955871,5977,5977
1575959486,5994,5994
1575963101,5993,5993
1575966673,6015,6015
1575970285,6007,6007
1575973877,6041,6041
1575977473,6052,6052
1575981091,6047,6047
1575984671,6051,6051
1575988287,6065,6065
1575990114,6074,6074
1575995465,6090,6090
1575997288,6109,6109
1575999108,6090,6090
1576000867,6109,6109
1576002672,6083,6083
1576006287,6126,6126
1576009909,6135,6135
1576013480,6124,6124
1576017100,6101,6101
1576020691,6056,6056
1576024300,6044,6044
1576027874,6037,6037
1576033286,6031,6031
1576035067,6010,6010
1576038700,5988,5988
1576042265,5975,5975
1576045875,5991,5991
1576049469,6009,6009
1576053091,6015,6015
1576056706,6016,6016
1576058469,6034,6034
1576062090,6007,6007
1576069288,6034,6034
1576071103,6058,6058
1576072895,6069,6069
1576076497,6058,6058
1576078272,6076,6076
1576081900,6109,6109
1576085474,6105,6105
1576089076,6121,6121
1576092675,6150,6150
1576096270,6140,6140
1576098073,6143,6143
1576103466,6104,6104
1576105274,6065,6065
1576110664,6034,6034
1576114302,6039,6039
1576117874,6021,6021
1576121502,5996,5996
1576125072,5991,5991
1576130470,5990,5990
1576132293,5992,5992
1576135872,6015,6015
1576139486,6036,6036
1576143081,6039,6039
1576146672,6055,6055
1576150270,6071,6071
1576152073,6073,6073
1576155678,6065,6065
1576157468,6079,6079
1576161072,6074,6074
1576164709,6082,6082
1576168294,6093,6093
1576173668,6119,6119
1576177295,6126,6126
1576179083,6150,6150
1576182678,6152,6152
1576186276,6133,6133
1576189865,6104,6104
1576193477,6067,6067
1576197072,6076,6076
1576200668,6040,6040
1576204300,6029,6029
1576207876,6033,6033
1576211497,6018,6018
1576215109,5998,5998
1576218689,6010,6010
1576222278,6035,6035
1576225867,6034,6034
1576229495,6036,6036
1576234885,6059,6059
1576236697,6048,6048
1576240291,6070,6070
1576243866,6088,6088
1576247466,6070,6070
1576249267,6089,6089
1576252872,6095,6095
1576256512,6121,6121
1576258269,6111,6111
1576260136,6121,6121
1576261866,6147,6147
1576263701,6145,6145
1576267339,6146,6146
1576272690,6143,6143
1576276264,6138,6138
1576279880,6117,6117
1576283481,6109,6109
1576287082,6088,6088
1576290665,6057,6057
1576294289,6044,6044
1576297900,6028,6028
1576301501,6029,6029
1576305065,6027,6027
1576306921,6029,6029
1576312275,6058,6058
1576315866,6106,6106
1576319508,6113,6113
1576323070,6120,6120
1576326695,6147,6147
1576330276,6168,6168
1576333872,6158,6158
1576337469,6170,6170
1576339303,6174,6174
1576344666,6196,6196
1576348304,6204,6204
1576351864,6192,6192
1576355502,6179,6179
1576359066,6172,6172
1576362669,6159,6159
1576368069,6121,6121
1576369877,6107,6107
1576371695,6121,6121
1576373474,6082,6082
1576378872,6072,6072
1576380709,6046,6046
1576384280,6019,6019
