DateTime,AddedIPs,RemovedIPs
1576743639,189,19
1576745530,29,12
1576746902,179,0
1576747451,10,6
1576749417,18,16
1576750501,202,0
1576751288,4,6
1576753217,10,4
1576754102,162,0
1576755151,22,12
1576757054,26,14
1576757548,820,1784
1576757702,149,0
1576758980,23,17
1576760896,18,7
1576761302,207,0
1576762831,13,8
1576764988,191,9
1576767128,31,10
1576768502,135,0
1576769062,13,10
1576770968,18,7
1576772102,126,0
1576772900,12,4
1576774860,13,8
1576775702,147,0
1576776749,12,2
1576778907,16,13
1576779302,131,0
1576780838,824,774
1576782745,8,8
1576782901,102,0
1576784667,18,9
1576785496,891,0
1576786502,122,0
1576788727,10,32
1576789708,776,0
1576790102,102,0
1576790652,8,12
1576792570,9,12
1576793702,90,0
1576794787,793,17
1576796664,7,11
1576797302,106,0
1576798584,59,21
1576800492,6,0
1576800901,74,3893
1576802413,14,30
1576804344,3,0
1576804502,147,0
1576806259,97,35
1576808177,171,0
1576810333,8,27
1576811702,149,0
1576812249,10,0
1576814193,31,21
1576815302,128,0
1576816088,8,0
1576818030,5,30
1576818902,161,0
1576819930,14,0
1576822107,13,29
1576822502,182,0
1576824011,10,10
1576825957,20,16
1576826102,168,0
1576830016,169,14
1576831928,12,23
1576833302,172,0
1576833867,7,35
1576836901,159,0
1576837938,9,22
1576839875,17,11
1576840502,149,0
1576841772,16,23
1576843940,8,28
1576844102,164,0
1576845849,11,23
1576847782,190,16
1576849688,6,11
1576851302,147,0
1576851605,8,19
1576854024,921,790
1576854902,146,0
1576855452,20,26
1576855962,904,0
1576857378,23,28
1576858502,133,0
1576859285,14,0
1576859557,798,0
1576861216,7,9
1576862102,118,0
1576863147,11,14
1576865318,11,24
1576865701,126,0
1576867220,18,0
1576869151,17,28
1576869302,790,0
1576871048,6,0
1576872995,106,17
1576874890,12,0
1576876502,111,0
1576877054,13,14
1576879224,12,14
1576880102,86,0
1576881149,5,0
1576881868,694,3207
1576883066,11,25
1576883702,109,0
1576884730,38,44
1576884978,13,0
1576886888,10,15
1576887302,112,3690
1576888810,12,12
1576890744,16,13
1576890902,148,0
1576892406,81,82
1576892653,10,5
1576893129,928,0
1576894583,146,23
1576896502,11,0
1576898102,161,0
1576898406,10,8
1576900084,18,19
1576900328,11,10
1576902020,1028,0
1576902257,5,9
1576904166,15,9
1576905302,168,0
1576906088,7,5
1576908024,15,12
1576908902,155,0
1576909932,13,12
1576911855,11,12
1576912502,141,0
1576914024,8,25
1576915937,7,0
1576916102,133,0
1576917852,6,10
1576919788,168,11
1576921695,9,6
1576923302,168,0
1576923619,7,0
1576925532,4,7
1576926902,177,0
1576927449,5,18
1576929378,6,15
1576930502,163,0
1576931286,7,8
1576933224,4,12
1576934102,117,0
1576936328,908,0
1576937065,11,26
1576937702,129,0
1576938979,6,8
1576941148,11,0
1576941301,120,0
1576943048,13,21
1576945211,102,21
1576947130,9,16
1576948502,107,0
1576949060,9,7
1576950970,8,10
1576952102,111,0
1576952886,12,9
1576954835,19,17
1576955702,96,0
1576956731,24,15
1576958660,17,6
1576959302,91,0
1576960583,21,13
1576962517,14,9
1576962903,79,0
1576964442,11,11
1576966334,12,13
1576966502,83,0
1576968262,13,4
1576969946,41,41
1576970427,108,13
1576972329,13,12
1576973702,94,4131
1576974262,21,12
1576976167,11,14
1576977302,136,0
1576977604,38,46
1576978101,12,14
1576980008,10,8
1576980902,143,0
1576981446,41,83
1576981951,23,12
1576984123,11,9
1576984502,118,0
1576985283,11,22
1576986013,10,12
1576987932,9,12
1576988102,90,0
1576989864,16,7
1576991784,120,12
1576993687,13,8
1576995302,92,0
1576995619,10,14
1576997530,20,9
1576998902,103,0
1576999448,16,11
1577001379,13,9
1577002502,111,0
1577003286,21,8
1577005215,13,9
1577006101,103,0
1577007152,11,7
1577009701,119,0
1577011215,9,13
1577013140,7,5
1577013302,143,0
1577015072,19,5
1577016902,83,0
1577019134,12,10
1577020502,97,0
1577021050,19,5
1577022982,18,0
1577024101,88,0
1577025147,9,8
1577027308,8,8
1577027702,82,0
1577028751,792,6059
1577029225,12,6
1577031141,20,11
1577031302,125,0
1577033051,13,14
1577034986,107,9
1577036892,24,9
1577038501,99,0
1577038807,18,7
1577040741,25,12
1577042102,124,0
1577042649,22,18
1577044580,15,28
1577045701,73,0
1577046489,12,21
1577048416,19,19
1577049302,88,0
1577050350,22,12
1577052256,22,11
1577052902,104,0
1577054170,14,11
1577056118,18,12
1577056502,124,0
1577058011,9,14
1577058968,39,85
1577060181,121,3234
1577062333,17,20
1577063702,124,1
1577064251,15,7
1577066179,11,11
1577066647,79,84
1577067302,164,0
1577068088,16,9
1577070012,20,23
1577070902,132,0
1577071950,11,12
1577073853,14,11
1577074332,14,26
1577074502,100,0
1577075770,6,7
1577077709,10,12
1577079616,11,14
1577081782,10,12
1577083933,238,29
1577085853,16,18
1577087780,13,12
1577088902,308,0
1577089690,14,16
1577091618,8,12
1577093557,14,11
1577095454,10,0
1577096102,316,0
1577096886,891,0
1577097376,3,0
1577099326,7,8
1577101219,6,8
1577103392,3,19
1577105529,282,0
1577107449,8,14
1577109381,19,18
1577111287,146,21
1577113223,14,10
1577114438,833,0
1577115157,269,10
1577117308,13,12
1577119211,12,18
1577121133,21,11
1577122202,247,0
1577123050,12,12
1577124981,9,22
1577125801,100,0
1577127154,5,40
1577128347,793,796
1577129053,13,19
1577130980,10,0
1577132888,9,17
1577133002,190,0
1577134837,8,32
1577136736,20,0
1577138930,12,48
1577140202,146,0
1577140829,10,12
1577142757,12,18
1577143697,43,0
1577143802,86,0
1577144650,12,10
1577146584,8,20
1577148487,8,0
1577150408,14,14
1577151367,151,2762
1577152341,94,15
1577154248,8,6
1577156179,14,17
1577158202,193,0
1577159048,15,0
1577162411,18,56
1577164345,18,7
1577166251,135,10
1577168179,14,0
1577169002,246,0
1577170087,24,8
1577170329,902,0
1577172026,17,10
1577173932,21,12
1577175861,17,14
1577179947,149,16
1577180702,349,0
1577181859,6,21
1577183779,9,3
1577184302,147,0
1577185702,24,0
1577187624,847,881
1577187902,160,0
1577189548,16,3
1577191451,14,3
1577191709,854,0
1577193372,13,10
1577195302,13,6
1577197208,274,19
1577199129,22,14
1577199638,899,0
1577201062,15,14
1577202302,234,0
1577202969,24,10
1577204889,20,12
1577206816,25,11
1577208747,23,20
1577210939,182,11
1577213101,257,0
1577214738,22,14
1577216665,6,15
1577218815,6,8
1577220750,20,9
1577221202,386,0
1577222653,5,6
1577224567,19,17
1577224803,167,0
1577226500,9,10
1577228434,10,8
1577228895,214,42
1577230336,10,10
1577232255,133,2788
1577234179,11,13
1577235602,149,0
1577236807,39,38
1577238250,13,28
1577239202,178,0
1577240172,13,11
1577240653,33,67
1577242102,13,9
1577242802,124,0
1577244007,7,12
1577244484,13,11
1577245931,3,0
1577246402,111,0
1577247858,8,0
1577249768,8,16
1577250003,113,0
1577251699,15,15
1577253620,9,21
1577255555,12,11
1577257455,4,18
1577259612,606,13
1577261533,35,22
1577263461,18,11
1577265384,253,0
1577269217,10,9
1577271128,7,5
1577273049,183,22
1577274981,13,15
1577276102,244,0
1577276887,10,14
1577278818,21,15
1577280762,9,13
1577282653,9,11
1577284816,111,17
1577286990,10,20
1577289129,215,17
1577290584,860,5052
1577291065,6,23
1577292967,9,15
1577295139,224,27
1577297055,22,20
1577298985,20,10
1577300897,10,0
1577302202,197,0
1577302816,13,19
1577306658,7,14
1577308814,16,18
1577309402,215,0
1577310740,10,4
1577312651,4,19
1577314582,4,6
1577316494,12,10
1577316602,188,0
1577318168,33,74
1577318422,3,9
1577320350,17,13
1577322254,8,9
1577324174,110,3175
1577325851,189,86
1577326348,8,14
1577328253,7,10
