DateTime,Entries,UniqueIPs
1576743639,10078,10373
1576745530,10094,10390
1576746902,10266,10569
1576747451,10270,10573
1576749417,10272,10575
1576750501,10473,10777
1576751288,10471,10775
1576753217,10477,10781
1576754102,10637,10943
1576755151,10647,10953
1576757054,10660,10965
1576757548,9709,10001
1576757702,9851,10150
1576758980,9857,10156
1576760896,9868,10167
1576761302,10068,10374
1576762831,10073,10379
1576764988,10249,10561
1576767128,10270,10582
1576768502,10400,10717
1576769062,10403,10720
1576770968,10414,10731
1576772102,10532,10857
1576772900,10540,10865
1576774860,10545,10870
1576775702,10683,11017
1576776749,10693,11027
1576778907,10697,11030
1576779302,10820,11161
1576780838,10870,11211
1576782745,10871,11211
1576782901,10968,11313
1576784667,10977,11322
1576785496,11848,12213
1576786502,11962,12335
1576788727,11941,12313
1576789708,12698,13089
1576790102,12799,13191
1576790652,12795,13187
1576792570,12792,13184
1576793702,12879,13274
1576794787,13644,14050
1576796664,13641,14046
1576797302,13745,14152
1576798584,13780,14190
1576800492,13786,14196
1576800901,10116,10377
1576802413,10101,10361
1576804344,10104,10364
1576804502,10241,10511
1576806259,10300,10573
1576808177,10457,10744
1576810333,10439,10725
1576811702,10570,10874
1576812249,10580,10884
1576814193,10589,10894
1576815302,10712,11022
1576816088,10720,11030
1576818030,10696,11005
1576818902,10845,11166
1576819930,10859,11180
1576822107,10842,11164
1576822502,11015,11346
1576824011,11015,11346
1576825957,11019,11350
1576826102,11174,11518
1576830016,11321,11673
1576831928,11310,11662
1576833302,11477,11834
1576833867,11449,11806
1576836901,11599,11965
1576837938,11586,11952
1576839875,11591,11958
1576840502,11738,12107
1576841772,11731,12100
1576843940,11711,12080
1576844102,11871,12244
1576845849,11859,12232
1576847782,12028,12406
1576849688,12023,12401
1576851302,12167,12548
1576851605,12157,12537
1576854024,12297,12668
1576854902,12438,12814
1576855452,12433,12808
1576855962,13318,13712
1576857378,13313,13707
1576858502,13440,13840
1576859285,13454,13854
1576859557,14235,14652
1576861216,14233,14650
1576862102,14342,14768
1576863147,14339,14765
1576865318,14326,14752
1576865701,14436,14878
1576867220,14454,14896
1576869151,14442,14885
1576869302,15218,15675
1576871048,15224,15681
1576872995,15312,15770
1576874890,15323,15782
1576876502,15429,15893
1576877054,15428,15892
1576879224,15426,15890
1576880102,15506,15976
1576881149,15511,15981
1576881868,13057,13468
1576883066,13044,13454
1576883702,13142,13563
1576884730,13134,13557
1576884978,13147,13570
1576886888,13142,13565
1576887302,9741,9987
1576888810,9741,9987
1576890744,9744,9990
1576890902,9874,10138
1576892406,9872,10137
1576892653,9877,10142
1576893129,10791,11070
1576894583,10909,11193
1576896502,10920,11204
1576898102,11065,11365
1576898406,11067,11367
1576900084,11068,11366
1576900328,11068,11367
1576902020,12060,12395
1576902257,12054,12391
1576904166,12060,12397
1576905302,12214,12565
1576906088,12216,12567
1576908024,12219,12570
1576908902,12366,12725
1576909932,12367,12726
1576911855,12365,12725
1576912502,12498,12866
1576914024,12481,12849
1576915937,12488,12856
1576916102,12617,12989
1576917852,12613,12985
1576919788,12763,13142
1576921695,12766,13145
1576923302,12924,13313
1576923619,12931,13320
1576925532,12928,13317
1576926902,13090,13494
1576927449,13079,13481
1576929378,13070,13472
1576930502,13220,13635
1576931286,13219,13634
1576933224,13211,13626
1576934102,13320,13743
1576936328,14217,14651
1576937065,14202,14636
1576937702,14322,14765
1576938979,14320,14763
1576941148,14331,14774
1576941301,14444,14894
1576943048,14436,14886
1576945211,14504,14967
1576947130,14495,14960
1576948502,14592,15067
1576949060,14594,15069
1576950970,14591,15067
1576952102,14696,15178
1576952886,14698,15181
1576954835,14701,15183
1576955702,14789,15279
1576956731,14798,15288
1576958660,14809,15299
1576959302,14893,15390
1576960583,14901,15398
1576962517,14906,15403
1576962903,14980,15482
1576964442,14980,15482
1576966334,14979,15481
1576966502,15061,15564
1576968262,15070,15573
1576969946,15068,15573
1576970427,15163,15668
1576972329,15164,15669
1576973702,11328,11632
1576974262,11335,11641
1576976167,11332,11638
1576977302,11455,11774
1576977604,11449,11766
1576978101,11447,11764
1576980008,11449,11766
1576980902,11586,11909
1576981446,11548,11867
1576981951,11559,11878
1576984123,11561,11880
1576984502,11672,11998
1576985283,11661,11987
1576986013,11659,11985
1576987932,11656,11982
1576988102,11737,12072
1576989864,11745,12081
1576991784,11848,12189
1576993687,11853,12194
1576995302,11936,12286
1576995619,11932,12282
1576997530,11942,12293
1576998902,12041,12396
1576999448,12046,12401
1577001379,12050,12405
1577002502,12153,12516
1577003286,12166,12529
1577005215,12170,12533
1577006101,12268,12636
1577007152,12272,12640
1577009701,12380,12759
1577011215,12375,12755
1577013140,12377,12757
1577013302,12515,12900
1577015072,12529,12914
1577016902,12604,12997
1577019134,12606,12999
1577020502,12694,13096
1577021050,12708,13110
1577022982,12726,13128
1577024101,12804,13216
1577025147,12805,13217
1577027308,12805,13217
1577027702,12884,13299
1577028751,7675,8032
1577029225,7681,8038
1577031141,7690,8047
1577031302,7812,8172
1577033051,7811,8171
1577034986,7894,8269
1577036892,7909,8284
1577038501,7999,8383
1577038807,8011,8394
1577040741,8025,8407
1577042102,8143,8531
1577042649,8147,8535
1577044580,8135,8522
1577045701,8201,8595
1577046489,8192,8586
1577048416,8192,8586
1577049302,8271,8674
1577050350,8281,8684
1577052256,8292,8695
1577052902,8392,8799
1577054170,8395,8802
1577056118,8401,8808
1577056502,8517,8932
1577058011,8512,8927
1577058968,8472,8881
1577060181,5558,5768
