DateTime,AddedIPs,RemovedIPs
1575584878,2,1
1575594511,5671,5821
1575595919,1,3
1575597009,2,0
1575599709,1,0
1575603308,1,0
1575605111,3882,3917
1575606698,1,2
1575608719,2,0
1575615841,2228,2184
1575617410,2,1
1575626814,2912,2858
1575628623,1,0
1575630325,3,0
1575631210,31,17
1575637700,3817,3783
1575639911,0,255
1575641553,2,10
1575647406,2,1
1575648391,4404,4386
1575655509,1,0
1575656944,1,1
1575659107,4892,4853
1575666313,1,0
1575668139,1,2
1575669008,1,0
1575670301,5225,5233
1575679029,0,2
1575680641,5445,5597
1575685210,1,0
1575689544,2,3
1575691511,3527,3545
1575700512,2,1
1575702310,2081,2029
1575710535,1,0
1575712223,13,0
1575712591,0,2
1575713122,2556,2521
1575716419,19,31
1575718213,254,0
1575721812,1,0
1575723911,3392,3367
1575730280,3,1
1575734712,4019,3994
1575739934,1,2
1575745513,4524,4504
1575747313,1,0
1575750370,3,3
1575754510,1,0
1575756022,0,5
1575756312,4975,4972
1575759911,1,0
1575761711,0,1
1575765313,1,0
1575767041,5190,5330
1575771520,2,1
1575777970,3231,3265
1575788641,2002,1964
1575790510,1,0
1575798618,11,0
1575798675,0,2
1575799936,2467,2397
1575804071,25,16
1575804425,1,2
1575810318,3224,3209
1575814811,1,0
1575815533,2,5
1575821041,3876,3829
1575826492,6,0
1575828311,1,0
1575831911,4263,4268
1575836493,2,7
1575841811,0,4
1575842784,4613,4605
1575847209,0,2
1575848110,1,0
1575853441,5026,5175
1575858001,2,3
1575864416,3041,3047
1575868929,1,1
1575875119,1909,1860
1575879665,0,1
1575885022,6,0
1575885388,0,8
1575885920,2290,2248
1575886812,1,0
1575889218,40,55
1575889554,0,1
1575896641,3267,3220
1575900310,1,0
1575902411,0,255
1575903618,2,2
1575907499,3876,3879
1575911296,1,7
1575918241,4322,4343
1575921849,1,8
1575929194,4665,4625
1575930010,1,0
1575932833,0,2
1575939841,5019,5174
1575943812,1,1
1575947116,1,0
1575948909,2,0
1575950713,2951,2981
1575954401,2,1
1575959711,1,0
1575961511,1821,1800
1575964232,2,0
1575965140,2,3
1575966943,1,0
1575970531,1,0
1575971416,4,0
1575972412,1749,1707
1575974113,1,0
1575975617,0,2
1575977478,78,57
1575983041,2656,2640
1575984743,1,1
1575984995,255,0
1575987611,2,0
1575988511,5,0
1575990989,6,21
1575993911,3358,3321
1575995393,2,2
1576002016,2,0
1576005148,3876,3852
1576006884,1,2
1576015441,4235,4239
1576015515,2,2
1576024210,0,255
1576026241,4854,4980
1576037479,2665,2680
1576040787,2,0
1576044319,2,0
1576047356,0,1
1576047841,1799,1783
1576051537,2,0
1576055135,0,4
1576058641,1478,1431
1576058715,7,0
1576062312,147,52
1576065915,2,1
1576069441,2295,2248
1576076222,0,3
1576078337,4,2
1576080241,3037,3035
1576081871,2,0
1576084282,1,0
1576086486,1,2
1576087514,7,0
1576091042,3711,3695
1576093511,0,256
1576097005,2,3
1576101841,4190,4181
1576105515,1,0
1576108273,1,4
1576108829,0,256
1576109119,2,0
1576112641,4912,5068
1576120299,4,3
1576123441,2817,2823
1576125383,2,0
1576127116,4,0
1576128378,0,2
1576130713,2,0
1576134310,1811,1800
1576138268,1,0
1576140070,1,0
1576141574,0,2
1576145041,1465,1412
1576145114,3,0
1576146610,0,510
1576148835,231,48
1576155907,2238,2203
1576159520,0,7
1576166712,2924,2920
1576170312,11,4
1576173912,2,0
1576177441,3389,3355
1576181290,1,3
1576184713,1,0
1576186606,0,12
1576188375,3785,3791
1576190797,2,1
1576191613,0,253
1576199192,4760,4855
1576209841,2543,2568
1576212638,0,1
1576220641,1632,1617
1576223621,0,3
1576228605,0,1
1576231441,1381,1353
1576231518,6,0
1576234796,1,0
1576234823,40,32
1576242241,1729,1687
1576245188,4,1
1576253075,2,0
1576253117,2402,2389
1576256138,0,2
1576260315,3,0
1576263917,2731,2714
1576267517,255,6
1576272393,0,11
1576274641,3352,3349
1576277449,2,0
1576281989,1,0
1576286858,0,2
1576291611,4275,4389
1576292715,1,0
1576296415,4,0
1576297298,1,3
1576300001,1761,1764
1576300640,2,0
1576303518,1,0
1576307713,2,0
1576310641,1441,1456
1576314354,1,1
1576317918,6,0
1576319412,2,3
1576321441,1195,1181
1576323180,76,35
1576328714,1,1
1576332241,1654,1624
1576336304,1,0
1576339177,3,4
1576343041,2318,2286
1576348587,2,0
1576350161,0,3
1576353841,2792,2768
1576353916,1,0
1576357518,0,9
1576360497,4,1
1576364714,3171,3182
1576369985,1,3
1576375441,4028,4139
1576380202,2,3
1576386241,1628,1611
1576389915,1,0
1576391412,3,2
1576393516,1,0
1576397041,1271,1272
1576397151,3,0
1576404320,8,0
1576407841,1092,1084
1576407918,43,23
1576411671,2,1
1576415908,0,256
1576418641,1242,1222
