DateTime,AddedIPs,RemovedIPs
1577055722,2,0
1577056322,15,0
1577056922,2,0
1577058122,3,0
1577058722,4,0
1577059322,1,0
1577059922,4,0
1577060522,4,0
1577061122,6,0
1577061722,7,0
1577062322,1,0
1577062922,6,0
1577063522,3,0
1577064122,8,1
1577064722,1,0
1577065322,7,0
1577065923,1,0
1577066522,3,0
1577067122,4,0
1577067722,12,1
1577068323,2,1
1577068922,1,0
1577069522,2,0
1577070122,2,1
1577070722,4,0
1577071922,1,0
1577072522,21,0
1577073122,8,0
1577073722,2,0
1577074322,2,0
1577074921,5,1
1577076122,10,0
1577077322,2,0
1577078522,4,0
1577079122,3,0
1577079722,9,0
1577080322,8,0
1577080922,4,0
1577082122,1,0
1577082123,3,0
1577082722,4,0
1577083322,1,0
1577083922,9,0
1577084522,3,0
1577085122,4,0
1577085722,2,0
1577086322,2,0
1577086922,4,0
1577087522,1,0
1577088121,17,0
1577088722,2,0
1577089322,2,0
1577089921,4,0
1577090522,4,0
1577091122,5,0
1577092922,11,0
1577093522,6,0
1577094122,3,0
1577094722,3,0
1577095322,1,0
1577096522,2,0
1577097722,1,0
1577098322,4,0
1577098922,3,0
1577099522,2,0
1577100122,3,0
1577100722,3,0
1577101922,4,0
1577102522,9,0
1577103722,3,0
1577104322,3,0
1577104923,5,0
1577106122,2,0
1577106722,6,0
1577107322,2,0
1577107921,3,0
1577108521,4,0
1577109721,2,0
1577110323,4,0
1577110922,3,0
1577111522,1,0
1577112122,1,0
1577112722,5,0
1577113322,1,1
1577113922,4,0
1577114522,2,0
1577115122,1,0
1577115721,4,0
1577116923,2,0
1577117522,4,0
1577118122,3,0
1577119922,6,0
1577120522,4,0
1577121722,4,0
1577122922,5,0
1577123522,1,0
1577124721,3,0
1577125322,5,0
1577125922,2,0
1577126522,3,0
1577127122,3,0
1577127722,3,0
1577128322,1,0
1577128922,1,0
1577129522,1,0
1577130122,2,0
1577130722,2,0
1577131322,3,0
1577132522,1,0
1577133122,2,0
1577133722,0,1
1577134322,3,0
1577135522,3,0
1577136122,4,0
1577136722,5,0
1577137322,5,0
1577137922,2,0
1577138917,1577,283
1577139721,2,0
1577140922,5,0
1577141522,4,0
1577142122,1,1
1577142722,1,0
1577143322,5,0
1577143922,2,1
1577144522,4,0
1577145121,3,0
1577145723,2,0
1577146321,3,0
1577146922,2,0
1577148122,2,0
1577148722,5,0
1577149322,3,0
1577149921,3,0
1577150522,4,0
1577151122,13,0
1577151722,5,0
1577152322,1,0
1577153523,1,0
1577154123,2,0
1577154722,1,0
1577155322,4,0
1577155922,1,0
1577156522,2,0
1577157122,2,0
1577157723,5,0
1577158322,2,0
1577159522,1,0
1577160722,1,0
1577161322,1,0
1577161922,1,0
1577163122,6,0
1577163722,4,0
1577164322,1,0
1577164922,1,0
1577165522,2,0
1577166122,3,0
1577166722,2,0
1577167322,3,0
1577168522,2,0
1577170322,1,1
1577170922,2,0
1577171522,1,0
1577172122,4,0
1577172722,2,0
1577173922,3,0
1577174522,1,0
1577175722,5,0
1577176322,3,0
1577176922,2,0
1577178122,1,0
1577179322,3,0
1577179922,5,0
1577181723,2,0
1577182322,3,0
1577182922,3,0
1577183522,1,0
1577184723,5,0
1577185322,2,0
1577186522,3,0
1577187122,1,0
1577187722,2,1
1577188322,2,1
1577188922,2,0
1577189522,2,0
1577190122,1,0
1577190722,4,0
1577191322,6,0
1577191922,2,0
1577193122,3,0
1577193722,4,0
1577194322,5,0
1577194922,5,0
1577196122,2,0
1577197322,8,0
1577197922,1,0
1577198523,2,0
1577199122,5,0
1577199723,4,0
1577200922,3,0
1577203322,4,0
1577206322,3,0
1577206922,2,0
1577208723,1,0
1577209322,2,0
1577209922,2,0
1577211123,2,0
1577211722,4,0
1577212322,2,0
1577212922,1,0
1577213522,1,0
1577214122,1,0
1577215322,9,0
1577215922,4,0
1577216522,1,0
1577217722,17,0
1577218323,1,0
1577219522,4,0
1577220122,2,0
1577220722,4,1
1577221322,1,0
1577222522,4,1
1577223722,3,0
1577224322,1,0
1577224922,8,0
1577225522,2,0
