DateTime,AddedIPs,RemovedIPs
1576467867,39,11
1576469778,26,13
1576471961,19,12
1576473860,8,7
1576475769,17,19
1576477935,17,23
1576480111,23,17
1576482023,28,40
1576484182,17,15
1576486334,19,26
1576488250,20,18
1576490178,23,18
1576492090,18,20
1576494028,16,750
1576495950,21,8
1576498121,327,0
1576500010,32,15
1576501934,22,14
1576503860,12,9
1576505782,13,16
1576507933,8,16
1576509876,12,11
1576511769,19,16
1576513686,42,13
1576515618,28,15
1576517560,21,18
1576519710,30,15
1576521610,14,11
1576523551,15,15
1576525450,11,19
1576527612,17,18
1576529543,9,10
1576531451,11,15
1576533387,8,14
1576535284,8,13
1576537209,11,13
1576539147,6,7
1576541061,298,0
1576542981,15,15
1576545166,11,15
1576547053,20,8
1576548993,27,13
1576550894,19,13
1576552818,25,14
1576554741,23,11
1576556660,24,13
1576558575,19,14
1576560491,14,17
1576562433,16,16
1576564334,11,8
1576566254,28,16
1576568183,15,19
1576570113,23,10
1576572023,10,15
1576574188,17,17
1576576107,15,9
1576578039,18,18
1576579940,15,11
1576581852,17,762
1576584040,434,0
1576585958,18,19
1576588107,18,15
1576590013,20,14
1576591950,11,19
1576593854,21,16
1576595776,21,17
1576597714,13,21
1576599617,21,16
1576601529,13,10
1576603460,28,9
1576605369,19,17
1576607286,24,14
1576609224,20,24
1576611133,23,25
1576613064,12,21
1576614968,25,18
1576617138,13,26
1576619051,14,24
1576620980,23,24
1576622888,14,21
1576624813,18,17
1576626729,31,14
1576628661,389,0
1576630567,20,14
1576632738,28,15
1576634654,25,13
1576636581,45,17
1576638756,28,15
1576640649,25,18
1576642822,35,20
1576644727,23,9
1576646662,14,8
1576648567,24,15
1576650746,34,15
1576652654,25,20
1576654585,29,30
1576656512,14,16
1576658427,22,17
1576660340,20,20
1576662251,24,24
1576664184,22,22
1576666089,22,20
1576668020,25,815
1576669930,22,21
1576671852,422,0
1576674034,17,11
1576675932,14,15
1576678101,19,15
1576680024,18,25
1576682180,16,25
1576684328,14,21
1576686267,10,21
1576688173,17,22
1576690108,8,14
1576692012,11,19
1576693951,20,13
1576696108,21,27
1576698008,24,23
1576700193,16,31
1576702094,15,11
1576704023,15,25
1576705932,13,17
1576707863,21,16
1576709767,12,23
1576711945,10,17
1576714122,395,2
1576716011,16,10
1576717949,12,8
1576719848,21,9
1576722014,24,25
1576723929,25,19
1576725866,22,18
1576727768,17,22
1576729689,20,18
1576731628,27,18
1576733541,14,13
1576735469,16,13
1576737371,17,14
1576739537,15,31
1576741450,17,16
1576743639,23,29
1576745529,22,12
1576747450,15,21
1576749417,17,23
1576751287,10,9
1576753216,14,977
1576755150,22,17
1576757053,534,0
1576758980,15,27
1576760895,17,17
1576762829,19,25
1576764986,22,21
1576767127,25,27
1576769061,21,28
1576770967,27,22
1576772898,23,23
1576774859,24,22
1576776747,14,21
1576778906,20,25
1576780825,19,33
1576782743,19,28
1576784665,17,24
1576786813,23,27
1576788725,14,20
1576790650,13,23
1576792568,19,22
1576794774,12,25
1576796662,21,18
1576798584,23,16
1576800491,476,0
1576802413,17,16
1576804343,18,17
1576806258,18,20
1576808176,19,17
1576810332,30,24
1576812248,19,25
1576814192,28,20
1576816087,20,22
1576818030,29,20
1576819929,15,16
1576822106,22,22
1576824010,23,27
1576825956,17,27
1576827847,17,24
1576830015,31,26
1576831927,17,17
1576833866,24,22
1576835765,24,22
1576837937,20,24
1576839873,15,793
1576841770,24,18
1576843939,466,0
1576845847,30,15
1576847780,22,14
1576849686,20,12
1576851604,10,21
1576853537,13,24
1576855450,18,19
1576857376,23,21
1576859283,10,23
1576861214,9,30
1576863145,11,12
1576865316,10,30
1576867218,10,25
1576869148,11,22
1576871046,15,19
1576872993,15,20
1576874888,9,31
1576877051,8,22
1576879222,19,23
1576881147,7,15
1576883063,14,15
1576884978,10,15
1576886888,424,0
1576888810,17,14
1576890744,19,10
1576892653,33,9
1576894583,22,24
1576896502,19,17
1576898406,16,20
1576900328,14,19
1576902256,17,17
1576904165,30,30
1576906088,16,12
1576908024,17,25
1576909932,13,24
1576911854,15,21
1576914023,21,23
1576915936,14,17
1576917851,11,29
1576919788,19,22
1576921694,21,16
1576923618,20,19
1576925531,13,14
1576927448,15,921
1576929376,29,26
1576931285,485,0
1576933223,22,21
1576935151,13,21
1576937065,14,11
1576938978,22,15
1576941147,26,27
1576943047,16,24
1576945209,16,25
1576947128,11,21
1576949059,16,16
1576950968,20,29
1576952885,14,16
1576954833,21,28
1576956729,11,25
1576958658,18,25
1576960581,15,20
1576962515,13,26
1576964440,9,22
1576966332,18,24
1576968260,15,17
1576970425,25,16
1576972329,13,24
1576974262,446,0
1576976167,14,16
1576978101,16,20
1576980008,20,14
1576981951,58,11
1576984123,20,25
1576986013,19,24
1576987932,17,19
1576989864,15,17
1576991784,18,17
1576993687,23,16
1576995619,32,19
1576997530,16,23
1576999447,10,21
1577001379,21,28
