DateTime,AddedIPs,RemovedIPs
1576774805,378,273
1576775705,105,144
1576777505,473,264
1576778404,159,146
1576779305,102,155
1576780205,161,187
1576782005,329,246
1576783805,233,309
1576785605,1137,497
1576787405,404,515
1576789205,405,418
1576790105,133,197
1576791005,272,379
1576792805,306,440
1576793706,414,285
1576795505,505,501
1576796405,228,249
1576798204,446,408
1576800005,387,451
1576800905,141,241
1576801804,228,298
1576803606,412,368
1576805404,489,510
1576807205,376,740
1576808105,281,507
1576809905,498,594
1576810805,213,232
1576811705,189,625
1576813504,384,682
1576815305,497,484
1576817105,355,637
1576818005,238,294
1576819806,434,452
1576821605,380,501
1576822506,316,269
1576824307,382,557
1576825207,292,306
1576827006,373,583
1576828807,300,533
1576830607,474,572
1576832407,365,435
1576834207,437,375
1576836007,397,571
1576837806,419,325
1576839608,470,438
1576840508,862,349
1576841408,658,184
1576843208,992,601
1576844107,407,146
1576845007,381,214
1576846808,576,429
1576847708,199,71
1576848607,210,134
1576850408,506,248
1576851308,277,171
1576852207,335,199
1576854008,499,280
1576854909,293,131
1576856709,572,355
1576857606,230,203
1576858507,260,144
1576860306,370,211
1576861207,159,203
1576862106,213,186
1576863906,396,352
1576864807,244,570
1576865707,277,534
1576866606,242,472
1576868407,413,775
1576870206,476,532
1576872006,339,538
1576872907,253,299
1576873807,225,244
1576875606,413,620
1576876506,166,376
1576878307,665,771
1576879208,307,213
1576880106,124,245
1576881906,684,848
1576882806,345,433
1576884606,835,2366
1576886408,1120,1386
1576888207,851,393
1576890007,894,1131
1576891807,604,825
1576893607,585,262
1576894508,265,79
1576895408,304,45
1576897208,437,219
1576898109,417,156
1576899008,335,134
1576900808,619,402
1576902608,494,377
1576904409,372,586
1576906209,688,866
1576908008,499,756
1576909808,878,635
1576911608,462,381
1576912509,265,282
1576914309,550,864
1576915208,248,477
1576916108,331,324
1576917008,219,305
1576918808,385,1288
1576919709,223,618
1576920608,263,252
1576922408,335,619
1576923308,149,370
1576925107,240,603
1576926908,370,530
1576928709,277,406
1576929608,159,360
1576930509,145,195
1576932308,400,196
1576933210,136,110
