DateTime,Entries,UniqueIPs
1576774805,7263,7263
1576775705,7224,7224
1576777505,7433,7433
1576778404,7446,7446
1576779305,7393,7393
1576780205,7367,7367
1576782005,7450,7450
1576783805,7374,7374
1576785605,8014,8014
1576787405,7903,7903
1576789205,7890,7890
1576790105,7826,7826
1576791005,7719,7719
1576792805,7585,7585
1576793706,7714,7714
1576795505,7718,7718
1576796405,7697,7697
1576798204,7735,7735
1576800005,7671,7671
1576800905,7571,7571
1576801804,7501,7501
1576803606,7545,7545
1576805404,7524,7524
1576807205,7160,7160
1576808105,6934,6934
1576809905,6838,6838
1576810805,6819,6819
1576811705,6383,6383
1576813504,6085,6085
1576815305,6098,6098
1576817105,5816,5816
1576818005,5760,5760
1576819806,5742,5742
1576821605,5621,5621
1576822506,5668,5668
1576824307,5493,5493
1576825207,5479,5479
1576827006,5269,5269
1576828807,5036,5036
1576830607,4938,4938
1576832407,4868,4868
1576834207,4930,4930
1576836007,4756,4756
1576837806,4850,4850
1576839608,4882,4882
1576840508,5395,5395
1576841408,5869,5869
1576843208,6260,6260
1576844107,6521,6521
1576845007,6688,6688
1576846808,6835,6835
1576847708,6963,6963
1576848607,7039,7039
1576850408,7297,7297
1576851308,7403,7403
1576852207,7539,7539
1576854008,7758,7758
1576854909,7920,7920
1576856709,8137,8137
1576857606,8164,8164
1576858507,8280,8280
1576860306,8439,8439
1576861207,8395,8395
1576862106,8422,8422
1576863906,8466,8466
1576864807,8140,8140
1576865707,7883,7883
1576866606,7653,7653
1576868407,7291,7291
1576870206,7235,7235
1576872006,7036,7036
1576872907,6990,6990
1576873807,6971,6971
1576875606,6764,6764
1576876506,6554,6554
1576878307,6448,6448
1576879208,6542,6542
1576880106,6421,6421
1576881906,6257,6257
1576882806,6169,6169
1576884606,4638,4638
1576886408,4372,4372
1576888207,4830,4830
1576890007,4593,4593
1576891807,4372,4372
1576893607,4695,4695
1576894508,4881,4881
1576895408,5140,5140
1576897208,5358,5358
1576898109,5619,5619
1576899008,5820,5820
1576900808,6037,6037
1576902608,6154,6154
1576904409,5940,5940
1576906209,5762,5762
1576908008,5505,5505
1576909808,5748,5748
1576911608,5829,5829
1576912509,5812,5812
1576914309,5498,5498
1576915208,5269,5269
1576916108,5276,5276
1576917008,5190,5190
1576918808,4287,4287
1576919709,3892,3892
1576920608,3903,3903
1576922408,3619,3619
1576923308,3398,3398
1576925107,3035,3035
1576926908,2875,2875
1576928709,2746,2746
1576929608,2545,2545
1576930509,2495,2495
1576932308,2699,2699
1576933210,2725,2725
1576934109,2832,2832
1576935910,2884,2884
1576937708,2899,2899
1576938608,1472,1472
1576940409,2987,2987
1576941309,3012,3012
1576942208,3116,3116
1576944008,3262,3262
1576945808,3271,3271
1576947609,3345,3345
1576949408,3379,3379
1576951208,3455,3455
1576953008,3401,3401
1576954808,3544,3544
1576956608,3536,3536
1576958408,3627,3627
1576960208,3647,3647
1576962009,3643,3643
1576962909,3656,3656
1576964708,3599,3599
1576965606,3572,3572
1576966508,3563,3563
1576968308,3476,3476
1576969207,3731,3731
1576971008,4263,4263
1576972808,4497,4497
1576973707,4616,4616
1576974607,4682,4682
1576976406,4821,4821
1576977306,4906,4906
1576978206,4921,4921
1576980006,5140,5140
1576980906,5279,5279
1576982706,5332,5332
1576984505,5395,5395
1576986306,5578,5578
1576987206,5652,5652
1576988105,5737,5737
1576989906,6112,6112
1576990807,6166,6166
1576991707,6155,6155
1576993507,5902,5902
1576994407,5682,5682
1576995307,5498,5498
1576997106,5471,5471
1576998006,5397,5397
1576998907,5370,5370
1577000705,5270,5270
1577001607,5309,5309
1577002506,5290,5290
1577004306,5080,5080
1577005207,4899,4899
1577006106,4813,4813
1577007907,4791,4791
1577008807,4707,4707
1577009707,4607,4607
1577011506,4381,4381
1577012407,4275,4275
1577014207,3958,3958
1577016008,3864,3864
1577016906,3835,3835
1577018707,3738,3738
1577019607,3750,3750
1577020507,3633,3633
1577022307,3460,3460
1577024107,3364,3364
1577025905,3208,3208
1577026806,3159,3159
1577027706,3157,3157
1577029506,3205,3205
1577031305,3221,3221
1577033106,3331,3331
1577034007,3332,3332
1577034907,3374,3374
1577036706,3508,3508
1577037606,3554,3554
1577038507,3614,3614
1577039406,3629,3629
1577041206,3671,3671
1577043007,3701,3701
1577044807,3766,3766
1577045706,3805,3805
1577047506,3802,3802
1577048406,3803,3803
1577049306,3897,3897
1577051106,3935,3935
1577052006,4171,4171
1577052907,4217,4217
1577054706,4401,4401
1577055607,4527,4527
1577056507,4747,4747
1577058307,4823,4823
1577059206,4920,4920
1577060107,5065,5065
1577061908,5265,5265
1577062807,5357,5357
1577063707,5475,5475
1577065506,5721,5721
1577066405,5800,5800
1577067305,6028,6028
1577069105,6209,6209
1577070005,6306,6306
1577070905,6461,6461
1577072705,6690,6690
1577073605,6799,6799
1577075405,7021,7021
1577077205,7300,7300
1577078106,7501,7501
1577079904,7546,7546
1577080804,7547,7547
1577081705,7609,7609
1577083505,7449,7449
1577084405,7480,7480
1577085304,7570,7570
1577087105,7460,7460
1577088005,7319,7319
1577088905,7378,7378
1577090704,7372,7372
1577091605,7314,7314
1577092505,7244,7244
1577094304,7112,7112
1577095205,7078,7078
1577096105,6979,6979
1577097904,6893,6893
1577098805,6730,6730
1577099705,6689,6689
1577101505,6613,6613
1577102404,6638,6638
1577103305,6624,6624
1577105104,6466,6466
1577106004,6375,6375
1577106905,6396,6396
1577108705,6566,6566
1577109605,6482,6482
1577110504,6508,6508
1577112305,6432,6432
1577113205,6520,6520
1577114105,6522,6522
1577115905,6568,6568
1577116805,6565,6565
1577117705,6589,6589
1577119505,6708,6708
1577120405,6611,6611
1577121304,6604,6604
1577123105,6638,6638
1577124004,6650,6650
1577124905,6864,6864
1577126705,7273,7273
1577127604,7355,7355
1577129406,7458,7458
1577131205,7448,7448
1577132104,7457,7457
1577133905,7621,7621
1577134805,7469,7469
1577136605,7207,7207
1577138405,7169,7169
1577139304,7142,7142
1577141105,7286,7286
1577142005,7290,7290
1577142906,7275,7275
1577144706,7135,7135
1577145605,7059,7059
1577146504,7005,7005
1577148305,7080,7080
1577149204,7212,7212
1577150105,7212,7212
1577151905,7184,7184
1577152805,7150,7150
1577153706,6787,6787
1577155505,6079,6079
1577156405,5979,5979
1577158206,5964,5964
1577160005,6025,6025
1577161805,5856,5856
1577163605,5963,5963
1577165405,6136,6136
1577167205,6203,6203
1577168105,6171,6171
1577169905,5674,5674
1577170805,5642,5642
1577172605,5637,5637
1577174404,5848,5848
1577175306,5845,5845
1577177105,5898,5898
1577178005,5828,5828
1577178906,5931,5931
1577180705,6053,6053
1577181605,6146,6146
1577183405,6152,6152
1577185204,6634,6634
1577186106,6612,6612
1577187905,6769,6769
1577188804,6806,6806
1577190604,6849,6849
1577192405,6816,6816
1577193305,6846,6846
1577195106,5638,5638
1577196006,5655,5655
1577196906,5821,5821
1577198705,5781,5781
1577199605,5725,5725
1577200505,5652,5652
1577202305,5774,5774
1577203204,5757,5757
1577204105,5715,5715
1577205905,5828,5828
1577206806,5565,5565
1577207707,5644,5644
1577209507,5576,5576
1577211307,5540,5540
1577213107,5760,5760
1577214005,5767,5767
1577215807,5905,5905
1577217607,6263,6263
1577219407,6751,6751
1577221207,7492,7492
1577222105,7712,7712
1577223906,8047,8047
1577224806,8256,8256
1577225706,8271,8271
1577227507,8353,8353
1577228407,8391,8391
1577229307,8464,8464
1577231107,8511,8511
1577232007,8693,8693
1577233807,8765,8765
1577235607,8747,8747
1577237408,8920,8920
1577239208,9085,9085
1577240106,9104,9104
1577241907,8920,8920
1577242807,8760,8760
1577243706,8772,8772
1577245506,8438,8438
1577246408,8265,8265
1577248207,7972,7972
1577250006,7932,7932
1577250908,7975,7975
1577252707,8040,8040
1577253607,7936,7936
1577254506,8022,8022
1577256307,8001,8001
1577257207,7874,7874
1577258107,7887,7887
1577259906,7897,7897
1577260807,7895,7895
1577261707,7896,7896
1577263507,7811,7811
1577264407,7821,7821
1577265307,7835,7835
1577267108,7810,7810
1577268906,7742,7742
1577270707,7722,7722
1577271607,7861,7861
1577272507,7997,7997
1577274306,8079,8079
1577275206,8212,8212
1577276106,8090,8090
1577277906,8327,8327
1577278805,8389,8389
1577279707,8368,8368
1577281505,8469,8469
1577282405,8584,8584
1577283305,8550,8550
1577285105,8594,8594
1577286005,8711,8711
1577286905,8796,8796
1577288705,8970,8970
1577289605,8947,8947
1577290505,8998,8998
1577292304,8974,8974
1577293205,9068,9068
1577295006,9136,9136
1577296805,9143,9143
1577298604,9159,9159
1577300404,9154,9154
1577302204,9161,9161
1577304005,9322,9322
1577304904,9349,9349
1577306704,9410,9410
1577307604,9694,9694
1577309405,9729,9729
1577311205,9592,9592
1577312104,9555,9555
1577313905,9618,9618
1577314804,9603,9603
1577315705,9748,9748
1577317505,9802,9802
1577318405,9852,9852
1577319305,10167,10167
1577321105,10452,10452
1577322004,10734,10734
1577322904,10810,10810
1577324705,11002,11002
1577325605,11059,11059
1577326505,10889,10889
1577328305,10989,10989
1577329205,10953,10953
1577331004,11068,11068
1577332805,11234,11234
1577334605,11368,11368
1577336405,11498,11498
1577337305,11593,11593
1577339104,11723,11723
1577340004,11824,11824
1577341805,11958,11958
1577343604,12219,12219
1577344504,12392,12392
1577346304,12275,12275
1577347204,12218,12218
1577348103,12123,12123
1577349904,12053,12053
1577350803,11975,11975
1577351704,11561,11561
1577353504,11139,11139
1577354404,10999,10999
1577355302,10903,10903
1577357103,10678,10678
1577358003,10525,10525
1577358903,10380,10380
1577360703,9850,9850
1577361603,9613,9613
1577363403,8563,8563
1577365202,7575,7575
1577366102,7169,7169
1577367902,6690,6690
1577368802,6516,6516
1577370602,6197,6197
1577372402,5795,5795
1577374201,6264,6264
1577376001,6460,6460
1577377801,6567,6567
1577379601,6770,6770
1577380502,6871,6871
1577382302,8518,8518
1577383201,8721,8721
1577384101,8999,8999
1577385901,9373,9373
1577386802,9498,9498
1577387702,9358,9358
1577389502,9363,9363
1577390402,9420,9420
1577392202,9501,9501
1577394002,9529,9529
1577395802,9708,9708
1577397602,9909,9909
1577398502,10003,10003
1577400302,10320,10320
1577401203,10392,10392
1577402103,10467,10467
1577403903,11563,11563
1577404803,11941,11941
1577406603,12478,12478
1577408403,13130,13130
1577409304,13342,13342
1577411103,13723,13723
1577412003,13895,13895
1577412904,14007,14007
1577414703,14361,14361
1577415603,14491,14491
1577416503,14645,14645
1577418304,14312,14312
1577419204,14171,14171
1577420103,14307,14307
1577421904,14515,14515
1577422803,14565,14565
1577423704,14593,14593
1577425503,13255,13255
1577426404,13317,13317
1577427304,13255,13255
1577429104,13020,13020
1577430005,13032,13032
1577430903,13088,13088
1577432704,13377,13377
1577433604,13123,13123
1577434504,13059,13059
1577436305,12948,12948
1577437204,12943,12943
1577438105,12930,12930
1577439904,12807,12807
1577440804,12766,12766
1577441704,12643,12643
1577443504,11630,11630
1577444405,11444,11444
1577445305,11178,11178
