DateTime,Entries,UniqueIPs
1575122435,4092,4092
1575126034,4051,4051
1575130234,3951,3951
1575135034,3916,3916
1575138634,3884,3884
1575142234,3897,3897
1575145833,3913,3913
1575149434,3930,3930
1575153033,3921,3921
1575156634,3920,3920
1575163834,3969,3969
1575168634,3996,3996
1575174034,3858,3858
1575178834,3911,3911
1575181833,3982,3982
1575185435,4066,4066
1575189033,4169,4169
1575193235,4206,4206
1575198635,4251,4251
1575203435,4240,4240
1575207033,4257,4257
1575210635,4257,4257
1575214233,4229,4229
1575217836,4202,4202
1575220835,4232,4232
1575224435,4259,4259
1575228034,4304,4304
1575232237,4330,4330
1575235834,4281,4281
1575238836,4290,4290
1575246033,4346,4346
1575250835,4355,4355
1575254433,4327,4327
1575257435,4313,4313
1575261034,4317,4317
1575264635,4374,4374
1575271833,4387,4387
1575275436,4412,4412
1575279636,4447,4447
1575284436,4443,4443
1575288035,4460,4460
1575292236,4431,4431
1575297035,4396,4396
1575300635,4461,4461
1575304836,4381,4381
1575309637,4411,4411
1575313836,4451,4451
1575319237,4484,4484
1575322835,4514,4514
1575327637,4556,4556
1575331836,4557,4557
1575337237,4529,4529
1575342636,4440,4440
1575348036,4393,4393
1575356436,4323,4323
1575360034,4314,4314
1575367834,4298,4298
1575372647,4329,4329
1575376837,4251,4251
1575382236,4146,4146
1575387635,4091,4091
1575390634,4089,4089
1575394235,4027,4027
1575397834,4009,4009
1575404433,3974,3974
1575408635,3961,3961
1575415234,3987,3987
1575419434,4032,4032
1575423033,4025,4025
1575426635,4033,4033
1575430233,4014,4014
1575433836,3994,3994
1575437433,3992,3992
1575448233,4044,4044
1575451835,4075,4075
1575456035,4126,4126
1575461435,4120,4120
1575464433,4091,4091
1575468036,4089,4089
1575471634,4110,4110
1575478834,4043,4043
1575482435,4036,4036
1575489633,4052,4052
1575493234,4079,4079
1575496233,4104,4104
1575503433,4121,4121
1575507035,4214,4214
1575511836,4201,4201
1575517234,4181,4181
1575522635,4150,4150
1575531035,4158,4158
1575534635,4236,4236
1575539435,4270,4270
1575545443,4286,4286
1575549636,4266,4266
1575554436,4251,4251
1575558033,4269,4269
1575565234,4216,4216
1575569436,4226,4226
1575574235,4256,4256
1575585034,4260,4260
1575588636,4288,4288
1575592835,4325,4325
1575596433,4336,4336
1575600636,4335,4335
1575605436,4265,4265
1575610234,4229,4229
1575617434,4216,4216
1575621635,4167,4167
1575627634,4178,4178
1575635433,4130,4130
1575639034,4097,4097
1575642634,4033,4033
1575648634,3906,3906
1575653434,3900,3900
