DateTime,AddedIPs,RemovedIPs
1575207025,12,0
1575210626,10,0
1575214225,13,20
1575217827,10,0
1575220826,9,9
1575224427,8,0
1575228025,15,21
1575232228,11,24
1575235825,10,0
1575238827,12,14
1575246024,13,20
1575250827,13,14
1575254425,9,0
1575257427,11,6
1575261025,9,0
1575264626,11,12
1575271824,14,33
1575275427,10,0
1575279627,11,13
1575284427,13,28
1575288025,12,0
1575292227,15,19
1575297026,11,5
1575300626,14,0
1575304826,13,31
1575309628,13,12
1575313827,10,11
1575319227,10,0
1575322826,14,24
1575327627,12,16
1575331827,9,13
1575337227,9,0
1575342627,8,32
1575348027,14,11
1575356427,12,27
1575360025,7,0
1575367825,11,11
1575372632,13,41
1575376827,16,0
1575382227,8,13
1575387627,13,18
1575390626,12,0
1575394227,13,0
1575397826,13,15
1575404425,10,23
1575408627,13,23
1575415226,9,0
1575419426,12,18
1575423025,14,0
1575426626,12,11
1575430225,12,0
1575433827,11,14
1575437425,13,12
1575448225,11,26
1575451827,10,0
1575456027,10,10
1575461427,10,12
1575464425,11,0
1575468027,8,14
1575471626,10,12
1575478826,12,21
1575482427,10,14
1575489625,8,14
1575493227,6,6
1575496225,15,0
1575503425,12,20
1575507027,12,0
1575511827,9,39
1575517226,13,8
1575522627,12,10
1575531027,13,13
1575534626,16,0
1575539427,12,23
1575545428,11,11
1575549627,12,21
1575554427,13,10
1575558025,14,0
1575565225,12,22
1575569427,17,12
1575574226,8,13
1575585025,15,23
1575588627,13,0
1575592826,11,22
1575596425,6,0
1575600627,13,13
1575605427,13,13
1575610226,12,11
1575617426,10,0
1575621627,14,26
1575627626,12,14
1575635425,13,12
1575639026,11,0
1575642626,7,10
1575648626,17,23
1575653427,15,14
1575657026,11,0
1575660626,13,15
1575664232,12,10
1575671427,12,15
1575674426,12,0
1575681625,13,7
1575686427,8,26
1575691226,12,12
1575694826,13,13
1575698426,8,0
1575702025,13,14
1575705626,11,12
1575709226,12,0
1575712826,10,10
1575716425,10,9
1575720026,16,0
1575723625,0,12
1575727827,8,25
1575732626,7,0
1575735625,9,0
1575739827,14,30
1575747025,8,20
1575750627,12,0
1575754225,17,0
1575757826,13,13
1575761425,13,8
1575765026,14,9
1575768625,12,15
1575772826,13,9
1575777627,10,12
1575784827,15,10
1575789027,13,35
1575794427,11,12
1575799826,11,11
1575804628,12,11
1575808826,13,14
1575812425,12,0
1575818427,13,7
1575822627,9,19
1575826827,13,11
1575830425,15,0
1575835226,14,12
1575838825,9,14
1575843027,10,25
1575847827,14,9
1575851424,9,11
1575855026,10,0
1575858626,12,14
1575865826,11,18
1575869424,12,12
1575876626,11,12
1575880225,11,14
1575883827,12,10
1575891025,9,12
1575894626,14,13
1575898225,13,0
1575901826,10,25
1575905425,11,0
1575910227,10,22
1575914427,13,27
1575918026,13,0
1575925225,10,23
1575928827,13,0
1575933027,11,13
1575941427,12,31
1575945631,12,10
1575951027,10,9
1575956427,11,13
1575962427,12,11
1575967227,14,24
1575970826,9,0
1575977431,13,12
1575981627,10,13
1575987027,11,21
1575992427,11,15
1575997227,13,13
1576001427,13,23
1576007427,11,0
1576012228,13,11
1576017627,14,12
1576021225,12,0
1576026627,12,13
1576032628,9,11
1576038027,0,19
1576042827,15,12
1576054228,11,11
1576059628,14,23
1576065026,13,14
1576069830,13,12
1576075227,13,13
1576080627,0,9
1576085427,12,12
1576089025,14,0
1576093827,14,24
1576098626,14,14
1576102225,12,0
1576105229,13,0
1576112425,10,26
1576117227,12,14
1576126826,12,9
1576130425,9,0
1576134028,8,15
1576143026,0,13
1576146625,10,0
1576150228,11,18
1576153825,11,12
1576157427,11,0
1576161025,12,10
1576168225,17,0
1576171827,11,13
1576174825,15,13
1576182025,8,12
1576185626,12,11
1576189225,0,21
1576193426,12,13
1576197626,9,14
1576202426,14,0
1576209625,9,0
1576213227,13,6
1576217427,11,20
1576222227,14,0
1576226427,16,0
1576230025,13,0
1576233627,12,20
1576236625,10,14
1576240226,11,0
1576243825,12,28
1576247426,10,0
1576252227,9,26
1576256427,16,12
1576260025,15,0
1576263627,11,13
1576267226,10,0
1576274425,9,9
1576278027,13,11
1576281628,9,0
1576288825,11,24
1576296027,11,14
1576300226,15,20
1576305628,10,11
1576311027,12,12
1576316427,14,24
1576320026,15,0
1576323027,15,11
1576330225,13,31
1576333826,10,13
1576337426,12,0
1576341040,9,0
1576344625,10,10
1576348226,6,23
1576352427,8,26
1576357227,8,0
1576364426,11,27
1576367427,13,0
1576371627,11,6
1576375232,11,0
1576378225,13,12
1576381226,7,0
1576385427,9,14
1576389627,0,15
1576393827,15,14
1576398639,10,12
1576405826,14,27
1576412429,13,14
1576416026,12,0
1576419626,10,13
1576423226,9,9
1576426826,7,10
1576431028,10,15
1576437627,8,11
1576445429,12,7
1576449027,11,8
1576452025,13,9
1576456234,11,13
1576459825,12,0
1576463428,12,24
1576467628,12,22
1576473037,13,0
1576476028,12,0
1576479626,13,11
1576486825,9,14
1576491027,12,9
1576497028,14,14
1576501826,7,21
1576506627,12,11
1576510225,6,13
1576513827,8,11
1576516826,13,0
1576520426,12,0
1576525827,11,19
1576533026,13,12
1576537227,9,20
1576541427,9,0
1576546829,10,19
1576550426,16,14
1576555827,12,11
1576558826,10,0
1576562427,9,7
1576566628,13,20
1576570827,13,11
1576575027,14,0
1576578626,11,0
1576582230,9,15
1576585826,7,12
1576590027,14,7
1576595427,14,20
1576600827,11,8
1576606227,11,26
1576609825,14,0
1576614027,12,10
1576618827,12,10
1576623627,14,0
1576627226,8,12
1576631427,12,12
1576637427,11,25
1576642829,11,12
1576647627,12,22
1576652427,15,0
1576656025,13,14
1576659627,10,0
1576663226,10,25
1576670425,11,21
1576675827,14,11
1576679426,11,0
1576683027,11,12
1576686626,8,11
1576690236,12,10
1576696825,12,18
1576704025,11,13
1576711825,11,13
1576715426,13,28
1576719025,9,0
1576722627,11,9
1576726225,11,11
1576729826,12,0
1576732824,14,12
1576737027,12,13
1576742427,13,25
1576746627,14,12
1576752027,12,10
1576755028,13,0
1576758627,12,11
1576762225,8,0
1576765826,14,12
1576770026,10,36
1576774227,9,14
1576782026,13,0
1576785627,7,12
1576789225,12,0
1576792827,12,14
1576796428,13,0
1576800027,12,10
1576803625,11,11
1576806627,14,9
1576810827,10,23
1576814426,12,0
1576818026,10,12
1576821626,9,12
1576833028,11,25
1576836026,10,10
1576839629,12,0
1576843226,9,25
1576850425,11,22
1576854028,12,11
1576857626,10,0
1576861227,11,13
1576864827,12,11
1576868430,12,8
1576872026,0,10
1576879226,9,23
1576882827,9,14
1576887027,13,20
1576891826,13,10
1576899025,10,0
1576902627,12,21
1576905625,10,10
1576910427,0,11
1576922428,0,14
1576926026,13,9
1576929627,0,13
1576933225,0,12
1576936829,13,0
1576940425,0,11
1576944027,11,29
1576947025,10,0
1576951227,0,23
1576958426,12,0
1576961427,0,14
1576965627,13,9
1576969236,12,12
1576972232,13,0
1576976432,14,12
1576980031,11,0
1576983632,10,12
1576987229,11,13
1576990834,12,15
1576994432,8,0
1576998034,17,0
1577001029,12,0
1577005832,9,0
1577011232,10,16
1577014231,12,0
1577017831,9,0
1577021431,14,10
1577025030,11,0
1577028630,12,8
1577032233,13,11
1577036433,14,0
1577041232,10,11
1577044831,10,0
1577048431,12,8
1577052632,6,13
1577057432,8,18
1577061030,11,0
1577065235,8,26
1577070636,10,10
1577073630,9,9
1577077233,8,0
1577080831,11,7
1577084428,11,12
1577088028,12,18
1577095227,7,12
1577098830,9,0
1577102428,8,22
1577106632,9,18
1577111435,11,11
1577114431,13,9
1577118629,12,13
1577122226,12,0
1577125839,7,0
1577129428,10,11
1577132429,7,17
1577136027,11,10
1577140233,9,7
1577147428,11,26
1577151034,8,0
1577157629,11,14
1577161232,11,17
1577164827,10,8
1577168428,0,8
1577172031,10,10
1577179828,13,13
1577183433,12,10
1577186431,13,10
1577190031,15,10
1577193032,9,0
1577197831,11,8
1577201433,9,22
1577204428,13,0
1577208031,13,0
1577212230,10,30
1577219430,10,12
1577222429,10,19
1577226034,12,0
1577230235,13,10
1577237429,9,15
1577240430,12,10
1577248227,12,25
1577251833,11,0
1577255432,9,12
1577262630,12,15
1577266232,11,0
1577269827,15,13
1577277028,8,31
1577280630,13,7
1577284227,15,0
1577287829,0,23
1577290828,11,14
1577298628,10,13
1577302227,13,9
1577305830,8,10
1577309427,0,14
1577313034,12,11
1577320227,11,12
1577323832,13,0
1577326827,0,12
1577331032,13,12
1577338231,12,24
1577341225,13,0
1577344829,0,15
1577349031,11,14
1577352627,12,11
1577356830,9,14
1577361629,13,6
1577365233,12,0
1577368832,12,12
1577376030,12,12
1577379633,14,13
1577383231,15,0
1577386828,11,11
1577390430,14,14
1577394029,14,0
1577397634,11,8
1577401232,10,9
1577404839,10,0
1577408430,9,14
1577412033,11,0
1577415632,11,13
1577419232,12,0
1577422830,8,8
1577430032,12,13
1577433028,0,11
1577436635,11,0
1577440832,12,22
1577444430,10,0
