DateTime,AddedIPs,RemovedIPs
1577104322,30,0
1577104923,28,29
1577105522,31,0
1577106122,15,22
1577107322,25,32
1577107921,14,35
1577108521,10,0
1577109721,32,59
1577110323,31,25
1577110922,25,30
1577111522,21,0
1577112122,7,0
1577112722,2,36
1577113322,33,22
1577113922,31,0
1577115122,27,20
1577115721,18,0
1577116923,34,61
1577117522,30,0
1577118122,31,0
1577118722,27,48
1577119322,34,0
1577119922,22,12
1577120522,29,23
1577121722,20,0
1577122322,22,25
1577122922,30,59
1577123522,37,0
1577124722,35,45
1577125322,42,27
1577125922,26,5
1577126522,23,13
1577127122,28,0
1577127722,32,0
1577128322,25,44
1577128922,25,29
1577129522,12,28
1577130122,35,0
1577130722,22,83
1577131322,34,0
1577131922,18,40
1577132522,27,0
1577133722,18,66
1577134322,32,0
1577135522,18,49
1577136122,28,23
1577136722,33,43
1577137322,21,0
1577137922,6,30
1577138522,27,58
1577139722,28,26
1577140922,15,18
1577141522,29,22
1577142122,17,71
1577142722,7,0
1577143322,23,13
1577143922,26,34
1577144522,34,30
1577145121,32,0
1577145723,28,23
1577146321,19,33
1577146922,26,31
1577148122,32,56
1577148722,23,60
1577149322,29,35
1577149921,37,33
1577150522,16,0
1577151122,36,34
1577151722,32,0
1577152322,14,22
1577153523,9,63
1577154123,18,26
1577154722,43,0
1577155322,24,25
1577156522,39,60
1577157122,38,34
1577157723,36,29
1577158322,27,25
1577158922,38,5
1577159522,32,0
1577160122,29,33
1577160722,21,4
1577161322,29,7
1577161922,14,0
1577162523,5,12
1577163122,36,0
1577163722,41,18
1577164322,11,0
1577164922,26,0
1577165522,30,52
1577166122,25,0
1577166722,27,42
1577167322,32,11
1577167922,24,0
1577168522,31,0
1577169722,28,43
1577170322,33,22
1577170922,28,61
1577171522,12,0
1577172122,37,0
1577172722,10,59
1577173322,3,0
1577173922,29,51
1577174522,30,0
1577175122,22,41
1577175722,25,16
1577176322,22,30
1577176922,26,31
1577178122,17,82
1577178723,8,0
1577179322,32,56
1577179922,24,0
1577180522,5,65
1577181723,19,29
1577182322,27,0
1577182922,28,0
1577183522,33,12
1577184122,20,0
1577184723,27,63
1577185322,6,0
1577186522,27,85
1577187122,19,26
1577187722,20,28
1577188322,30,11
1577188922,32,51
1577189522,31,0
1577190122,28,0
1577190722,30,25
1577191322,22,51
1577191922,28,27
1577192522,28,21
1577193722,12,22
1577194322,31,3
1577194922,36,0
1577196122,31,11
1577197322,35,57
1577198523,26,51
1577199122,34,2
1577199723,30,55
1577200322,26,20
1577200922,17,16
1577201522,4,0
1577202122,31,26
1577202722,19,25
1577203322,29,0
1577204522,20,51
1577205122,31,55
1577205722,26,28
1577206322,12,29
1577206922,21,15
1577208122,20,29
1577209322,32,26
1577209922,28,22
1577210522,31,26
1577211123,27,0
1577211722,29,39
1577212322,24,0
1577212922,30,65
1577213522,21,0
1577214122,20,64
1577214722,27,0
1577215322,26,33
1577215922,21,24
1577216522,14,35
