DateTime,Entries,UniqueIPs
1577092922,10288,11057
1577093522,10284,11053
1577094122,10289,11058
1577094722,10292,11063
1577095322,10290,11059
1577096522,10292,11060
1577097722,10291,11058
1577098322,10288,11054
1577098922,10287,11053
1577099522,10292,11059
1577100122,10296,11063
1577100722,10306,11073
1577101322,10308,11075
1577101922,10314,11081
1577102522,10322,11092
1577103722,10329,11099
1577104322,10335,11103
1577104923,10324,11092
1577105522,10327,11095
1577106122,10328,11097
1577107322,10317,11086
1577107921,10320,11089
1577108521,10299,11068
1577109721,10295,11064
1577110323,10298,11067
1577110922,10304,11073
1577111522,10305,11071
1577112122,10307,11073
1577113322,10305,11071
1577113922,10310,11077
1577115122,10302,11069
1577115721,10303,11070
1577116923,10305,11072
1577117522,10309,11075
1577118122,10311,11079
1577118722,10307,11075
1577119322,10311,11079
1577119922,10316,11084
1577120522,10319,11087
1577121722,10289,11056
1577122322,10285,11051
1577122922,10294,11060
1577123522,10299,11065
1577124722,10296,11062
1577125322,10311,11078
1577125922,10316,11080
1577126522,10318,11082
1577127122,10313,11077
1577127722,10323,11087
1577128322,10322,11086
1577128922,10322,11086
1577129522,10323,11087
1577130122,10330,11092
1577130722,10328,11090
1577131322,10336,11098
1577131922,10337,11099
1577132522,10335,11094
1577133722,10324,11083
1577134322,10326,11085
1577135522,10332,11091
1577136122,10327,11087
1577136722,10331,11090
1577137322,10337,11096
1577137922,10339,11098
1577138522,10337,11094
1577139722,10330,11086
1577140922,10331,11087
1577141522,10338,11093
1577142122,10337,11093
1577142722,10331,11086
1577143322,10338,11093
1577143922,10339,11093
1577144522,10341,11095
1577145121,10345,11101
1577145723,10348,11104
1577146321,10348,11104
1577146922,10353,11109
1577148122,10346,11106
1577148722,10348,11104
1577149322,10354,11110
1577149921,10368,11124
1577150522,10365,11121
1577151122,10381,11138
1577151722,10380,11132
1577152322,10383,11135
1577153523,10380,11132
1577154722,10379,11134
1577155322,10387,11143
1577156522,10388,11142
1577157122,10380,11133
1577157723,10384,11137
1577158322,10380,11133
1577158922,10381,11134
1577159522,10384,11138
1577160122,10376,11134
1577160722,10378,11136
1577161322,10370,11128
1577161922,10368,11128
1577163122,10372,11131
1577163722,10390,11146
1577164322,10394,11150
1577164922,10389,11145
1577165522,10384,11140
1577166122,10388,11144
1577166722,10388,11145
1577167322,10385,11141
1577167922,10384,11140
1577168522,10387,11140
1577169722,10386,11137
1577170322,10391,11143
1577170922,10396,11148
1577171522,10400,11153
1577172122,10411,11162
1577172722,10409,11159
1577173922,10408,11158
1577174522,10406,11155
1577175122,10405,11154
1577175722,10401,11151
1577176322,10402,11151
1577176922,10395,11143
1577178122,10386,11134
1577178723,10386,11136
1577179322,10380,11130
1577179922,10377,11128
1577180522,10378,11129
1577181723,10375,11124
1577182322,10380,11129
1577182922,10379,11128
1577183522,10379,11128
1577184122,10379,11130
1577184723,10374,11126
1577185322,10371,11122
1577186522,10371,11122
1577187122,10374,11125
1577187722,10367,11118
1577188322,10373,11124
1577188922,10377,11128
1577189522,10381,11132
1577190122,10379,11130
1577190722,10379,11129
1577191322,10360,11108
1577191922,10365,11113
1577192522,10366,11114
1577193722,10371,11119
1577194322,10375,11122
1577194922,10387,11134
1577196122,10380,11127
1577197322,10390,11137
1577198523,10390,11137
1577199122,10395,11142
1577199723,10381,11127
1577200322,10385,11133
1577200922,10387,11135
1577202122,10386,11135
1577202722,10388,11137
1577203322,10390,11139
1577204522,10383,11132
1577205122,10379,11128
1577205722,10378,11127
1577206322,10379,11128
1577206922,10380,11129
1577208122,10364,11112
1577209322,10360,11108
1577209922,10362,11110
1577210522,10365,11115
1577211123,10368,11119
1577211722,10373,11124
1577212322,10375,11128
1577212922,10373,11127
1577213522,10376,11130
1577214122,10380,11135
1577214722,10382,11137
1577215322,10388,11143
1577215922,10390,11145
1577216522,10376,11132
1577217122,10370,11126
1577217722,10383,11139
1577218323,10375,11126
1577218922,10376,11129
1577220122,10378,11132
1577220722,10384,11138
1577221322,10385,11140
1577222522,10389,11138
1577223122,10390,11141
1577223722,10389,11140
1577224322,10389,11139
1577224922,10388,11139
1577225522,10389,11140
1577226122,10387,11137
1577226722,10390,11140
1577227322,10392,11142
1577227922,10385,11135
1577228522,10374,11124
1577229722,10375,11125
1577230322,10377,11129
1577230922,10382,11134
1577231522,10371,11120
1577232124,10377,11126
1577232722,10374,11123
1577233322,10378,11127
1577233922,10382,11132
1577234522,10390,11141
1577235723,10382,11133
1577236322,10384,11135
1577236922,10388,11138
1577237522,10402,11152
