DateTime,AddedIPs,RemovedIPs
1577107321,3,9
1577107921,0,11
1577108521,6,11
1577109122,3,0
1577109721,3,20
1577110322,3,0
1577110922,5,0
1577111521,10,0
1577112122,3,2
1577112721,11,12
1577113321,0,13
1577113922,9,0
1577114522,4,17
1577115122,3,0
1577115721,22,0
1577116322,6,25
1577116922,5,7
1577117522,3,10
1577118122,13,0
1577118722,4,16
1577119322,1,0
1577119922,3,0
1577120522,12,8
1577121122,8,0
1577121722,8,14
1577122321,3,7
1577122922,5,11
1577123521,7,0
1577124123,7,10
1577124721,8,5
1577125322,7,6
1577125921,6,9
1577126522,7,4
1577127122,7,0
1577127722,6,13
1577128322,4,9
1577128922,5,14
1577130122,10,13
1577130722,4,29
1577131322,2,0
1577131922,4,0
1577132522,7,1
1577133122,6,17
1577133722,6,9
1577134322,1,0
1577135522,12,26
1577136121,5,15
1577136722,3,24
1577137322,12,0
1577137922,6,9
1577139122,7,21
1577139721,8,0
1577140922,15,7
1577141522,5,2
1577142122,5,16
1577142722,11,0
1577143322,14,3
1577143922,6,12
1577144522,6,13
1577145723,0,8
1577146321,8,10
1577146922,2,2
1577147522,1,16
1577148121,5,0
1577148722,6,13
1577149322,2,7
1577149921,7,8
1577150522,6,0
1577151122,6,18
1577151722,15,0
1577152321,9,17
1577152922,8,20
1577154122,19,22
1577154722,4,0
1577155322,0,21
1577155922,4,11
1577156522,5,0
1577157122,0,19
1577157723,0,5
1577158322,1,11
1577158922,1,19
1577160122,4,20
1577160721,1,0
1577161322,4,16
1577161922,6,0
1577162522,3,18
1577163122,13,0
1577163722,6,30
1577164922,7,0
1577165522,18,28
1577166122,5,0
1577166722,14,23
1577167922,8,24
1577169122,5,41
1577169722,7,0
1577170322,5,22
1577170922,0,41
1577172122,6,0
1577172722,5,31
1577173322,14,0
1577173922,8,28
1577174522,5,0
1577175122,0,11
1577175722,14,12
1577176322,1,18
1577176922,8,15
1577177522,2,7
1577178122,4,17
1577178723,1,0
1577179322,6,22
1577180522,3,15
1577181722,17,26
1577182322,7,0
1577182922,7,0
1577183521,12,16
1577184122,12,0
1577184722,15,27
1577185322,15,0
1577186522,15,36
1577187122,10,11
1577187722,2,12
1577188322,7,15
1577188921,16,5
1577189521,3,0
1577190122,6,7
1577190722,8,5
1577191322,2,9
1577191922,3,14
1577192522,3,11
1577193122,5,0
1577193721,3,14
1577194321,9,5
1577194922,15,0
1577196122,13,10
1577197322,16,12
1577197922,7,16
1577198522,5,8
1577199122,18,0
1577199722,7,0
1577200322,4,11
1577200922,11,1
1577202122,14,13
1577202722,8,15
1577203322,9,16
1577203922,6,5
1577204521,12,8
1577205122,12,8
1577205722,13,0
1577206922,12,23
1577208122,19,13
1577208723,8,11
1577209322,15,0
1577209922,0,10
1577210522,11,15
1577211122,10,17
1577212322,12,10
1577212922,16,11
1577213522,10,0
1577214722,7,19
1577215322,19,0
1577215922,6,16
1577216522,6,7
1577217722,29,1
1577218322,2,15
1577219522,17,11
1577220122,10,0
1577220722,15,16
1577221322,12,0
1577221922,17,13
1577223122,25,16
1577223722,9,0
1577224322,15,12
1577224922,23,22
1577225522,8,0
1577226122,4,28
1577226722,8,0
1577227322,13,3
1577227922,10,5
1577228522,0,8
1577229121,9,0
1577229722,16,10
1577230322,14,6
1577230922,12,14
1577232124,2,2
1577232722,10,16
1577233322,5,4
1577233922,31,5
1577234522,7,0
1577235122,7,6
1577235723,12,7
1577236322,11,7
1577236922,15,7
