DateTime,Entries,UniqueIPs
1577107321,2920,2979
1577107921,2909,2968
1577108521,2905,2963
1577109122,2908,2966
1577109721,2892,2949
1577110322,2895,2952
1577110922,2900,2957
1577111521,2909,2967
1577112122,2910,2968
1577112721,2909,2967
1577113321,2896,2954
1577113922,2905,2963
1577114522,2892,2950
1577115122,2895,2953
1577115721,2917,2975
1577116322,2900,2956
1577116922,2898,2954
1577117522,2892,2947
1577118122,2905,2960
1577118722,2893,2948
1577119322,2894,2949
1577119922,2897,2952
1577120522,2902,2956
1577121122,2910,2964
1577121722,2904,2958
1577122321,2900,2954
1577122922,2895,2948
1577123521,2902,2955
1577124123,2899,2952
1577124721,2903,2955
1577125322,2904,2956
1577125921,2901,2953
1577126522,2904,2956
1577127122,2911,2963
1577127722,2903,2956
1577128322,2899,2951
1577128922,2890,2942
1577130122,2889,2939
1577130722,2864,2914
1577131322,2866,2916
1577131922,2870,2920
1577132522,2876,2926
1577133122,2866,2915
1577133722,2863,2912
1577134322,2864,2913
1577135522,2850,2899
1577136121,2840,2889
1577136722,2820,2868
1577137322,2832,2880
1577137922,2829,2877
1577139122,2816,2863
1577139721,2823,2871
1577140922,2831,2879
1577141522,2833,2882
1577142122,2822,2871
1577142722,2832,2882
1577143322,2843,2893
1577143922,2837,2887
1577144522,2830,2880
1577145723,2822,2872
1577146321,2820,2870
1577146922,2820,2870
1577147522,2805,2855
1577148121,2809,2860
1577148722,2803,2853
1577149322,2798,2848
1577149921,2797,2847
1577150522,2803,2853
1577151122,2791,2841
1577151722,2805,2856
1577152321,2797,2848
1577152922,2785,2836
1577154122,2782,2833
1577154722,2786,2837
1577155322,2768,2816
1577155922,2761,2809
1577156522,2766,2814
1577157122,2749,2795
1577157723,2744,2790
1577158322,2734,2780
1577158922,2716,2762
1577160122,2700,2746
1577160721,2701,2747
1577161322,2689,2735
1577161922,2695,2741
1577162522,2681,2726
1577163122,2694,2739
1577163722,2670,2715
1577164922,2677,2722
1577165522,2667,2712
1577166122,2671,2717
1577166722,2659,2708
1577167922,2643,2692
1577169122,2611,2656
1577169722,2618,2663
1577170322,2603,2646
1577170922,2562,2605
1577172122,2568,2611
1577172722,2543,2585
1577173322,2556,2599
1577173922,2536,2579
1577174522,2541,2584
1577175122,2530,2573
1577175722,2532,2575
1577176322,2515,2558
1577176922,2505,2551
1577177522,2501,2546
1577178122,2488,2533
1577178723,2489,2534
1577179322,2473,2518
1577180522,2461,2506
1577181722,2453,2497
1577182322,2460,2504
1577182922,2467,2511
1577183521,2462,2507
1577184122,2473,2519
1577184722,2461,2507
1577185322,2476,2522
1577186522,2456,2501
1577187122,2455,2500
1577187722,2445,2490
1577188322,2437,2482
1577188921,2448,2493
1577189521,2451,2496
1577190122,2450,2495
1577190722,2453,2498
1577191322,2446,2491
1577191922,2435,2480
1577192522,2428,2472
1577193122,2433,2477
1577193721,2422,2466
1577194321,2425,2470
1577194922,2440,2485
1577196122,2446,2488
1577197322,2450,2492
1577197922,2442,2483
1577198522,2439,2480
1577199122,2454,2498
1577199722,2461,2505
1577200322,2454,2498
1577200922,2464,2508
1577202122,2466,2509
1577202722,2459,2502
1577203322,2452,2495
1577203922,2453,2496
1577204521,2457,2500
1577205122,2460,2504
1577205722,2473,2517
1577206922,2463,2506
1577208122,2469,2512
1577208723,2466,2509
1577209322,2481,2524
1577209922,2471,2514
1577210522,2467,2510
1577211122,2460,2503
1577212322,2463,2505
1577212922,2468,2510
1577213522,2478,2520
1577214722,2466,2508
1577215322,2485,2527
1577215922,2475,2517
1577216522,2474,2516
1577217722,2502,2544
1577218322,2490,2531
1577219522,2494,2537
1577220122,2504,2547
1577220722,2503,2546
1577221322,2515,2558
1577221922,2519,2562
1577223122,2527,2571
1577223722,2536,2580
1577224322,2540,2583
1577224922,2542,2584
1577225522,2550,2592
1577226122,2527,2568
1577226722,2534,2576
1577227322,2545,2586
1577227922,2549,2591
1577228522,2541,2583
1577229121,2550,2592
1577229722,2556,2598
1577230322,2563,2606
1577230922,2562,2604
1577232124,2562,2604
1577232722,2556,2598
1577233322,2557,2599
1577233922,2583,2625
1577234522,2590,2632
1577235122,2591,2633
1577235723,2595,2638
1577236322,2599,2642
1577236922,2606,2650
1577237522,2621,2667
1577238122,2608,2654
1577238722,2609,2657
1577239322,2598,2646
1577239922,2618,2667
1577240522,2612,2661
1577241122,2615,2668
1577241722,2607,2659
1577242322,2616,2668
1577242922,2625,2679
1577243522,2633,2687
1577244122,2640,2694
1577244722,2648,2702
1577245322,2652,2706
1577245922,2644,2698
1577247122,2649,2702
1577247722,2650,2703
1577248322,2649,2702
1577248922,2655,2709
1577250122,2639,2694
1577250722,2643,2698
1577251322,2640,2696
1577251922,2654,2710
1577252522,2640,2696
1577253122,2664,2720
1577253722,2666,2722
1577254322,2669,2725
1577254922,2666,2722
1577255521,2665,2721
1577256722,2663,2718
1577257321,2672,2727
1577257922,2674,2729
1577258522,2679,2734
1577259122,2681,2736
1577259722,2674,2729
1577260322,2677,2732
1577260922,2679,2734
1577262122,2679,2735
1577262722,2670,2726
1577263322,2669,2726
