DateTime,AddedIPs,RemovedIPs
1577112721,62,62
1577113321,8,8
1577113922,50,50
1577114522,31,31
1577115122,22,22
1577115721,53,53
1577116322,48,48
1577116922,38,38
1577117522,25,25
1577118122,70,70
1577118722,39,39
1577119322,13,13
1577119922,20,20
1577120522,59,59
1577121122,44,44
1577121722,51,51
1577122321,44,44
1577122922,54,54
1577123521,53,53
1577124123,47,47
1577124721,49,49
1577125322,49,49
1577125921,59,59
1577126522,65,65
1577127122,44,44
1577127722,54,54
1577128322,30,30
1577128922,44,44
1577130122,91,91
1577130722,50,50
1577131322,25,25
1577131922,64,64
1577132522,42,42
1577133122,33,33
1577133722,67,67
1577134322,8,8
1577135522,91,91
1577136121,64,64
1577136722,23,23
1577137322,68,68
1577137922,48,48
1577139122,98,98
1577139721,71,71
1577140922,93,93
1577141522,20,20
1577142122,39,39
1577142722,51,51
1577143322,62,62
1577143922,47,47
1577144522,46,46
1577145121,6,6
1577145723,15,15
1577146321,48,48
1577146922,38,38
1577147522,15,15
1577148121,32,32
1577148722,41,41
1577149322,14,14
1577149921,43,43
1577150522,46,46
1577151122,44,44
1577151722,76,76
1577152321,61,61
1577152922,65,65
1577154122,95,95
1577154722,38,38
1577155322,8,8
1577155922,53,53
1577156522,42,42
1577157122,12,12
1577157723,8,8
1577158322,10,10
1577158922,10,10
1577159522,1,1
1577160122,65,65
1577160721,32,32
1577161322,32,32
1577161922,56,56
1577162522,12,12
1577163122,65,65
1577163722,54,54
1577164922,72,72
1577165522,82,82
1577166122,36,36
1577166722,62,62
1577167922,83,83
1577169122,66,66
1577169722,54,54
1577170322,46,46
1577170922,23,23
1577172122,43,43
1577172722,26,26
1577173322,74,74
1577173922,52,52
1577174522,47,47
1577175122,5,5
1577175722,71,71
1577176322,10,10
1577176922,60,60
1577177522,30,30
1577178122,57,57
1577178723,25,25
1577179322,55,55
1577180522,34,34
1577181722,93,93
1577182322,44,44
1577182922,45,45
1577183521,42,42
1577184122,61,61
1577184722,71,71
1577185322,66,66
1577186522,98,98
1577187122,72,72
1577187722,39,39
1577188322,36,36
1577188921,48,48
1577189521,38,38
1577190122,29,29
1577190722,62,62
1577191322,12,12
1577191922,36,36
1577192522,25,25
1577193122,34,34
1577193721,16,16
1577194321,51,51
1577194922,50,50
1577196122,81,81
1577197322,96,96
1577197922,56,56
1577198522,35,35
1577199122,75,75
1577199722,31,31
1577200322,64,64
1577200922,74,74
1577202122,79,79
1577202722,61,61
1577203322,55,55
1577203922,53,53
1577204521,78,78
1577205122,53,53
1577205722,42,42
1577206922,69,69
1577208122,91,91
1577208723,50,50
1577209322,65,65
1577209922,13,13
1577210522,56,56
1577211122,45,45
1577212322,74,74
1577212922,73,73
1577213522,46,46
1577214722,59,59
1577215322,76,76
1577215922,67,67
1577216522,44,44
1577217722,98,98
1577218322,48,48
1577219522,56,56
1577220122,52,52
1577220722,59,59
1577221322,68,68
1577221922,62,62
1577223122,100,100
1577223722,33,33
1577224322,68,68
1577224922,76,76
1577225522,61,61
1577226122,27,27
1577226722,46,46
1577227322,65,65
1577227922,56,56
1577228522,5,5
1577229121,36,36
1577229722,67,67
1577230322,67,67
1577230922,55,55
1577231522,21,21
1577232124,22,22
1577232722,52,52
1577233322,49,49
1577233922,84,84
1577234522,33,33
1577235122,68,68
1577235723,82,82
1577236322,52,52
1577236922,58,58
1577237522,68,68
1577238122,68,68
1577238722,32,32
1577239322,64,64
1577239922,68,68
1577240522,23,23
1577241122,58,58
1577241722,18,18
1577242322,50,50
1577242922,60,60
1577243522,56,56
1577244122,59,59
1577244722,49,49
1577245322,56,56
1577245922,53,53
1577247122,87,87
1577247722,16,16
1577248322,52,52
1577248922,55,55
1577250122,99,99
1577250722,61,61
1577251322,69,69
1577251922,69,69
1577252522,65,65
1577253122,85,85
1577253722,68,68
1577254322,37,37
1577254922,50,50
1577255521,76,76
1577256722,80,80
1577257321,82,82
1577257922,35,35
1577258522,62,62
1577259122,46,46
1577259722,65,65
1577260322,51,51
1577260922,45,45
1577262122,65,65
1577262722,7,7
1577263322,37,37
1577263922,29,29
1577264522,4,4
1577265122,7,7
1577265722,35,35
1577266322,70,70
1577267522,92,92
1577268122,63,63
1577268722,62,62
1577269322,44,44
1577269922,49,49
1577270522,55,55
1577271122,71,71
1577271722,98,98
1577272922,98,98
1577273522,13,13
1577274122,80,80
1577274721,32,32
1577275322,44,44
1577275922,62,62
1577277123,49,49
1577277722,45,45
1577278322,63,63
1577278922,53,53
1577279522,53,53
1577280122,68,68
1577280722,23,23
1577281322,7,7
