DateTime,AddedIPs,RemovedIPs
1575358202,162,0
1575361802,224,0
1575366302,243,0
1575369902,262,0
1575373502,197,0
1575380702,348,0
1575384302,140,0
1575387902,156,0
1575391502,160,0
1575399602,337,0
1575403202,128,0
1575406802,140,0
1575410402,123,0
1575414003,135,0
1575417602,111,4322
1575421202,163,0
1575428401,282,0
1575432002,143,0
1575435602,131,0
1575439203,172,0
1575442803,214,0
1575446402,175,0
1575450003,194,0
1575453602,209,0
1575458102,197,0
1575465301,311,0
1575468902,150,0
1575472502,173,0
1575479702,314,0
1575483302,162,0
1575486903,175,0
1575490502,202,0
1575498602,301,0
1575502202,137,0
1575509402,296,3804
1575513002,173,0
1575516602,182,0
1575520202,182,0
1575523802,182,0
1575527402,215,0
1575531902,238,0
1575535502,232,0
1575539102,196,0
1575546302,425,0
1575549902,212,0
1575553502,198,0
1575557102,218,0
1575564302,344,0
1575567902,159,0
1575576002,358,0
1575579602,129,0
1575583202,148,0
1575586803,139,0
1575590402,584,3767
1575594003,200,0
1575597602,208,0
1575601202,209,0
1575604803,184,0
1575612002,458,0
1575615603,213,0
1575619202,213,0
1575622802,208,0
1575626402,207,0
1575630002,192,0
1575637202,319,0
1575641702,221,0
1575645302,191,0
1575648902,165,0
1575656102,312,0
1575659702,133,0
1575666902,372,0
1575671402,196,0
1575675002,147,0
1575678602,149,4706
1575682202,158,0
1575689402,349,0
1575693002,169,0
1575696602,192,0
1575700202,176,0
1575703802,186,0
1575708302,267,0
1575711902,167,0
1575715502,182,0
1575719102,183,0
1575722702,194,0
1575726302,162,0
1575729902,177,0
1575733502,155,0
1575737102,153,0
1575745202,328,0
1575748803,121,0
1575752403,132,0
1575756002,157,0
1575759602,128,0
1575763202,148,4543
1575770402,357,0
1575774002,159,0
1575781203,295,0
1575785702,197,0
1575789302,138,0
1575793802,189,0
1575797401,144,0
1575801002,146,0
1575804602,141,0
1575811801,384,0
1575819002,406,0
1575822602,132,0
1575826202,148,0
1575829802,140,0
1575834302,172,0
1575841502,268,0
1575845102,129,0
1575848702,129,0
1575852302,151,3882
1575855902,161,0
1575859502,213,0
1575867602,398,0
1575871202,194,0
1575874802,179,0
1575878403,208,0
1575882002,169,0
1575885602,231,0
1575889202,199,0
1575892802,212,0
1575900003,326,0
1575903602,175,0
1575907202,170,0
1575910802,167,0
1575918003,330,0
1575922502,184,0
1575926102,139,0
1575933302,346,0
1575936901,115,3687
1575940502,173,0
1575945002,239,0
1575948602,178,0
1575955802,315,0
1575959402,212,0
1575963002,225,0
1575967502,250,0
1575971102,188,0
1575978302,449,0
1575985502,412,0
1575989101,200,0
1575992702,184,0
1575996302,186,0
1575999902,159,0
1576003502,134,0
1576011602,323,0
1576015203,134,0
1576018802,140,0
1576022402,136,4199
1576026002,186,0
1576029602,184,0
1576030502,38,0
1576034102,164,0
1576041302,332,0
1576046702,258,0
1576053902,382,0
1576061102,394,0
1576064701,174,0
1576068302,213,0
1576071902,180,0
1576075502,180,0
1576079101,185,0
1576082702,150,0
1576090802,357,0
1576094402,139,0
1576098002,129,0
1576101602,129,0
1576105203,122,0
1576108803,115,4207
1576112401,153,0
1576116002,175,0
1576117802,82,0
1576121402,166,0
1576125002,172,0
1576128601,156,0
1576132202,179,0
1576134002,105,0
1576141202,398,0
1576148403,406,0
1576152003,209,0
1576155602,175,0
