DateTime,AddedIPs,RemovedIPs
1574960602,0,1
1574967742,2,0
1574971342,1,0
1574975004,4,2
1574978542,0,1
1574982142,1,0
1574985742,0,1
1574992943,6,0
1574996602,0,2
1575000202,2,2
1575003743,2,0
1575007342,1,2
1575014603,1,1
1575021802,1,0
1575025343,1,1
1575036143,0,2
1575039803,1,0
1575043343,2,0
1575046944,1,0
1575050544,2,2
1575054144,1,0
1575057744,2,2
1575061344,3,0
1575065004,1,2
1575072204,1,0
1575075743,1,1
1575079404,0,1
1575090143,1,2
1575093744,0,3
1575097403,1,0
1575108203,0,2
1575111804,0,1
1575118945,0,2
1575129744,0,1
1575133344,0,3
1575137004,1,0
1575140545,3,0
1575144145,1,1
1575151344,1,4
1575155005,1,3
1575158604,1,0
1575162205,3,2
1575165806,2,0
1575169404,1,0
1575173005,2,3
1575176545,3,0
1575180144,2,2
1575183744,1,0
1575187405,1,0
1575191004,1,1
1575201806,1,0
1575205405,0,1
1575208945,2,0
1575212545,2,0
1575223346,1,3
1575227006,2,0
1575230545,1,0
1575237805,2,0
1575241407,1,1
1575248546,1,1
1575255745,0,1
1575259405,1,3
1575262946,3,2
1575266606,1,1
1575270206,2,0
1575273806,1,0
1575280946,0,1
1575288146,3,0
1575291806,1,0
1575295406,1,0
1575298947,2,2
1575302547,4,0
1575309747,0,1
1575313406,2,0
1575327806,1,2
1575331407,4,0
1575334947,0,1
1575342208,0,1
1575345747,1,0
1575349407,2,2
1575353007,2,2
1575356607,1,0
1575360147,0,2
1575363808,1,0
1575367347,1,1
1575370947,1,0
1575374547,1,0
1575385347,1,1
1575399808,1,0
1575407007,0,1
1575410607,3,1
1575421348,2,0
1575435748,2,4
1575439408,1,1
1575442948,2,0
1575446548,0,1
1575450208,0,1
1575453808,1,0
1575468148,1,0
1575471809,0,1
1575479009,1,1
1575482549,1,0
1575493410,4,0
1575497009,3,1
1575500549,2,0
1575507749,1,0
1575518549,1,1
1575522149,4,1
1575525749,1,1
1575529410,1,0
1575533010,0,2
1575540210,1,1
1575543749,1,2
1575547410,2,0
1575550950,2,0
1575554549,0,3
1575558149,2,1
1575561749,4,1
1575565410,1,1
1575568950,0,1
1575572550,4,0
1575576150,1,0
1575579810,1,1
1575583410,2,1
1575586950,2,0
1575590550,2,1
1575594210,4,0
1575597810,14,0
1575601350,1,0
1575604950,0,2
1575608550,1,2
1575612211,3,1
1575615750,0,1
1575619410,2,0
1575623010,1,0
1575626550,1,0
1575630210,1,0
1575633750,0,1
1575637350,1,0
1575644550,1,0
1575648150,5,1
1575651750,1,2
1575655412,1,0
1575658951,0,3
1575666151,0,3
1575673412,2,1
1575676951,1,0
1575680552,2,1
1575691351,0,2
1575695011,1,1
1575698551,1,0
1575702152,1,1
1575705752,0,1
1575720151,1,0
1575723752,2,0
1575727353,2,1
1575738213,1,0
1575741754,2,4
1575745413,1,2
1575748952,2,0
1575752612,1,0
1575756152,2,1
1575759813,1,0
1575763352,0,3
1575770612,0,1
1575774152,0,2
1575777752,1,0
1575781412,1,3
1575785012,1,0
