DateTime,AddedIPs,RemovedIPs
1575198145,1,1
1575201806,4,3
1575205405,1,0
1575208945,2,1
1575212545,2,1
1575216205,0,2
1575219746,1,0
1575223346,1,0
1575227006,2,2
1575230545,1,1
1575237805,2,1
1575241407,1,1
1575248546,1,3
1575252206,2,1
1575259405,1,0
1575262946,3,2
1575266606,1,1
1575270206,2,3
1575273806,3,2
1575277406,0,1
1575280946,0,1
1575284606,1,0
1575288146,3,0
1575291806,2,2
1575295406,5,2
1575298947,2,0
1575302547,4,0
1575313406,2,1
1575317006,1,1
1575320547,1,0
1575327806,1,1
1575331407,4,0
1575334947,1,2
1575342208,0,4
1575345747,2,0
1575349407,3,2
1575353007,2,1
1575356607,1,2
1575360147,1,0
1575363808,2,2
1575367347,1,0
1575370947,1,7
1575374547,1,3
1575378208,0,2
1575381747,0,1
1575385347,2,1
1575388948,2,2
1575392607,1,0
1575399808,1,0
1575403348,1,0
1575407007,0,1
1575410607,3,2
1575414208,0,1
1575417807,2,0
1575421348,2,4
1575425007,0,1
1575432208,0,3
1575435748,2,2
1575439408,1,3
1575442948,3,0
1575446548,0,1
1575450208,1,1
1575453808,1,0
1575457409,1,1
1575464609,0,1
1575468148,1,1
1575471809,0,3
1575475349,0,1
1575479009,1,0
1575482549,1,0
1575486149,0,1
1575489748,1,2
1575493410,4,2
1575497009,6,3
1575500549,6,0
1575504209,0,1
1575507749,1,1
1575511350,1,0
1575515009,0,2
1575518549,1,0
1575522149,4,2
1575525749,1,0
1575529410,1,2
1575533010,0,2
1575536549,1,0
1575540210,1,2
1575543749,1,1
1575547410,2,2
1575550950,2,2
1575554549,0,2
1575558149,2,2
1575561749,4,1
1575565410,1,1
1575572550,4,4
1575576150,2,1
1575579810,1,3
1575583410,4,0
1575586950,2,2
1575590550,4,1
1575594210,4,3
1575597810,14,14
1575601350,1,0
1575608550,1,4
1575612211,3,1
1575619410,3,0
1575623010,2,0
1575626550,3,1
1575630210,2,0
1575633750,0,1
1575637350,1,2
1575640950,0,1
1575644550,1,0
1575648150,6,3
1575651750,1,1
1575655412,1,2
1575662611,0,1
1575666151,2,1
1575669811,0,1
1575673412,2,3
1575676951,1,1
1575680552,2,0
1575691351,0,1
1575695011,2,1
1575698551,1,1
1575702152,1,3
1575709353,0,2
1575712952,0,2
1575716551,1,0
1575720151,2,0
1575723752,2,1
1575727353,2,0
1575738213,1,1
1575741754,3,1
1575745413,1,2
1575748952,2,1
1575752612,1,4
1575756152,2,2
1575759813,1,2
1575763352,0,1
1575770612,0,1
1575777752,1,2
1575781412,1,1
1575785012,1,1
1575788552,0,1
1575792153,0,1
1575799353,1,2
1575806552,1,2
1575810212,0,1
1575813753,1,1
1575817413,2,0
1575820953,2,1
1575824553,0,1
1575828213,1,1
1575831753,2,0
1575835413,2,1
1575838953,2,0
1575842613,0,1
1575846213,0,2
1575860613,0,1
1575864153,1,0
1575867754,1,1
1575871353,1,2
1575878614,3,1
1575882213,1,0
1575885813,1,1
1575889353,1,1
1575896614,1,0
1575903754,2,1
1575907355,1,0
1575910954,2,2
1575918214,0,2
1575921755,1,0
1575925354,1,1
1575928954,2,1
1575936214,0,1
1575939755,2,0
1575947014,0,1
1575954154,1,1
1575957815,3,1
1575961354,1,0
1575964954,0,2
1575968555,1,0
1575979355,1,0
1575982955,0,3
1575986555,1,3
1575990155,1,2
1575993755,0,3
1576001015,1,1
1576004615,0,1
1576008215,1,2
1576011756,3,0
1576015356,1,2
1576019016,1,1
1576022615,0,4
1576026156,1,4
1576036955,0,2
1576038876,2,1
1576044156,1,3
1576047816,1,4
1576051356,0,1
1576055017,1,6
1576058617,1,0
1576065756,0,1
1576069417,2,0
1576073016,1,0
1576076557,2,1
1576083757,1,2
1576090958,2,0
1576098158,2,1
1576101757,1,1
1576105356,1,2
1576108957,2,1
1576112557,3,1
1576116157,1,0
1576119756,1,1
1576123417,0,1
1576127018,1,1
1576130617,2,3
1576134157,2,1
1576144958,2,1
1576155757,1,0
1576159417,0,2
1576163017,2,2
1576166558,3,0
1576170218,1,0
1576173757,7,1
1576177357,8,1
1576181018,1,0
1576184618,0,2
1576191758,2,0
1576195418,1,1
1576198958,1,0
1576202558,0,3
1576206158,1,1
1576212278,3,1
1576216959,4,3
1576220558,0,2
1576227820,1,3
1576231358,0,2
1576238559,2,0
1576242218,3,4
1576245759,3,1
1576249419,1,2
1576252959,1,1
1576256561,1,1
1576260159,2,3
1576263760,1,1
1576267361,2,0
1576271019,0,2
1576274559,2,1
1576278160,2,2
1576281760,0,1
1576299759,1,0
1576303359,3,3
1576314160,1,1
1576317760,1,2
1576321359,1,2
1576324959,3,1
1576328619,3,2
1576332220,2,0
1576335760,4,1
1576339360,0,2
1576342960,4,1
1576350160,2,2
1576353760,0,1
1576360960,0,1
1576371820,1,3
1576382620,1,1
1576386221,1,0
1576389760,4,3
1576400560,1,1
1576404160,1,1
1576407762,2,2
1576411421,1,2
1576418620,3,1
1576422161,1,1
1576425821,0,1
1576429421,1,3
1576432961,1,1
1576436561,1,2
1576440221,3,2
